商品,日期,今值,预测值,前值
美国新屋销售总数年化报告,1970-01-01,45.2,,
美国新屋销售总数年化报告,1970-02-01,46.1,,45.2
美国新屋销售总数年化报告,1970-03-01,37.3,,46.1
美国新屋销售总数年化报告,1970-04-01,38.9,,37.3
美国新屋销售总数年化报告,1970-05-01,44.5,,38.9
美国新屋销售总数年化报告,1970-06-01,46.6,,44.5
美国新屋销售总数年化报告,1970-07-01,48.5,,46.6
美国新屋销售总数年化报告,1970-08-01,48.1,,48.5
美国新屋销售总数年化报告,1970-09-01,51.5,,48.1
美国新屋销售总数年化报告,1970-10-01,56.4,,51.5
美国新屋销售总数年化报告,1970-11-01,54.5,,56.4
美国新屋销售总数年化报告,1970-12-01,57.0,,54.5
美国新屋销售总数年化报告,1971-01-01,58.2,,57.0
美国新屋销售总数年化报告,1971-02-01,61.8,,58.2
美国新屋销售总数年化报告,1971-03-01,61.8,,61.8
美国新屋销售总数年化报告,1971-04-01,68.1,,61.8
美国新屋销售总数年化报告,1971-05-01,66.2,,68.1
美国新屋销售总数年化报告,1971-06-01,61.8,,66.2
美国新屋销售总数年化报告,1971-07-01,64.6,,61.8
美国新屋销售总数年化报告,1971-08-01,70.6,,64.6
美国新屋销售总数年化报告,1971-09-01,65.9,,70.6
美国新屋销售总数年化报告,1971-10-01,62.5,,65.9
美国新屋销售总数年化报告,1971-11-01,64.7,,62.5
美国新屋销售总数年化报告,1971-12-01,71.0,,64.7
美国新屋销售总数年化报告,1972-01-01,68.9,,71.0
美国新屋销售总数年化报告,1972-02-01,69.8,,68.9
美国新屋销售总数年化报告,1972-03-01,71.1,,69.8
美国新屋销售总数年化报告,1972-04-01,64.0,,71.1
美国新屋销售总数年化报告,1972-05-01,68.4,,64.0
美国新屋销售总数年化报告,1972-06-01,67.7,,68.4
美国新屋销售总数年化报告,1972-07-01,68.7,,67.7
美国新屋销售总数年化报告,1972-08-01,68.1,,68.7
美国新屋销售总数年化报告,1972-09-01,77.3,,68.1
美国新屋销售总数年化报告,1972-10-01,76.7,,77.3
美国新屋销售总数年化报告,1972-11-01,84.3,,76.7
美国新屋销售总数年化报告,1972-12-01,73.5,,84.3
美国新屋销售总数年化报告,1973-01-01,77.2,,73.5
美国新屋销售总数年化报告,1973-02-01,78.1,,77.2
美国新屋销售总数年化报告,1973-03-01,73.7,,78.1
美国新屋销售总数年化报告,1973-04-01,72.5,,73.7
美国新屋销售总数年化报告,1973-05-01,66.1,,72.5
美国新屋销售总数年化报告,1973-06-01,66.0,,66.1
美国新屋销售总数年化报告,1973-07-01,65.0,,66.0
美国新屋销售总数年化报告,1973-08-01,60.1,,65.0
美国新屋销售总数年化报告,1973-09-01,56.6,,60.1
美国新屋销售总数年化报告,1973-10-01,56.1,,56.6
