商品,日期,今值,预测值,前值
美国NFIB小型企业信心指数报告,1975-02-01,86.67,,
美国NFIB小型企业信心指数报告,1975-05-01,95.16,,86.67
美国NFIB小型企业信心指数报告,1975-08-01,99.36,,95.16
美国NFIB小型企业信心指数报告,1975-11-01,100.37,,99.36
美国NFIB小型企业信心指数报告,1976-02-01,102.01,,100.37
美国NFIB小型企业信心指数报告,1976-05-01,103.2,,102.01
美国NFIB小型企业信心指数报告,1976-08-01,102.1,,103.2
美国NFIB小型企业信心指数报告,1976-11-01,101.0,,102.1
美国NFIB小型企业信心指数报告,1977-02-01,102.65,,101.0
美国NFIB小型企业信心指数报告,1977-05-01,102.92,,102.65
美国NFIB小型企业信心指数报告,1977-08-01,101.83,,102.92
美国NFIB小型企业信心指数报告,1977-11-01,99.36,,101.83
美国NFIB小型企业信心指数报告,1978-02-01,100.55,,99.36
美国NFIB小型企业信心指数报告,1978-05-01,99.27,,100.55
美国NFIB小型企业信心指数报告,1978-08-01,97.17,,99.27
美国NFIB小型企业信心指数报告,1978-11-01,99.45,,97.17
美国NFIB小型企业信心指数报告,1979-02-01,94.98,,99.45
美国NFIB小型企业信心指数报告,1979-05-01,94.25,,94.98
美国NFIB小型企业信心指数报告,1979-08-01,90.23,,94.25
美国NFIB小型企业信心指数报告,1979-11-01,93.33,,90.23
美国NFIB小型企业信心指数报告,1980-02-01,92.15,,93.33
美国NFIB小型企业信心指数报告,1980-05-01,80.09,,92.15
美国NFIB小型企业信心指数报告,1980-08-01,94.61,,80.09
美国NFIB小型企业信心指数报告,1980-11-01,96.99,,94.61
美国NFIB小型企业信心指数报告,1981-02-01,95.89,,96.99
美国NFIB小型企业信心指数报告,1981-05-01,97.44,,95.89
美国NFIB小型企业信心指数报告,1981-08-01,99.0,,97.44
美国NFIB小型企业信心指数报告,1981-11-01,94.43,,99.0
美国NFIB小型企业信心指数报告,1982-02-01,94.98,,94.43
美国NFIB小型企业信心指数报告,1982-05-01,94.79,,94.98
美国NFIB小型企业信心指数报告,1982-08-01,94.79,,94.79
美国NFIB小型企业信心指数报告,1982-11-01,97.99,,94.79
美国NFIB小型企业信心指数报告,1983-02-01,100.09,,97.99
美国NFIB小型企业信心指数报告,1983-05-01,105.21,,100.09
美国NFIB小型企业信心指数报告,1983-08-01,107.67,,105.21
美国NFIB小型企业信心指数报告,1983-11-01,107.03,,107.67
美国NFIB小型企业信心指数报告,1984-02-01,107.31,,107.03
美国NFIB小型企业信心指数报告,1984-05-01,104.29,,107.31
美国NFIB小型企业信心指数报告,1984-08-01,99.91,,104.29
美国NFIB小型企业信心指数报告,1984-11-01,102.74,,99.91
美国NFIB小型企业信心指数报告,1985-02-01,103.11,,102.74
美国NFIB小型企业信心指数报告,1985-05-01,100.55,,103.11
美国NFIB小型企业信心指数报告,1985-08-01,101.1,,100.55
美国NFIB小型企业信心指数报告,1985-11-01,98.81,,101.1
美国NFIB小型企业信心指数报告,1986-02-01,100.4,,98.81
美国NFIB小型企业信心指数报告,1986-03-01,99.6,,100.4
美国NFIB小型企业信心指数报告,1986-04-01,100.9,,99.6
美国NFIB小型企业信心指数报告,1986-05-01,101.4,,100.9
美国NFIB小型企业信心指数报告,1986-06-01,102.4,,101.4
美国NFIB小型企业信心指数报告,1986-07-01,100.8,,102.4
美国NFIB小型企业信心指数报告,1986-08-01,99.5,,100.8
美国NFIB小型企业信心指数报告,1986-09-01,99.0,,99.5
美国NFIB小型企业信心指数报告,1986-10-01,98.6,,99.0
美国NFIB小型企业信心指数报告,1986-11-01,98.8,,98.6
美国NFIB小型企业信心指数报告,1986-12-01,97.8,,98.8
美国NFIB小型企业信心指数报告,1987-01-01,100.7,,97.8
美国NFIB小型企业信心指数报告,1987-02-01,100.3,,100.7
美国NFIB小型企业信心指数报告,1987-03-01,100.4,,100.3
美国NFIB小型企业信心指数报告,1987-04-01,100.6,,100.4
美国NFIB小型企业信心指数报告,1987-05-01,100.4,,100.6
美国NFIB小型企业信心指数报告,1987-06-01,100.3,,100.4
美国NFIB小型企业信心指数报告,1987-07-01,101.3,,100.3
美国NFIB小型企业信心指数报告,1987-08-01,102.2,,101.3
美国NFIB小型企业信心指数报告,1987-09-01,103.9,,102.2
美国NFIB小型企业信心指数报告,1987-10-01,102.5,,103.9
美国NFIB小型企业信心指数报告,1987-11-01,101.6,,102.5
美国NFIB小型企业信心指数报告,1987-12-01,98.9,,101.6
美国NFIB小型企业信心指数报告,1988-01-01,100.1,,98.9
美国NFIB小型企业信心指数报告,1988-02-01,100.5,,100.1
美国NFIB小型企业信心指数报告,1988-03-01,98.9,,100.5
美国NFIB小型企业信心指数报告,1988-04-01,101.0,,98.9
美国NFIB小型企业信心指数报告,1988-05-01,101.0,,101.0
美国NFIB小型企业信心指数报告,1988-06-01,101.4,,101.0
美国NFIB小型企业信心指数报告,1988-07-01,101.2,,101.4
美国NFIB小型企业信心指数报告,1988-08-01,99.8,,101.2
美国NFIB小型企业信心指数报告,1988-09-01,101.8,,99.8
美国NFIB小型企业信心指数报告,1988-10-01,100.8,,101.8
美国NFIB小型企业信心指数报告,1988-11-01,102.2,,100.8
美国NFIB小型企业信心指数报告,1988-12-01,102.1,,102.2
美国NFIB小型企业信心指数报告,1989-01-01,100.5,,102.1
美国NFIB小型企业信心指数报告,1989-02-01,101.5,,100.5
美国NFIB小型企业信心指数报告,1989-03-01,101.7,,101.5
美国NFIB小型企业信心指数报告,1989-04-01,100.8,,101.7
美国NFIB小型企业信心指数报告,1989-05-01,98.3,,100.8
美国NFIB小型企业信心指数报告,1989-06-01,97.7,,98.3
美国NFIB小型企业信心指数报告,1989-07-01,98.9,,97.7
美国NFIB小型企业信心指数报告,1989-08-01,99.3,,98.9
美国NFIB小型企业信心指数报告,1989-09-01,99.8,,99.3
美国NFIB小型企业信心指数报告,1989-10-01,101.9,,99.8
美国NFIB小型企业信心指数报告,1989-11-01,101.5,,101.9
美国NFIB小型企业信心指数报告,1989-12-01,100.0,,101.5
美国NFIB小型企业信心指数报告,1990-01-01,100.4,,100.0
美国NFIB小型企业信心指数报告,1990-02-01,99.4,,100.4
美国NFIB小型企业信心指数报告,1990-03-01,99.0,,99.4
美国NFIB小型企业信心指数报告,1990-04-01,99.8,,99.0
美国NFIB小型企业信心指数报告,1990-05-01,99.6,,99.8
美国NFIB小型企业信心指数报告,1990-06-01,99.8,,99.6
美国NFIB小型企业信心指数报告,1990-07-01,98.3,,99.8
美国NFIB小型企业信心指数报告,1990-08-01,97.6,,98.3
美国NFIB小型企业信心指数报告,1990-09-01,95.3,,97.6
