商品,日期,今值,预测值,前值
美国非农就业人数,1970-01-02,15.3,,-3.3
美国非农就业人数,1970-02-06,-6.4,,15.3
美国非农就业人数,1970-03-06,12.8,,-6.4
美国非农就业人数,1970-04-03,14.8,,12.8
美国非农就业人数,1970-05-01,-10.4,,14.8
美国非农就业人数,1970-06-05,-22.5,,-10.4
美国非农就业人数,1970-07-03,-9.4,,-22.5
美国非农就业人数,1970-08-07,2.4,,-9.4
美国非农就业人数,1970-09-04,-12.0,,2.4
美国非农就业人数,1970-10-02,1.5,,-12.0
美国非农就业人数,1970-11-06,-42.9,,1.5
美国非农就业人数,1970-12-04,-11.0,,-42.9
美国非农就业人数,1971-01-01,38.1,,-11.0
美国非农就业人数,1971-02-05,7.6,,38.1
美国非农就业人数,1971-03-05,-6.0,,7.6
美国非农就业人数,1971-04-02,5.3,,-6.0
美国非农就业人数,1971-05-07,17.8,,5.3
美国非农就业人数,1971-06-04,21.0,,17.8
美国非农就业人数,1971-07-02,0.6,,21.0
美国非农就业人数,1971-08-06,6.2,,0.6
美国非农就业人数,1971-09-03,5.5,,6.2
美国非农就业人数,1971-10-01,24.7,,5.5
美国非农就业人数,1971-11-05,2.5,,24.7
美国非农就业人数,1971-12-03,20.4,,2.5
美国非农就业人数,1972-01-07,26.2,,20.4
美国非农就业人数,1972-02-04,33.7,,26.2
美国非农就业人数,1972-03-03,20.7,,33.7
美国非农就业人数,1972-04-07,29.3,,20.7
美国非农就业人数,1972-05-05,21.8,,29.3
美国非农就业人数,1972-06-02,30.4,,21.8
美国非农就业人数,1972-07-07,29.3,,30.4
美国非农就业人数,1972-08-04,-5.2,,29.3
美国非农就业人数,1972-09-01,43.0,,-5.2
美国非农就业人数,1972-10-06,12.5,,43.0
美国非农就业人数,1972-11-03,41.0,,12.5
美国非农就业人数,1972-12-01,29.4,,41.0
美国非农就业人数,1973-01-05,30.3,,29.4
美国非农就业人数,1973-02-02,35.1,,30.3
美国非农就业人数,1973-03-02,39.6,,35.1
美国非农就业人数,1973-04-06,26.8,,39.6
美国非农就业人数,1973-05-04,17.0,,26.8
美国非农就业人数,1973-06-01,19.1,,17.0
美国非农就业人数,1973-07-06,24.1,,19.1
美国非农就业人数,1973-08-03,2.4,,24.1
美国非农就业人数,1973-09-07,25.5,,2.4
美国非农就业人数,1973-10-05,11.0,,25.5
美国非农就业人数,1973-11-02,33.0,,11.0
美国非农就业人数,1973-12-07,30.6,,33.0
美国非农就业人数,1974-01-04,12.3,,30.6
美国非农就业人数,1974-02-01,6.9,,12.3
美国非农就业人数,1974-03-01,15.0,,6.9
美国非农就业人数,1974-04-05,4.2,,15.0
美国非农就业人数,1974-05-03,8.6,,4.2
美国非农就业人数,1974-06-07,16.5,,8.6
美国非农就业人数,1974-07-05,5.5,,16.5
美国非农就业人数,1974-08-02,3.3,,5.5
美国非农就业人数,1974-09-06,-1.6,,3.3
美国非农就业人数,1974-10-04,-0.8,,-1.6
美国非农就业人数,1974-11-01,1.8,,-0.8
美国非农就业人数,1974-12-06,-36.8,,1.8
美国非农就业人数,1975-01-03,-60.4,,-36.8
美国非农就业人数,1975-02-07,-36.0,,-60.4
美国非农就业人数,1975-03-07,-37.8,,-36.0
美国非农就业人数,1975-04-04,-27.0,,-37.8
美国非农就业人数,1975-05-02,-18.8,,-27.0
美国非农就业人数,1975-06-06,16.2,,-18.8
美国非农就业人数,1975-07-04,-10.3,,16.2
美国非农就业人数,1975-08-01,24.9,,-10.3
美国非农就业人数,1975-09-05,38.6,,24.9
美国非农就业人数,1975-10-03,7.5,,38.6
美国非农就业人数,1975-11-07,30.5,,7.5
美国非农就业人数,1975-12-05,14.5,,30.5
美国非农就业人数,1976-01-02,33.8,,14.5
美国非农就业人数,1976-02-06,48.8,,33.8
美国非农就业人数,1976-03-05,31.1,,48.8
美国非农就业人数,1976-04-02,23.2,,31.1
美国非农就业人数,1976-05-07,24.3,,23.2
美国非农就业人数,1976-06-04,1.9,,24.3
美国非农就业人数,1976-07-02,6.5,,1.9
美国非农就业人数,1976-08-06,17.1,,6.5
美国非农就业人数,1976-09-03,15.7,,17.1
美国非农就业人数,1976-10-01,18.8,,15.7
美国非农就业人数,1976-11-05,1.3,,18.8
美国非农就业人数,1976-12-03,33.2,,1.3
美国非农就业人数,1977-01-07,21.1,,33.2
美国非农就业人数,1977-02-04,24.4,,21.1
美国非农就业人数,1977-03-04,29.6,,24.4
美国非农就业人数,1977-04-01,40.3,,29.6
美国非农就业人数,1977-05-06,33.8,,40.3
美国非农就业人数,1977-06-03,36.0,,33.8
美国非农就业人数,1977-07-01,39.9,,36.0
美国非农就业人数,1977-08-05,34.8,,39.9
美国非农就业人数,1977-09-02,23.8,,34.8
美国非农就业人数,1977-10-07,45.8,,23.8
美国非农就业人数,1977-11-04,26.2,,45.8
美国非农就业人数,1977-12-02,37.9,,26.2
美国非农就业人数,1978-01-06,23.5,,37.9
美国非农就业人数,1978-02-03,18.7,,23.5
美国非农就业人数,1978-03-03,35.3,,18.7
美国非农就业人数,1978-04-07,51.3,,35.3
