商品,日期,今值,预测值,前值
美国成屋签约销售指数月率报告,2001-03-01,5.1,,
美国成屋签约销售指数月率报告,2001-04-01,-4.7,,5.1
美国成屋签约销售指数月率报告,2001-05-01,-2.9,,-4.7
美国成屋签约销售指数月率报告,2001-06-01,2.7,,-2.9
美国成屋签约销售指数月率报告,2001-07-01,-3.4,,2.7
美国成屋签约销售指数月率报告,2001-08-01,-0.2,,-3.4
美国成屋签约销售指数月率报告,2001-09-01,-0.3,,-0.2
美国成屋签约销售指数月率报告,2001-10-01,-7.9,,-0.3
美国成屋签约销售指数月率报告,2001-11-01,9.1,,-7.9
美国成屋签约销售指数月率报告,2001-12-01,4.5,,9.1
美国成屋签约销售指数月率报告,2002-01-01,6.1,,4.5
美国成屋签约销售指数月率报告,2002-02-01,-2.1,,6.1
美国成屋签约销售指数月率报告,2002-03-01,-0.3,,-2.1
美国成屋签约销售指数月率报告,2002-04-01,-2.5,,-0.3
美国成屋签约销售指数月率报告,2002-05-01,-0.1,,-2.5
美国成屋签约销售指数月率报告,2002-06-01,-3.7,,-0.1
美国成屋签约销售指数月率报告,2002-07-01,-0.7,,-3.7
美国成屋签约销售指数月率报告,2002-08-01,1.8,,-0.7
美国成屋签约销售指数月率报告,2002-09-01,1.2,,1.8
美国成屋签约销售指数月率报告,2002-10-01,1.1,,1.2
美国成屋签约销售指数月率报告,2002-11-01,-1.8,,1.1
美国成屋签约销售指数月率报告,2002-12-01,2.9,,-1.8
美国成屋签约销售指数月率报告,2003-01-01,-0.7,,2.9
美国成屋签约销售指数月率报告,2003-02-01,2.2,,-0.7
美国成屋签约销售指数月率报告,2003-03-01,-5.8,,2.2
美国成屋签约销售指数月率报告,2003-04-01,4.6,,-5.8
美国成屋签约销售指数月率报告,2003-05-01,1.5,,4.6
美国成屋签约销售指数月率报告,2003-06-01,0.3,,1.5
美国成屋签约销售指数月率报告,2003-07-01,4.7,,0.3
美国成屋签约销售指数月率报告,2003-08-01,2.5,,4.7
美国成屋签约销售指数月率报告,2003-09-01,-5.4,,2.5
美国成屋签约销售指数月率报告,2003-10-01,0.3,,-5.4
美国成屋签约销售指数月率报告,2003-11-01,2.1,,0.3
美国成屋签约销售指数月率报告,2003-12-01,0.0,,2.1
美国成屋签约销售指数月率报告,2004-01-01,-1.1,,0.0
美国成屋签约销售指数月率报告,2004-02-01,2.0,,-1.1
美国成屋签约销售指数月率报告,2004-03-01,2.7,,2.0
美国成屋签约销售指数月率报告,2004-04-01,5.8,,2.7
美国成屋签约销售指数月率报告,2004-05-01,-2.7,,5.8
美国成屋签约销售指数月率报告,2004-06-01,3.6,,-2.7
美国成屋签约销售指数月率报告,2004-07-01,-1.8,,3.6
美国成屋签约销售指数月率报告,2004-08-01,1.2,,-1.8
美国成屋签约销售指数月率报告,2004-09-01,0.7,,1.2
美国成屋签约销售指数月率报告,2004-10-01,1.8,,0.7
美国成屋签约销售指数月率报告,2004-11-01,1.2,,1.8
美国成屋签约销售指数月率报告,2004-12-01,-1.5,,1.2
美国成屋签约销售指数月率报告,2005-01-01,0.3,,-1.5
美国成屋签约销售指数月率报告,2005-02-01,-1.5,,0.3
美国成屋签约销售指数月率报告,2005-03-01,1.7,,-1.5
美国成屋签约销售指数月率报告,2005-04-01,-0.4,,1.7
美国成屋签约销售指数月率报告,2005-05-01,2.6,,-0.4
美国成屋签约销售指数月率报告,2005-06-01,-1.2,,2.6
美国成屋签约销售指数月率报告,2005-07-01,0.3,,-1.2
美国成屋签约销售指数月率报告,2005-08-01,1.0,,0.3
美国成屋签约销售指数月率报告,2005-09-01,-0.6,,1.0
美国成屋签约销售指数月率报告,2005-10-01,-0.6,,-0.6
美国成屋签约销售指数月率报告,2005-11-01,-2.0,,-0.6
美国成屋签约销售指数月率报告,2005-12-01,-2.0,,-2.0
美国成屋签约销售指数月率报告,2006-01-01,-2.0,,-2.0
美国成屋签约销售指数月率报告,2006-02-01,0.1,,-2.0
美国成屋签约销售指数月率报告,2006-03-01,-0.7,,0.1
美国成屋签约销售指数月率报告,2006-04-01,-1.7,,-0.7
美国成屋签约销售指数月率报告,2006-05-01,-1.5,,-1.7
美国成屋签约销售指数月率报告,2006-06-01,-1.1,,-1.5
美国成屋签约销售指数月率报告,2006-07-01,-1.2,,-1.1
美国成屋签约销售指数月率报告,2006-08-01,-1.9,,-1.2
美国成屋签约销售指数月率报告,2006-09-01,-0.2,,-1.9
美国成屋签约销售指数月率报告,2006-10-01,-1.1,,-0.2
美国成屋签约销售指数月率报告,2006-11-01,-0.8,,-1.1
美国成屋签约销售指数月率报告,2006-12-01,2.2,,-0.8
美国成屋签约销售指数月率报告,2007-01-01,2.8,,2.2
美国成屋签约销售指数月率报告,2007-02-01,-4.5,,2.8
美国成屋签约销售指数月率报告,2007-03-01,0.7,,-4.5
美国成屋签约销售指数月率报告,2007-04-01,-3.1,,0.7
美国成屋签约销售指数月率报告,2007-05-01,-3.5,,-3.1
美国成屋签约销售指数月率报告,2007-06-01,-2.1,,-3.5
美国成屋签约销售指数月率报告,2007-07-01,1.3,,-2.1
美国成屋签约销售指数月率报告,2007-08-01,-7.3,,1.3
美国成屋签约销售指数月率报告,2007-09-01,-8.3,,-7.3
美国成屋签约销售指数月率报告,2007-10-01,2.0,,-8.3
美国成屋签约销售指数月率报告,2007-11-01,2.4,,2.0
美国成屋签约销售指数月率报告,2007-12-01,-0.8,,2.4
美国成屋签约销售指数月率报告,2008-01-01,-2.4,,-0.8
美国成屋签约销售指数月率报告,2008-02-01,0.0,,-2.4
美国成屋签约销售指数月率报告,2008-03-06,0.0,-1.0,-1.5
美国成屋签约销售指数月率报告,2008-04-08,-1.9,-0.8,0.0
美国成屋签约销售指数月率报告,2008-05-07,-1.0,-1.0,-1.9
美国成屋签约销售指数月率报告,2008-06-09,6.3,-0.5,-1.0
美国成屋签约销售指数月率报告,2008-07-08,-4.7,-2.4,6.3
美国成屋签约销售指数月率报告,2008-08-07,5.3,-1.0,-4.7
美国成屋签约销售指数月率报告,2008-09-09,3.2,-1.2,5.3
美国成屋签约销售指数月率报告,2008-10-08,7.4,-1.5,-3.2
美国成屋签约销售指数月率报告,2008-11-07,-4.6,-3.4,7.4
美国成屋签约销售指数月率报告,2008-12-09,-0.7,-3.2,-4.6
美国成屋签约销售指数月率报告,2009-01-06,-4.0,-0.8,-0.7
美国成屋签约销售指数月率报告,2009-02-03,6.3,0.0,-4.0
美国成屋签约销售指数月率报告,2009-03-03,-7.7,-3.0,6.3
美国成屋签约销售指数月率报告,2009-04-01,2.1,0.3,-7.7
美国成屋签约销售指数月率报告,2009-05-04,3.2,0.1,2.0
美国成屋签约销售指数月率报告,2009-06-02,6.7,0.5,3.2
