时间,前值,现值,发布日期
2026年04月,-3.6,,2026-05-11
2026年03月,1.7,-3.6,2026-04-13
2026年02月,-8.4,1.7,2026-03-10
2026年01月,5.1,-8.4,2026-02-12
2025年12月,0.5,5.1,2026-01-15
2025年11月,1.2,0.5,2025-12-19
2025年10月,1.5,1.2,2025-11-20
2025年09月,-0.2,1.5,2025-10-23
2025年08月,2.0,-0.2,2025-09-25
2025年07月,-2.7,2.0,2025-08-21
2025年06月,0.8,-2.7,2025-07-23
2025年05月,-0.5,0.8,2025-06-23
2025年04月,-5.9,-0.5,2025-05-22
2025年03月,4.2,-5.9,2025-04-24
2025年02月,-4.9,4.2,2025-03-20
2025年01月,2.2,-4.9,2025-02-21
2024年12月,4.8,2.2,2025-01-24
2024年11月,3.4,4.8,2024-12-19
2024年10月,-1.0,3.4,2024-11-21
2024年09月,-2.5,-1.0,2024-10-23
2024年08月,1.3,-2.5,2024-09-19
2024年07月,-5.4,1.3,2024-08-22
2024年06月,-0.7,-5.4,2024-07-23
2024年05月,-1.9,-0.7,2024-06-21
2024年04月,-4.3,-1.9,2024-05-22
2024年03月,9.5,-4.3,2024-04-18
2024年02月,3.1,9.5,2024-03-21
2024年01月,-1.0,3.1,2024-02-22
2023年12月,0.8,-1.0,2024-01-29
2023年11月,-4.1,0.8,2023-12-20
2023年10月,-2.0,-4.1,2023-11-21
2023年09月,-0.7,-2.0,2023-10-19
2023年08月,-2.2,-0.7,2023-09-21
2023年07月,-3.3,-2.2,2023-08-22
2023年06月,0.2,-3.3,2023-07-20
2023年05月,-3.4,0.2,2023-06-22
2023年04月,-2.4,-3.4,2023-05-18
2023年03月,14.5,-2.4,2023-04-20
2023年02月,-0.7,14.5,2023-03-21
2023年01月,-1.5,-0.7,2023-02-21
2022年12月,-7.7,-1.5,2023-01-20
2022年11月,-5.9,-7.7,2022-12-21
2022年10月,-1.5,-5.9,2022-11-18
2022年09月,-0.4,-1.5,2022-10-20
2022年08月,-5.9,-0.4,2022-09-21
2022年07月,-5.4,-5.9,2022-08-18
2022年06月,-3.4,-5.4,2022-07-20
2022年05月,-2.4,-3.4,2022-06-21
2022年04月,-2.7,-2.4,2022-05-19
2022年03月,-7.2,-2.7,2022-04-20
2022年02月,6.7,-7.2,2022-03-18
2022年01月,-4.6,6.7,2022-02-18
2021年12月,1.9,-4.6,2022-01-20
2021年11月,0.8,1.9,2021-12-22
2021年10月,7.0,0.8,2021-11-22
2021年09月,-2.0,7.0,2021-10-21
2021年08月,2.0,-2.0,2021-09-22
2021年07月,1.4,2.0,2021-08-23
2021年06月,-0.9,1.4,2021-07-22
2021年05月,-2.7,-0.9,2021-06-22
2021年04月,-3.7,-2.7,2021-05-22
2021年03月,-6.6,-3.7,2021-04-22
2021年02月,0.6,-6.6,2021-03-22
2021年01月,0.7,0.6,2021-02-19
2020年12月,-2.5,0.7,2021-01-22
2020年11月,4.3,-2.5,2020-12-30
2020年10月,9.4,4.3,2020-11-30
2020年09月,2.4,9.4,2020-10-29
2020年08月,24.7,2.4,2020-09-30
2020年07月,20.7,24.7,2020-08-27
2020年06月,-9.7,20.7,2020-07-29
2020年05月,-17.8,-9.7,2020-06-29
2020年04月,-8.5,-17.8,2020-05-28
2020年03月,6.5,-8.5,2020-04-29
2020年02月,5.2,6.5,2020-03-28
2020年01月,-4.9,5.2,2020-02-21
2019年12月,1.2,-4.9,2020-01-22
2019年11月,-1.7,1.2,2019-12-19
2019年10月,1.5,-1.7,2019-11-21
2019年09月,1.6,1.5,2019-10-29
2019年08月,2.5,1.6,2019-09-26
2019年07月,2.8,2.5,2019-08-21
2019年06月,1.1,2.8,2019-07-30
2019年05月,-1.5,1.1,2019-06-27
2019年04月,3.8,-1.5,2019-05-30
2019年03月,-1.0,3.8,2019-04-30
2019年02月,4.6,-1.0,2019-03-28
2019年01月,-2.2,4.6,2019-02-27
2018年12月,-0.7,-2.2,2019-01-30
2018年11月,-2.6,-0.7,2018-12-28
2018年10月,0.5,-2.6,2018-11-29
2018年09月,-1.8,0.5,2018-10-25
2018年08月,-0.8,-1.8,2018-09-27
2018年07月,1.0,-0.8,2018-08-29
2018年06月,-0.5,1.0,2018-07-30
2018年05月,-1.3,-0.5,2018-06-27
2018年04月,0.4,-1.3,2018-05-31
2018年03月,3.1,0.4,2018-04-30
2018年02月,-4.7,3.1,2018-03-28
2018年01月,0.5,-4.7,2018-02-28
