商品,日期,今值,预测值,前值
美国生产者物价指数,2008-02-26,1.0,0.4,-0.3
美国生产者物价指数,2008-03-18,0.3,0.3,1.0
美国生产者物价指数,2008-04-15,1.1,0.6,0.3
美国生产者物价指数,2008-05-20,0.2,0.4,1.1
美国生产者物价指数,2008-06-17,1.4,1.0,0.2
美国生产者物价指数,2008-07-15,1.8,1.3,1.4
美国生产者物价指数,2008-08-19,1.2,0.6,1.8
美国生产者物价指数,2008-09-12,-0.9,-0.5,1.2
美国生产者物价指数,2008-10-15,-0.4,-0.4,-0.9
美国生产者物价指数,2008-11-18,-2.8,-1.9,-0.4
美国生产者物价指数,2008-12-12,-2.2,-2.0,-2.8
美国生产者物价指数,2009-01-15,-1.9,-2.0,-2.2
美国生产者物价指数,2009-02-19,0.8,0.2,-1.9
美国生产者物价指数,2009-03-17,0.1,0.3,0.8
美国生产者物价指数,2009-04-14,-1.2,-0.1,0.1
美国生产者物价指数,2009-05-14,0.3,0.1,-1.2
美国生产者物价指数,2009-06-16,0.2,0.6,0.3
美国生产者物价指数,2009-07-14,1.8,0.9,0.2
美国生产者物价指数,2009-08-18,-0.9,-0.2,1.8
美国生产者物价指数,2009-09-15,1.7,0.9,-0.9
美国生产者物价指数,2009-10-20,-0.6,0.0,1.7
美国生产者物价指数,2009-11-17,0.3,0.6,-0.6
美国生产者物价指数,2009-12-15,1.8,0.8,0.3
美国生产者物价指数,2010-01-20,0.2,0.1,1.8
美国生产者物价指数,2010-02-18,1.4,0.8,0.4
美国生产者物价指数,2010-03-17,-0.6,-0.2,1.4
美国生产者物价指数,2010-04-22,0.7,0.4,-0.6
美国生产者物价指数,2010-05-18,-0.1,0.1,0.7
美国生产者物价指数,2010-06-16,-0.3,-0.5,-0.1
美国生产者物价指数,2010-07-15,-0.5,-0.1,-0.3
美国生产者物价指数,2010-08-17,0.2,0.2,-0.5
美国生产者物价指数,2010-09-16,0.4,0.3,0.2
美国生产者物价指数,2010-10-14,0.4,0.2,0.4
美国生产者物价指数,2010-11-16,0.4,0.8,0.4
美国生产者物价指数,2010-12-14,0.8,0.5,0.4
美国生产者物价指数,2011-01-13,1.1,0.7,0.8
美国生产者物价指数,2011-02-16,0.8,0.8,0.9
美国生产者物价指数,2011-03-16,1.6,0.6,0.8
美国生产者物价指数,2011-04-14,0.7,1.0,1.6
美国生产者物价指数,2011-05-12,0.8,0.6,0.7
美国生产者物价指数,2011-06-14,0.2,0.1,0.8
美国生产者物价指数,2011-07-14,-0.4,-0.2,0.2
美国生产者物价指数,2011-08-17,0.2,0.1,-0.4
美国生产者物价指数,2011-09-14,0.0,0.0,0.2
美国生产者物价指数,2011-10-18,0.8,0.2,0.0
美国生产者物价指数,2011-11-15,-0.3,-0.2,0.8
美国生产者物价指数,2011-12-15,0.3,0.3,-0.3
美国生产者物价指数,2012-01-18,-0.1,0.1,0.3
美国生产者物价指数,2012-02-16,0.1,0.3,-0.1
美国生产者物价指数,2012-03-15,0.4,0.5,0.1
美国生产者物价指数,2012-04-12,0.0,0.3,0.4
美国生产者物价指数,2012-05-11,-0.2,0.0,0.0
美国生产者物价指数,2012-06-13,-1.0,-0.6,-0.2
美国生产者物价指数,2012-07-13,0.1,-0.5,-1.0
美国生产者物价指数,2012-08-14,0.3,0.2,0.1
美国生产者物价指数,2012-09-13,1.7,1.1,0.3
美国生产者物价指数,2012-10-12,1.1,0.7,1.7
美国生产者物价指数,2012-11-14,-0.2,0.2,1.1
美国生产者物价指数,2012-12-13,-0.8,-0.5,-0.2
美国生产者物价指数,2013-01-15,-0.2,-0.1,-0.8
美国生产者物价指数,2013-02-20,0.2,0.4,-0.3
美国生产者物价指数,2013-03-14,0.7,0.7,0.2
美国生产者物价指数,2013-04-12,-0.6,-0.2,0.7
美国生产者物价指数,2013-05-15,-0.7,-0.6,-0.6
美国生产者物价指数,2013-06-14,0.5,0.1,-0.7
美国生产者物价指数,2013-07-12,0.8,0.5,0.5
美国生产者物价指数,2013-08-14,0.0,0.3,0.8
美国生产者物价指数,2013-09-13,0.3,0.2,0.0
美国生产者物价指数,2013-10-29,-0.1,0.2,0.3
美国生产者物价指数,2013-11-21,-0.2,-0.2,-0.1
美国生产者物价指数,2013-12-13,-0.1,-0.1,-0.2
美国生产者物价指数,2014-01-15,0.4,0.4,-0.1
美国生产者物价指数,2014-02-19,0.2,0.1,0.1
美国生产者物价指数,2014-03-14,-0.1,0.2,0.2
美国生产者物价指数,2014-04-11,0.5,0.1,-0.1
美国生产者物价指数,2014-05-14,0.6,0.2,0.5
美国生产者物价指数,2014-06-13,-0.2,0.1,0.6
美国生产者物价指数,2014-07-16,0.4,0.2,-0.2
美国生产者物价指数,2014-08-15,0.1,0.1,0.4
美国生产者物价指数,2014-09-16,0.0,0.1,0.1
美国生产者物价指数,2014-10-15,-0.1,0.1,0.0
美国生产者物价指数,2014-11-18,0.2,-0.1,-0.1
美国生产者物价指数,2014-12-12,-0.2,-0.1,0.2
美国生产者物价指数,2015-01-15,-0.3,-0.4,-0.2
美国生产者物价指数,2015-02-18,-0.8,-0.4,-0.3
美国生产者物价指数,2015-03-13,-0.5,0.3,-0.8
美国生产者物价指数,2015-04-14,0.2,0.2,-0.5
美国生产者物价指数,2015-05-14,-0.4,0.2,0.2
美国生产者物价指数,2015-06-12,0.5,0.4,-0.4
美国生产者物价指数,2015-07-15,0.4,0.2,0.5
