商品,日期,今值,预测值,前值
美国实际个人消费支出季率初值,2013-11-07,1.5,1.6,1.8
美国实际个人消费支出季率初值,2013-12-05,1.4,1.5,1.5
美国实际个人消费支出季率初值,2013-12-20,2.0,1.4,1.4
美国实际个人消费支出季率初值,2014-01-30,3.3,3.7,2.0
美国实际个人消费支出季率初值,2014-02-28,2.6,2.9,3.3
美国实际个人消费支出季率初值,2014-03-27,3.3,2.8,2.6
美国实际个人消费支出季率初值,2014-04-30,3.0,1.9,3.3
美国实际个人消费支出季率初值,2014-05-29,3.1,3.1,3.0
美国实际个人消费支出季率初值,2014-06-25,1.0,2.5,3.1
美国实际个人消费支出季率初值,2014-07-30,2.5,1.9,1.2
美国实际个人消费支出季率初值,2014-08-28,2.5,,2.5
美国实际个人消费支出季率初值,2014-09-26,2.5,,2.5
美国实际个人消费支出季率初值,2014-10-30,1.8,1.9,2.5
美国实际个人消费支出季率初值,2014-11-25,2.2,1.9,1.8
美国实际个人消费支出季率初值,2014-12-23,3.2,,2.2
美国实际个人消费支出季率初值,2015-01-30,4.3,4.0,3.2
美国实际个人消费支出季率初值,2015-02-27,4.2,4.3,4.3
美国实际个人消费支出季率初值,2015-03-27,4.4,,4.2
美国实际个人消费支出季率初值,2015-04-29,1.9,1.7,4.4
美国实际个人消费支出季率初值,2015-05-29,1.8,2.0,1.9
美国实际个人消费支出季率初值,2015-06-24,2.1,1.9,1.8
美国实际个人消费支出季率初值,2015-07-30,2.9,2.7,1.8
美国实际个人消费支出季率初值,2015-08-27,3.1,3.1,2.9
美国实际个人消费支出季率初值,2015-09-25,3.6,,3.1
美国实际个人消费支出季率初值,2015-10-29,3.2,3.3,3.6
美国实际个人消费支出季率初值,2015-11-24,3.0,3.2,3.2
美国实际个人消费支出季率初值,2015-12-22,3.0,2.9,3.0
美国实际个人消费支出季率初值,2016-01-29,2.2,,3.0
美国实际个人消费支出季率初值,2016-02-26,2.0,,2.2
美国实际个人消费支出季率初值,2016-03-25,2.4,,2.0
美国实际个人消费支出季率初值,2016-04-28,1.9,,2.4
美国实际个人消费支出季率初值,2016-05-27,1.9,2.1,1.9
美国实际个人消费支出季率初值,2016-06-28,1.5,2.0,1.9
美国实际个人消费支出季率初值,2016-07-29,4.2,,1.6
美国实际个人消费支出季率初值,2016-08-26,4.4,4.2,4.2
美国实际个人消费支出季率初值,2016-09-29,4.3,4.4,4.4
美国实际个人消费支出季率初值,2016-10-28,2.1,2.6,4.3
美国实际个人消费支出季率初值,2016-11-29,2.8,,2.1
美国实际个人消费支出季率初值,2016-12-22,3.0,2.8,2.8
美国实际个人消费支出季率初值,2017-01-27,2.5,2.5,3.0
美国实际个人消费支出季率初值,2017-02-28,3.0,2.5,2.5
美国实际个人消费支出季率初值,2017-03-30,3.5,3.1,3.0
美国实际个人消费支出季率初值,2017-04-28,0.3,0.9,3.5
美国实际个人消费支出季率初值,2017-05-26,0.6,0.4,0.3
美国实际个人消费支出季率初值,2017-06-29,1.1,0.6,0.6
美国实际个人消费支出季率初值,2017-07-28,2.8,2.8,1.9
美国实际个人消费支出季率初值,2017-08-30,3.3,3.0,2.8
美国实际个人消费支出季率初值,2017-09-28,3.3,3.3,3.3
美国实际个人消费支出季率初值,2017-10-27,2.4,2.2,3.3
美国实际个人消费支出季率初值,2017-11-29,2.3,2.6,2.4
美国实际个人消费支出季率初值,2017-12-21,2.2,,2.3
美国实际个人消费支出季率初值,2018-01-26,3.8,3.7,2.2
美国实际个人消费支出季率初值,2018-02-28,3.8,3.6,3.8
美国实际个人消费支出季率初值,2018-03-28,4.0,3.8,3.8
美国实际个人消费支出季率初值,2018-04-27,1.1,1.2,4.0
美国实际个人消费支出季率初值,2018-05-30,1.0,1.2,1.1
美国实际个人消费支出季率初值,2018-06-28,0.9,,1.0
美国实际个人消费支出季率初值,2018-07-27,4.0,,0.5
美国实际个人消费支出季率初值,2018-08-29,3.8,3.9,4.0
美国实际个人消费支出季率初值,2018-09-27,3.8,,3.8
美国实际个人消费支出季率初值,2018-10-26,4.0,,3.8
美国实际个人消费支出季率初值,2018-11-28,3.6,,4.0
美国实际个人消费支出季率初值,2018-12-21,3.5,,3.6
美国实际个人消费支出季率初值,2019-02-28,2.8,,4.0
美国实际个人消费支出季率初值,2019-03-28,2.5,,2.8
美国实际个人消费支出季率初值,2019-04-26,1.2,,2.5
美国实际个人消费支出季率初值,2019-05-30,1.3,1.2,1.2
美国实际个人消费支出季率初值,2019-06-27,0.9,,1.3
美国实际个人消费支出季率初值,2019-07-26,4.3,,1.1
美国实际个人消费支出季率初值,2019-08-29,4.7,,4.3
美国实际个人消费支出季率初值,2019-09-26,4.6,,4.7
美国实际个人消费支出季率初值,2019-10-30,2.9,,4.6
美国实际个人消费支出季率初值,2019-11-27,2.9,,2.9
美国实际个人消费支出季率初值,2019-12-20,3.2,,2.9
美国实际个人消费支出季率初值,2020-01-30,1.8,,3.2
美国实际个人消费支出季率初值,2020-02-27,1.7,,1.8
美国实际个人消费支出季率初值,2020-03-26,1.8,,1.7
美国实际个人消费支出季率初值,2020-04-29,-7.6,,1.8
美国实际个人消费支出季率初值,2020-05-28,-6.8,,-7.6
美国实际个人消费支出季率初值,2020-06-25,8.2,,-6.8
美国实际个人消费支出季率初值,2020-07-30,-34.6,,-6.9
美国实际个人消费支出季率初值,2020-08-27,-34.1,,-34.6
美国实际个人消费支出季率初值,2020-09-30,-33.2,,-34.1
美国实际个人消费支出季率初值,2020-10-29,40.7,,-33.2
美国实际个人消费支出季率初值,2020-10-30,,,-33.2
美国实际个人消费支出季率初值,2020-11-25,40.6,,40.7
美国实际个人消费支出季率初值,2020-11-30,,,-33.2
美国实际个人消费支出季率初值,2020-12-22,41.0,,40.6
美国实际个人消费支出季率初值,2020-12-30,,,-33.2
美国实际个人消费支出季率初值,2021-01-28,2.5,,41.0
美国实际个人消费支出季率初值,2021-02-25,2.4,,2.5
美国实际个人消费支出季率初值,2021-03-25,2.3,,2.4
美国实际个人消费支出季率初值,2021-04-29,10.7,,2.3
美国实际个人消费支出季率初值,2021-05-27,11.3,,10.7
美国实际个人消费支出季率初值,2021-06-24,11.4,,11.3
美国实际个人消费支出季率初值,2021-07-29,11.8,,11.4
美国实际个人消费支出季率初值,2021-08-26,11.9,,11.8
美国实际个人消费支出季率初值,2021-09-30,12.0,,11.9
美国实际个人消费支出季率初值,2021-10-28,1.6,,12.0
美国实际个人消费支出季率初值,2021-11-24,1.7,,1.6
