日期,钻井总数_钻井数,钻井总数_变化,美国石油钻井_钻井数,美国石油钻井_变化,混合钻井_钻井数,混合钻井_变化,美国天然气钻井_钻井数,美国天然气钻井_变化
1987-07-17,922.0,,559.0,,26.0,,337.0,
1987-07-24,917.0,-5.0,565.0,6.0,21.0,-5.0,331.0,-6.0
1987-07-31,973.0,56.0,605.0,40.0,22.0,1.0,346.0,15.0
1987-08-07,983.0,10.0,613.0,8.0,21.0,-1.0,349.0,3.0
1987-08-14,998.0,15.0,620.0,7.0,26.0,5.0,352.0,3.0
1987-08-21,1012.0,14.0,627.0,7.0,31.0,5.0,354.0,2.0
1987-08-28,1049.0,37.0,665.0,38.0,23.0,-8.0,361.0,7.0
1987-09-04,1099.0,50.0,704.0,39.0,26.0,3.0,369.0,8.0
1987-09-11,1108.0,9.0,718.0,14.0,26.0,0.0,364.0,-5.0
1987-09-18,1101.0,-7.0,711.0,-7.0,23.0,-3.0,367.0,3.0
1987-09-25,1094.0,-7.0,718.0,7.0,20.0,-3.0,356.0,-11.0
1987-10-02,1127.0,33.0,721.0,3.0,39.0,19.0,367.0,11.0
1987-10-09,1104.0,-23.0,723.0,2.0,3.0,-36.0,378.0,11.0
1987-10-16,1134.0,30.0,725.0,2.0,18.0,15.0,391.0,13.0
1987-10-23,1130.0,-4.0,740.0,15.0,18.0,0.0,372.0,-19.0
1987-10-30,1131.0,1.0,738.0,-2.0,19.0,1.0,374.0,2.0
1987-11-06,1141.0,10.0,734.0,-4.0,20.0,1.0,387.0,13.0
1987-11-13,1174.0,33.0,760.0,26.0,21.0,1.0,393.0,6.0
1987-11-20,1152.0,-22.0,746.0,-14.0,20.0,-1.0,386.0,-7.0
1987-11-27,1161.0,9.0,750.0,4.0,22.0,2.0,389.0,3.0
1987-12-04,1152.0,-9.0,757.0,7.0,1.0,-21.0,394.0,5.0
1987-12-11,1181.0,29.0,764.0,7.0,18.0,17.0,399.0,5.0
1987-12-18,1168.0,-13.0,745.0,-19.0,18.0,0.0,405.0,6.0
1987-12-25,1145.0,-23.0,716.0,-29.0,17.0,-1.0,412.0,7.0
1988-01-01,1121.0,-24.0,710.0,-6.0,19.0,2.0,392.0,-20.0
1988-01-08,1102.0,-19.0,689.0,-21.0,23.0,4.0,390.0,-2.0
1988-01-15,1054.0,-48.0,641.0,-48.0,21.0,-2.0,392.0,2.0
1988-01-22,1026.0,-28.0,611.0,-30.0,25.0,4.0,390.0,-2.0
1988-01-29,964.0,-62.0,573.0,-38.0,25.0,0.0,366.0,-24.0
1988-02-05,986.0,22.0,580.0,7.0,25.0,0.0,381.0,15.0
1988-02-12,968.0,-18.0,557.0,-23.0,26.0,1.0,385.0,4.0
1988-02-19,978.0,10.0,575.0,18.0,26.0,0.0,377.0,-8.0
