商品,日期,今值,预测值,前值
美国Markit服务业PMI初值报告,2012-07-01,53.2,,
美国Markit服务业PMI初值报告,2012-08-01,51.2,,53.2
美国Markit服务业PMI初值报告,2012-09-01,52.0,,51.2
美国Markit服务业PMI初值报告,2012-10-01,50.7,,52.0
美国Markit服务业PMI初值报告,2012-11-01,52.7,,50.7
美国Markit服务业PMI初值报告,2012-12-01,53.8,,52.7
美国Markit服务业PMI初值报告,2013-01-01,53.0,,53.8
美国Markit服务业PMI初值报告,2013-02-01,53.1,,53.0
美国Markit服务业PMI初值报告,2013-03-01,53.9,,53.1
美国Markit服务业PMI初值报告,2013-04-01,53.2,,53.9
美国Markit服务业PMI初值报告,2013-05-01,53.8,,53.2
美国Markit服务业PMI初值报告,2013-06-01,54.9,,53.8
美国Markit服务业PMI初值报告,2013-07-01,56.3,,54.9
美国Markit服务业PMI初值报告,2013-08-01,57.2,,56.3
美国Markit服务业PMI初值报告,2013-09-01,56.7,,57.2
美国Markit服务业PMI初值报告,2013-10-01,57.7,,56.7
美国Markit服务业PMI初值报告,2013-11-25,57.1,,49.3
美国Markit服务业PMI初值报告,2013-12-04,55.9,57.1,57.1
美国Markit服务业PMI初值报告,2013-12-18,56.0,56.4,55.9
美国Markit服务业PMI初值报告,2014-01-06,55.7,56.0,56.0
美国Markit服务业PMI初值报告,2014-01-27,56.6,56.2,55.7
美国Markit服务业PMI初值报告,2014-02-05,56.7,56.6,56.6
美国Markit服务业PMI初值报告,2014-02-24,52.7,56.9,56.7
美国Markit服务业PMI初值报告,2014-03-05,53.3,52.7,52.7
美国Markit服务业PMI初值报告,2014-03-26,55.5,54.2,53.3
美国Markit服务业PMI初值报告,2014-04-03,55.3,55.5,55.5
美国Markit服务业PMI初值报告,2014-04-25,54.2,,55.3
美国Markit服务业PMI初值报告,2014-05-05,55.0,54.2,54.2
美国Markit服务业PMI初值报告,2014-05-27,58.4,55.6,55.0
美国Markit服务业PMI初值报告,2014-06-04,58.1,58.4,58.4
美国Markit服务业PMI初值报告,2014-06-25,61.2,58.6,58.1
美国Markit服务业PMI初值报告,2014-07-03,61.0,61.1,61.2
美国Markit服务业PMI初值报告,2014-07-28,61.0,59.8,61.0
美国Markit服务业PMI初值报告,2014-08-05,60.8,61.0,61.0
美国Markit服务业PMI初值报告,2014-08-25,58.5,59.5,60.8
美国Markit服务业PMI初值报告,2014-09-04,59.5,,58.5
美国Markit服务业PMI初值报告,2014-09-25,58.5,59.0,59.5
美国Markit服务业PMI初值报告,2014-10-03,58.9,58.5,58.5
美国Markit服务业PMI初值报告,2014-10-27,57.3,58.0,58.9
美国Markit服务业PMI初值报告,2014-11-05,57.1,57.3,57.3
美国Markit服务业PMI初值报告,2014-11-24,56.3,57.3,57.1
美国Markit服务业PMI初值报告,2014-12-03,56.2,56.3,56.3
美国Markit服务业PMI初值报告,2014-12-18,53.6,57.1,56.2
美国Markit服务业PMI初值报告,2015-01-06,53.3,53.8,53.6
美国Markit服务业PMI初值报告,2015-01-27,54.0,53.8,53.3
美国Markit服务业PMI初值报告,2015-02-04,54.2,54.3,54.0
美国Markit服务业PMI初值报告,2015-02-24,57.0,54.1,54.2
美国Markit服务业PMI初值报告,2015-03-04,57.1,57.0,57.0
美国Markit服务业PMI初值报告,2015-03-26,58.6,57.2,57.1
美国Markit服务业PMI初值报告,2015-04-06,59.2,58.6,58.6
美国Markit服务业PMI初值报告,2015-04-27,57.8,59.5,59.2
美国Markit服务业PMI初值报告,2015-05-05,57.4,57.8,57.8
美国Markit服务业PMI初值报告,2015-05-26,56.4,56.8,57.4
