商品,日期,今值,预测值,前值
美国贸易帐报告,1970-01-01,2.0,,
美国贸易帐报告,1970-02-01,1.0,,2.0
美国贸易帐报告,1970-03-01,2.0,,1.0
美国贸易帐报告,1970-04-01,1.0,,2.0
美国贸易帐报告,1970-05-01,1.0,,1.0
美国贸易帐报告,1970-06-01,3.0,,1.0
美国贸易帐报告,1970-07-01,4.0,,3.0
美国贸易帐报告,1970-08-01,4.0,,4.0
美国贸易帐报告,1970-09-01,2.0,,4.0
美国贸易帐报告,1970-10-01,1.0,,2.0
美国贸易帐报告,1970-11-01,2.0,,1.0
美国贸易帐报告,1970-12-01,1.0,,2.0
美国贸易帐报告,1971-01-01,2.0,,1.0
美国贸易帐报告,1971-02-01,1.0,,2.0
美国贸易帐报告,1971-03-01,2.0,,1.0
美国贸易帐报告,1971-04-01,3.0,,2.0
美国贸易帐报告,1971-05-01,-1.0,,3.0
美国贸易帐报告,1971-06-01,-1.0,,-1.0
美国贸易帐报告,1971-07-01,-3.0,,-1.0
美国贸易帐报告,1971-08-01,-2.0,,-3.0
美国贸易帐报告,1971-09-01,-2.0,,-2.0
美国贸易帐报告,1971-10-01,3.0,,-2.0
美国贸易帐报告,1971-11-01,-7.0,,3.0
美国贸易帐报告,1971-12-01,-2.0,,-7.0
美国贸易帐报告,1972-01-01,-2.0,,-2.0
美国贸易帐报告,1972-02-01,-3.0,,-2.0
美国贸易帐报告,1972-03-01,-5.0,,-3.0
美国贸易帐报告,1972-04-01,-5.0,,-5.0
美国贸易帐报告,1972-05-01,-6.0,,-5.0
美国贸易帐报告,1972-06-01,-6.0,,-6.0
美国贸易帐报告,1972-07-01,-5.0,,-6.0
美国贸易帐报告,1972-08-01,-3.0,,-5.0
美国贸易帐报告,1972-09-01,-4.0,,-3.0
美国贸易帐报告,1972-10-01,-3.0,,-4.0
美国贸易帐报告,1972-11-01,-4.0,,-3.0
美国贸易帐报告,1972-12-01,-6.0,,-4.0
美国贸易帐报告,1973-01-01,-4.0,,-6.0
美国贸易帐报告,1973-02-01,-3.0,,-4.0
美国贸易帐报告,1973-03-01,-4.0,,-3.0
美国贸易帐报告,1973-04-01,-1.0,,-4.0
美国贸易帐报告,1973-05-01,2.0,,-1.0
美国贸易帐报告,1973-06-01,-1.0,,2.0
美国贸易帐报告,1973-07-01,0.0,,-1.0
美国贸易帐报告,1973-08-01,2.0,,0.0
美国贸易帐报告,1973-09-01,2.0,,2.0
美国贸易帐报告,1973-10-01,9.0,,2.0
美国贸易帐报告,1973-11-01,7.0,,9.0
美国贸易帐报告,1973-12-01,3.0,,7.0
美国贸易帐报告,1974-01-01,8.0,,3.0
美国贸易帐报告,1974-02-01,6.0,,8.0
美国贸易帐报告,1974-03-01,1.0,,6.0
美国贸易帐报告,1974-04-01,-3.0,,1.0
美国贸易帐报告,1974-05-01,0.0,,-3.0
美国贸易帐报告,1974-06-01,-7.0,,0.0
美国贸易帐报告,1974-07-01,-4.0,,-7.0
美国贸易帐报告,1974-08-01,-8.0,,-4.0
美国贸易帐报告,1974-09-01,-10.0,,-8.0
美国贸易帐报告,1974-10-01,-5.0,,-10.0
美国贸易帐报告,1974-11-01,-2.0,,-5.0
美国贸易帐报告,1974-12-01,-1.0,,-2.0
美国贸易帐报告,1975-01-01,-7.0,,-1.0
美国贸易帐报告,1975-02-01,-4.0,,-7.0
美国贸易帐报告,1975-03-01,10.0,,-4.0
美国贸易帐报告,1975-04-01,13.0,,10.0
美国贸易帐报告,1975-05-01,10.0,,13.0
美国贸易帐报告,1975-06-01,13.0,,10.0
美国贸易帐报告,1975-07-01,19.0,,13.0
美国贸易帐报告,1975-08-01,9.0,,19.0
美国贸易帐报告,1975-09-01,10.0,,9.0
美国贸易帐报告,1975-10-01,9.0,,10.0
美国贸易帐报告,1975-11-01,9.0,,9.0
美国贸易帐报告,1975-12-01,12.0,,9.0
美国贸易帐报告,1976-01-01,8.0,,12.0
美国贸易帐报告,1976-02-01,0.0,,8.0
美国贸易帐报告,1976-03-01,-1.0,,0.0
美国贸易帐报告,1976-04-01,-5.0,,-1.0
美国贸易帐报告,1976-05-01,-3.0,,-5.0
美国贸易帐报告,1976-06-01,3.0,,-3.0
美国贸易帐报告,1976-07-01,-6.0,,3.0
美国贸易帐报告,1976-08-01,-7.0,,-6.0
美国贸易帐报告,1976-09-01,-5.0,,-7.0
美国贸易帐报告,1976-10-01,-8.0,,-5.0
美国贸易帐报告,1976-11-01,-7.0,,-8.0
美国贸易帐报告,1976-12-01,-10.0,,-7.0
美国贸易帐报告,1977-01-01,-8.0,,-10.0
美国贸易帐报告,1977-02-01,-7.0,,-8.0
美国贸易帐报告,1977-03-01,-28.0,,-7.0
美国贸易帐报告,1977-04-01,-24.0,,-28.0
美国贸易帐报告,1977-05-01,-19.0,,-24.0
美国贸易帐报告,1977-06-01,-6.0,,-19.0
美国贸易帐报告,1977-07-01,-33.0,,-6.0
美国贸易帐报告,1977-08-01,-19.0,,-33.0
美国贸易帐报告,1977-09-01,-25.0,,-19.0
美国贸易帐报告,1977-10-01,-17.0,,-25.0
美国贸易帐报告,1977-11-01,-33.0,,-17.0
美国贸易帐报告,1977-12-01,-30.0,,-33.0
美国贸易帐报告,1978-01-01,-23.0,,-30.0
美国贸易帐报告,1978-02-01,-34.0,,-23.0
美国贸易帐报告,1978-03-01,-43.0,,-34.0
美国贸易帐报告,1978-04-01,-28.0,,-43.0
