商品,日期,今值,预测值,前值
美国失业率,1970-01-01,3.5,,3.5
美国失业率,1970-02-01,3.9,,3.5
美国失业率,1970-03-01,4.2,,3.9
美国失业率,1970-04-01,4.4,,4.2
美国失业率,1970-05-01,4.6,,4.4
美国失业率,1970-06-01,4.8,,4.6
美国失业率,1970-07-01,4.9,,4.8
美国失业率,1970-08-01,5.0,,4.9
美国失业率,1970-09-01,5.1,,5.0
美国失业率,1970-10-01,5.4,,5.1
美国失业率,1970-11-01,5.5,,5.4
美国失业率,1970-12-01,5.9,,5.5
美国失业率,1971-01-01,6.1,,5.9
美国失业率,1971-02-01,5.9,,6.1
美国失业率,1971-03-01,5.9,,5.9
美国失业率,1971-04-01,6.0,,5.9
美国失业率,1971-05-01,5.9,,6.0
美国失业率,1971-06-01,5.9,,5.9
美国失业率,1971-07-01,5.9,,5.9
美国失业率,1971-08-01,6.0,,5.9
美国失业率,1971-09-01,6.1,,6.0
美国失业率,1971-10-01,6.0,,6.1
美国失业率,1971-11-01,5.8,,6.0
美国失业率,1971-12-01,6.0,,5.8
美国失业率,1972-01-01,6.0,,6.0
美国失业率,1972-02-01,5.8,,6.0
美国失业率,1972-03-01,5.7,,5.8
美国失业率,1972-04-01,5.8,,5.7
美国失业率,1972-05-01,5.7,,5.8
美国失业率,1972-06-01,5.7,,5.7
美国失业率,1972-07-01,5.7,,5.7
美国失业率,1972-08-01,5.6,,5.7
美国失业率,1972-09-01,5.6,,5.6
美国失业率,1972-10-01,5.5,,5.6
美国失业率,1972-11-01,5.6,,5.5
美国失业率,1972-12-01,5.3,,5.6
美国失业率,1973-01-01,5.2,,5.3
美国失业率,1973-02-01,4.9,,5.2
美国失业率,1973-03-01,5.0,,4.9
美国失业率,1973-04-01,4.9,,5.0
美国失业率,1973-05-01,5.0,,4.9
美国失业率,1973-06-01,4.9,,5.0
美国失业率,1973-07-01,4.9,,4.9
美国失业率,1973-08-01,4.8,,4.9
美国失业率,1973-09-01,4.8,,4.8
美国失业率,1973-10-01,4.8,,4.8
美国失业率,1973-11-01,4.6,,4.8
美国失业率,1973-12-01,4.8,,4.6
美国失业率,1974-01-01,4.9,,4.8
美国失业率,1974-02-01,5.1,,4.9
美国失业率,1974-03-01,5.2,,5.1
美国失业率,1974-04-01,5.1,,5.2
美国失业率,1974-05-01,5.1,,5.1
美国失业率,1974-06-01,5.1,,5.1
美国失业率,1974-07-01,5.4,,5.1
美国失业率,1974-08-01,5.5,,5.4
美国失业率,1974-09-01,5.5,,5.5
美国失业率,1974-10-01,5.9,,5.5
美国失业率,1974-11-01,6.0,,5.9
美国失业率,1974-12-01,6.6,,6.0
美国失业率,1975-01-01,7.2,,6.6
美国失业率,1975-02-01,8.1,,7.2
美国失业率,1975-03-01,8.1,,8.1
美国失业率,1975-04-01,8.6,,8.1
美国失业率,1975-05-01,8.8,,8.6
美国失业率,1975-06-01,9.0,,8.8
美国失业率,1975-07-01,8.8,,9.0
美国失业率,1975-08-01,8.6,,8.8
美国失业率,1975-09-01,8.4,,8.6
美国失业率,1975-10-01,8.4,,8.4
美国失业率,1975-11-01,8.4,,8.4
美国失业率,1975-12-01,8.3,,8.4
美国失业率,1976-01-01,8.2,,8.3
美国失业率,1976-02-01,7.9,,8.2
美国失业率,1976-03-01,7.7,,7.9
美国失业率,1976-04-01,7.6,,7.7
美国失业率,1976-05-01,7.7,,7.6
美国失业率,1976-06-01,7.4,,7.7
美国失业率,1976-07-01,7.6,,7.4
美国失业率,1976-08-01,7.8,,7.6
美国失业率,1976-09-01,7.8,,7.8
美国失业率,1976-10-01,7.6,,7.8
美国失业率,1976-11-01,7.7,,7.6
美国失业率,1976-12-01,7.8,,7.7
美国失业率,1977-01-01,7.8,,7.8
美国失业率,1977-02-01,7.5,,7.8
美国失业率,1977-03-01,7.6,,7.5
美国失业率,1977-04-01,7.4,,7.6
美国失业率,1977-05-01,7.2,,7.4
美国失业率,1977-06-01,7.0,,7.2
美国失业率,1977-07-01,7.2,,7.0
美国失业率,1977-08-01,6.9,,7.2
美国失业率,1977-09-01,7.0,,6.9
美国失业率,1977-10-01,6.8,,7.0
美国失业率,1977-11-01,6.8,,6.8
美国失业率,1977-12-01,6.8,,6.8
美国失业率,1978-01-01,6.4,,6.8
美国失业率,1978-02-01,6.4,,6.4
美国失业率,1978-03-01,6.3,,6.4
美国失业率,1978-04-01,6.3,,6.3
