股票代码,除权日,分红,送股,转增,实物,交易所,股票简称,报告期
601788,2025-11-26,1.10元,-,-,-,SH,光大证券,2025-11-26
600482,2025-11-26,0.82元,-,-,-,SH,中国动力,2025-11-26
603298,2025-11-26,2.00元,-,-,-,SH,杭叉集团,2025-11-26
000088,2025-11-26,0.88元,-,-,-,SZ,盐 田 港,2025-11-26
06808,2025-11-26,0.08港元,-,-,-,HK,高鑫零售,2025-11-26
603040,2025-11-26,2.50元,-,-,-,SH,新坐标,2025-11-26
603008,2025-11-26,2.80元,-,-,-,SH,喜临门,2025-11-26
603676,2025-11-26,1.47元,-,-,-,SH,卫信康,2025-11-26
920112,2025-11-26,5.00元,-,-,-,BJ,巴兰仕,2025-11-26
301023,2025-11-26,4.00元,-,-,-,SZ,奕帆传动,2025-11-26
001228,2025-11-26,3.00元,-,-,-,SZ,永泰运,2025-11-26
00331,2025-11-26,0.18港元,-,-,-,HK,丰盛生活服务,2025-11-26
300246,2025-11-26,0.50元,-,-,-,SZ,宝莱特,2025-11-26
688193,2025-11-26,1.50元,-,-,-,SH,仁度生物,2025-11-26
06668,2025-11-26,0.05港元,-,-,-,HK,星盛商业,2025-11-26
