合约编码,合约交易代码,合约简称,标的券名称及代码,类型,行权价,合约单位,期权行权日,行权交收日,到期日,开始日期
10011381,510050C2605M02700,50ETF购5月2700,50ETF(510050),认购,2.700,10000,20260527,20260528,20260527,20260327
10011291,510050C2605M02750,50ETF购5月2750,50ETF(510050),认购,2.750,10000,20260527,20260528,20260527,20260326
10011292,510050C2605M02800,50ETF购5月2800,50ETF(510050),认购,2.800,10000,20260527,20260528,20260527,20260326
10011293,510050C2605M02850,50ETF购5月2850,50ETF(510050),认购,2.850,10000,20260527,20260528,20260527,20260326
10011294,510050C2605M02900,50ETF购5月2900,50ETF(510050),认购,2.900,10000,20260527,20260528,20260527,20260326
10011295,510050C2605M02950,50ETF购5月2950,50ETF(510050),认购,2.950,10000,20260527,20260528,20260527,20260326
10011296,510050C2605M03000,50ETF购5月3000,50ETF(510050),认购,3.000,10000,20260527,20260528,20260527,20260326
10011297,510050C2605M03100,50ETF购5月3100,50ETF(510050),认购,3.100,10000,20260527,20260528,20260527,20260326
10011298,510050C2605M03200,50ETF购5月3200,50ETF(510050),认购,3.200,10000,20260527,20260528,20260527,20260326
10011299,510050C2605M03300,50ETF购5月3300,50ETF(510050),认购,3.300,10000,20260527,20260528,20260527,20260326
10011399,510050C2605M03400,50ETF购5月3400,50ETF(510050),认购,3.400,10000,20260527,20260528,20260527,20260409
10010295,510050C2606A02850,50ETF购6月2776A,50ETF(510050),认购,2.776,10265,20260624,20260625,20260624,20251023
10010296,510050C2606A02900,50ETF购6月2825A,50ETF(510050),认购,2.825,10265,20260624,20260625,20260624,20251023
10010297,510050C2606A02950,50ETF购6月2874A,50ETF(510050),认购,2.874,10265,20260624,20260625,20260624,20251023
10010298,510050C2606A03000,50ETF购6月2923A,50ETF(510050),认购,2.923,10265,20260624,20260625,20260624,20251023
10010299,510050C2606A03100,50ETF购6月3020A,50ETF(510050),认购,3.020,10265,20260624,20260625,20260624,20251023
10010300,510050C2606A03200,50ETF购6月3117A,50ETF(510050),认购,3.117,10265,20260624,20260625,20260624,20251023
10010301,510050C2606A03300,50ETF购6月3215A,50ETF(510050),认购,3.215,10265,20260624,20260625,20260624,20251023
10010302,510050C2606A03400,50ETF购6月3312A,50ETF(510050),认购,3.312,10265,20260624,20260625,20260624,20251023
10010303,510050C2606A03500,50ETF购6月3410A,50ETF(510050),认购,3.410,10265,20260624,20260625,20260624,20251023
10010385,510050C2606A03600,50ETF购6月3507A,50ETF(510050),认购,3.507,10265,20260624,20260625,20260624,20251024
10011251,510050C2606M02650,50ETF购6月2650,50ETF(510050),认购,2.650,10000,20260624,20260625,20260624,20260324
10011252,510050C2606M02700,50ETF购6月2700,50ETF(510050),认购,2.700,10000,20260624,20260625,20260624,20260324
10011231,510050C2606M02750,50ETF购6月2750,50ETF(510050),认购,2.750,10000,20260624,20260625,20260624,20260323
10010597,510050C2606M02800,50ETF购6月2800,50ETF(510050),认购,2.800,10000,20260624,20260625,20260624,20251217
10010598,510050C2606M02850,50ETF购6月2850,50ETF(510050),认购,2.850,10000,20260624,20260625,20260624,20251217
10010599,510050C2606M02900,50ETF购6月2900,50ETF(510050),认购,2.900,10000,20260624,20260625,20260624,20251217
10010600,510050C2606M02950,50ETF购6月2950,50ETF(510050),认购,2.950,10000,20260624,20260625,20260624,20251217
10010601,510050C2606M03000,50ETF购6月3000,50ETF(510050),认购,3.000,10000,20260624,20260625,20260624,20251217
10010602,510050C2606M03100,50ETF购6月3100,50ETF(510050),认购,3.100,10000,20260624,20260625,20260624,20251217
10010603,510050C2606M03200,50ETF购6月3200,50ETF(510050),认购,3.200,10000,20260624,20260625,20260624,20251217
10010604,510050C2606M03300,50ETF购6月3300,50ETF(510050),认购,3.300,10000,20260624,20260625,20260624,20251217
10010605,510050C2606M03400,50ETF购6月3400,50ETF(510050),认购,3.400,10000,20260624,20260625,20260624,20251217
10010621,510050C2606M03500,50ETF购6月3500,50ETF(510050),认购,3.500,10000,20260624,20260625,20260624,20251218
10010729,510050C2606M03600,50ETF购6月3600,50ETF(510050),认购,3.600,10000,20260624,20260625,20260624,20260106
10011255,510050C2609M02650,50ETF购9月2650,50ETF(510050),认购,2.650,10000,20260923,20260924,20260923,20260324
10011256,510050C2609M02700,50ETF购9月2700,50ETF(510050),认购,2.700,10000,20260923,20260924,20260923,20260324
10011233,510050C2609M02750,50ETF购9月2750,50ETF(510050),认购,2.750,10000,20260923,20260924,20260923,20260323
10011215,510050C2609M02800,50ETF购9月2800,50ETF(510050),认购,2.800,10000,20260923,20260924,20260923,20260310
10010971,510050C2609M02850,50ETF购9月2850,50ETF(510050),认购,2.850,10000,20260923,20260924,20260923,20260129
10010972,510050C2609M02900,50ETF购9月2900,50ETF(510050),认购,2.900,10000,20260923,20260924,20260923,20260129
10010973,510050C2609M02950,50ETF购9月2950,50ETF(510050),认购,2.950,10000,20260923,20260924,20260923,20260129
10010974,510050C2609M03000,50ETF购9月3000,50ETF(510050),认购,3.000,10000,20260923,20260924,20260923,20260129
10010975,510050C2609M03100,50ETF购9月3100,50ETF(510050),认购,3.100,10000,20260923,20260924,20260923,20260129
10010976,510050C2609M03200,50ETF购9月3200,50ETF(510050),认购,3.200,10000,20260923,20260924,20260923,20260129
10010977,510050C2609M03300,50ETF购9月3300,50ETF(510050),认购,3.300,10000,20260923,20260924,20260923,20260129
10010978,510050C2609M03400,50ETF购9月3400,50ETF(510050),认购,3.400,10000,20260923,20260924,20260923,20260129
10010979,510050C2609M03500,50ETF购9月3500,50ETF(510050),认购,3.500,10000,20260923,20260924,20260923,20260129
10011061,510050C2609M03600,50ETF购9月3600,50ETF(510050),认购,3.600,10000,20260923,20260924,20260923,20260130
10011425,510050C2612M02800,50ETF购12月2800,50ETF(510050),认购,2.800,10000,20261223,20261224,20261223,20260423
10011426,510050C2612M02850,50ETF购12月2850,50ETF(510050),认购,2.850,10000,20261223,20261224,20261223,20260423
