TRADE_DATE,SECURITY_ID,CONTRACT_ID,CONTRACT_SYMBOL,DELTA_VALUE,THETA_VALUE,GAMMA_VALUE,VEGA_VALUE,RHO_VALUE,IMPLC_VOLATLTY
2024-06-26,10007437,510050C2407M02250,50ETF购7月2250,0.954,-0.14,0.783,0.065,0.163,0.182
2024-06-26,10007425,510050C2407M02300,50ETF购7月2300,0.935,-0.146,1.256,0.086,0.164,0.149
2024-06-26,10007333,510050C2407M02350,50ETF购7月2350,0.854,-0.2,2.411,0.155,0.152,0.141
2024-06-26,10007334,510050C2407M02400,50ETF购7月2400,0.707,-0.248,3.872,0.232,0.128,0.131
2024-06-26,10007335,510050C2407M02450,50ETF购7月2450,0.491,-0.261,4.576,0.27,0.089,0.129
2024-06-26,10007336,510050C2407M02500,50ETF购7月2500,0.278,-0.21,3.85,0.227,0.051,0.129
2024-06-26,10007337,510050C2407M02550,50ETF购7月2550,0.136,-0.138,2.409,0.147,0.025,0.134
2024-06-26,10007338,510050C2407M02600,50ETF购7月2600,0.068,-0.089,1.335,0.089,0.012,0.145
2024-06-26,10007339,510050C2407M02650,50ETF购7月2650,0.035,-0.055,0.722,0.052,0.006,0.157
2024-06-26,10007340,510050C2407M02700,50ETF购7月2700,0.021,-0.039,0.426,0.034,0.004,0.172
2024-06-26,10007341,510050C2407M02750,50ETF购7月2750,0.013,-0.029,0.266,0.023,0.002,0.188
2024-06-26,10006861,510050C2409M02050,50ETF购9月2050,0.984,-0.075,0.186,0.048,0.498,0.172
2024-06-26,10006729,510050C2409M02100,50ETF购9月2100,0.975,-0.083,0.291,0.071,0.504,0.165
2024-06-26,10006730,510050C2409M02150,50ETF购9月2150,0.962,-0.091,0.439,0.101,0.508,0.155
2024-06-26,10006731,510050C2409M02200,50ETF购9月2200,0.929,-0.11,0.715,0.166,0.5,0.156
2024-06-26,10006732,510050C2409M02250,50ETF购9月2250,0.9,-0.119,1.008,0.213,0.494,0.142
2024-06-26,10006733,510050C2409M02300,50ETF购9月2300,0.837,-0.14,1.43,0.301,0.466,0.141
2024-06-26,10006734,510050C2409M02350,50ETF购9月2350,0.753,-0.158,1.855,0.385,0.425,0.14
2024-06-26,10006735,510050C2409M02400,50ETF购9月2400,0.65,-0.169,2.193,0.452,0.371,0.139
2024-06-26,10006736,510050C2409M02450,50ETF购9月2450,0.535,-0.171,2.345,0.484,0.307,0.139
2024-06-26,10006737,510050C2409M02500,50ETF购9月2500,0.419,-0.161,2.305,0.476,0.243,0.139
2024-06-26,10006819,510050C2409M02550,50ETF购9月2550,0.314,-0.143,2.078,0.432,0.183,0.14
2024-06-26,10006889,510050C2409M02600,50ETF购9月2600,0.225,-0.119,1.74,0.366,0.132,0.141
2024-06-26,10006901,510050C2409M02650,50ETF购9月2650,0.158,-0.096,1.372,0.294,0.093,0.144
2024-06-26,10007023,510050C2409M02700,50ETF购9月2700,0.11,-0.076,1.04,0.229,0.065,0.148
2024-06-26,10007243,510050C2409M02750,50ETF购9月2750,0.078,-0.061,0.779,0.178,0.046,0.154
2024-06-26,10007139,510050C2412M02250,50ETF购12月2250,0.837,-0.115,0.977,0.424,0.896,0.146
2024-06-26,10007140,510050C2412M02300,50ETF购12月2300,0.784,-0.122,1.19,0.506,0.851,0.143
2024-06-26,10007141,510050C2412M02350,50ETF购12月2350,0.717,-0.13,1.379,0.584,0.787,0.142
2024-06-26,10007142,510050C2412M02400,50ETF购12月2400,0.644,-0.132,1.544,0.643,0.715,0.14
2024-06-26,10007143,510050C2412M02450,50ETF购12月2450,0.563,-0.133,1.626,0.679,0.631,0.141
2024-06-26,10007144,510050C2412M02500,50ETF购12月2500,0.483,-0.129,1.643,0.687,0.544,0.141
2024-06-26,10007145,510050C2412M02550,50ETF购12月2550,0.404,-0.122,1.591,0.668,0.459,0.141
2024-06-26,10007146,510050C2412M02600,50ETF购12月2600,0.333,-0.112,1.482,0.626,0.379,0.142
2024-06-26,10007147,510050C2412M02650,50ETF购12月2650,0.27,-0.1,1.332,0.569,0.309,0.144
