代码,名称,现价,涨幅,成交,场内份额,场内新增,净值,净值日期,估值,溢价率,相关标的,指数涨幅,申购费,赎回费,托管费,基金公司
520990,港股央企红利50ETF,1.08,0.37%,8687.99,482247,0,1.0856,2026-04-23,,-,中证国新港股通央企红利,0.24%,-,-,0.6,景顺长城
520840,港股通恒生科技ETF,0.809,1.25%,6450.8,147755,0,0.8047,2026-04-23,,-,恒生港股通科技,1.29%,-,-,0.6,华安基金
159557,恒生医疗指数ETF,1.473,0.14%,5058.83,16589,0,1.4786,2026-04-23,,-,恒生医疗保健,0.38%,0.50%,0.50%,0.6,嘉实基金
159788,港股通100ETF,1.276,0.31%,1441.69,12642,0,1.2799,2026-04-23,,-,港股通中国100,0.46%,0.50%,0.50%,0.2,易方达
513070,港股消费50ETF,1.21,0.00%,15678.17,164176,100,1.2184,2026-04-23,,-,中证港股通消费,0.07%,0.50%,0.50%,0.2,易方达
520700,港股创新药ETF基金,1.53,0.33%,23376.73,50208,0,1.5324,2026-04-23,,-,港股通创新药指数,0.60%,-,-,0.6,万家基金
513770,港股互联网ETF,0.423,-0.70%,39846.73,2486814,1700,0.4271,2026-04-23,,-,港股通互联网,-0.21%,-,-,0.6,华宝基金
159792,港股通互联网ETF,0.69,-0.14%,197394.5,8907186,-8000,0.6966,2026-04-23,,-,港股通互联网,-0.21%,-,-,0.6,富国基金
513990,港股通ETF,1.149,0.09%,2872.92,8100,0,1.1559,2026-04-23,,-,港股通,0.16%,-,-,0.25,招商基金
520930,恒生生物科技ETF国泰,0.945,-0.11%,1321.19,12473,0,0.9476,2026-04-23,,-,恒生生物科技,0.47%,-,-,0.6,国泰基金
159127,港股通红利ETF南方,0.98,-0.10%,824.32,22584,0,0.9875,2026-04-23,,-,港股通高股息,-0.01%,-,-,0.2,南方基金
513560,香港科技ETF,1.2,0.59%,8066.64,67339,0,1.2003,2026-04-23,,-,港股通科技,0.74%,-,,0.6,兴银基金
520690,港股创新药精选ETF,0.828,0.73%,9344.21,52445,1300,0.8248,2026-04-23,,-,恒生港股通创新药精选,1.16%,-,-,0.6,博时基金
520620,港股通消费ETF,0.875,0.11%,319.23,42941,0,0.88,2026-04-23,,-,恒生消费,0.22%,-,-,0.6,嘉实基金
513120,港股创新药ETF,1.237,0.49%,580450.76,2060214,-250,1.2388,2026-04-23,,-,港股创新药,0.65%,-,-,0.6,广发基金
513590,香港消费ETF,0.848,-0.12%,350.52,17102,0,0.8542,2026-04-23,,-,中证港股通消费,0.07%,-,-,0.6,鹏华基金
159118,港股通红利低波ETF基金,1.016,0.10%,319.47,10268,0,1.0237,2026-04-23,,-,港股通低波红利,0.06%,-,-,0.2,华夏基金
159196,港股通信息技术ETF易方达,1.146,2.96%,21124.73,12153,0,1.124,2026-04-23,,-,中证港股通信息C,2.79%,-,-,0.6,易方达
159210,港股汽车ETF,1.046,-0.85%,4645.54,8415,0,1.059,2026-04-23,,-,中证港股通汽车产业,-0.44%,-,-,0.6,汇添富
520670,港股通科技ETF嘉实,0.822,1.11%,1758.12,28593,0,0.8179,2026-04-23,,-,恒生港股通科技,1.29%,-,-,0.4,嘉实基金
