代码,名称,现价,涨幅,成交,场内份额,场内新增,T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,相关标的,T-1指数涨幅,申购费,赎回费,托管费,基金公司
159607,中概互联网ETF,0.886,-0.23%,14092.77,125983,500,0.9048,2026-04-22,,2026-04-24,-,中证海外中国互联网30指数,-1.70%,0.00%,0.00%,0.6,嘉实基金
513050,中概互联网ETF,1.213,-0.33%,212311.34,3353343,8500,1.2365,2026-04-22,,2026-04-24,-,中国互联网50,-1.55%,0.50%,0.50%,0.8,易方达
161127,标普生物科技LOF,1.815,-1.36%,601.08,12254,-27,1.8595,2026-04-22,,2026-04-24,-,标普生物科技精选行业指数,-2.08%,1.20%,1.50%,1.0,易方达
513220,中概互联ETF,1.044,-0.57%,5015.71,60211,400,1.067,2026-04-22,,2026-04-24,-,中证全球中国互联网指数,-1.70%,-,-,0.65,招商基金
513290,纳指生物科技ETF,1.48,-0.87%,3506.54,100257,-200,1.5087,2026-04-22,,2026-04-24,-,纳斯达克生物科技,-1.44%,-,-,0.65,汇添富
501312,海外科技LOF,2.106,-0.66%,3692.83,30644,-187,2.1497,2026-04-22,,2026-04-24,-,海外科技,-,1.20%,1.50%,1.2,华宝基金
159605,中概互联ETF,0.889,-0.45%,34180.23,447949,1000,0.9059,2026-04-22,,2026-04-24,-,中证海外中国互联网30指数,-1.70%,-,-,0.6,广发基金
501300,美元债LOF,0.951,0.00%,233.3,160196,0,0.9522,2026-04-22,,2026-04-24,-,美国债券综合指数,-0.16%,0.80%,1.50%,0.8,海富通
161130,纳斯达克100LOF,4.098,0.34%,1717.16,15974,1,4.1137,2026-04-22,,2026-04-24,-,纳斯达克100,-0.57%,1.20%,1.50%,0.6,易方达
513360,教育ETF,0.499,-1.19%,8178.64,60721,0,0.5122,2026-04-22,,2026-04-24,-,中证全球中国教育主题指数,-2.57%,0.50%,0.50%,0.65,博时基金
160644,港美互联网LOF,1.715,-0.12%,667.51,5108,-52,1.7484,2026-04-22,,2026-04-24,-,中证海外中国互联网指数,-1.98%,1.50%,1.50%,1.4,鹏华基金
161125,标普500LOF,2.961,-0.10%,1213.9,24702,0,2.9765,2026-04-22,,2026-04-24,-,标普500,-0.41%,1.20%,1.50%,1.0,易方达
159529,标普消费ETF,1.299,0.08%,3512.11,80854,800,1.3046,2026-04-22,,2026-04-24,-,标普500消费精选指数,0.06%,-,-,0.7,景顺长城
162415,美国消费LOF,2.914,-0.41%,461.08,9286,-37,2.958,2026-04-22,,2026-04-24,-,标普可选消费品精选版块指数,-1.05%,1.20%,1.50%,1.2,华宝基金
160125,南方香港LOF,1.783,-0.17%,300.96,1996,-18,1.8213,2026-04-22,,2025-02-10,-,恒生指数,-,1.30%,1.50%,1.4,南方基金
159687,亚太精选ETF,1.701,0.35%,3231.69,115673,0,1.715,2026-04-22,,,-,富时亚太低碳精选,-,-,-,0.25,南方基金
513730,东南亚科技ETF,1.207,-1.79%,6504.21,89736,0,1.2496,2026-04-22,,,-,新交所泛东南亚科技指数,-,-,-,0.5,华泰柏瑞
520830,沙特ETF,0.918,-1.18%,2673.84,126262,-1950,0.9335,2026-04-22,,,-,富时沙特阿拉伯,-,-,-,0.6,华泰柏瑞
520870,巴西ETF,1.253,-0.71%,8234.73,48998,200,1.2594,2026-04-22,,,-,巴西IBOVESPA,-,-,-,0.6,易方达
159329,沙特ETF,0.929,-1.28%,2452.94,134119,-2000,0.9454,2026-04-22,,,-,富时沙特阿拉伯,-,-,-,0.6,南方基金
