date,FDR001,FDR007,FDR014
2025-04-24,1.61,1.7,1.77
2025-04-25,1.59,1.63,1.7516
2025-04-27,1.61,1.6493,1.78
2025-04-28,1.6,1.77,1.75
2025-04-29,1.54,1.8,1.78
2025-04-30,1.8,1.8,1.8
2025-05-06,1.71,1.72,1.76
2025-05-07,1.66,1.67,1.72
2025-05-08,1.54,1.62,1.65
2025-05-09,1.5,1.54,1.6
2025-05-12,1.42,1.53,1.58
2025-05-13,1.41,1.52,1.5574
2025-05-14,1.41,1.52,1.55
2025-05-15,1.41,1.52,1.55
2025-05-16,1.66,1.66,1.6
2025-05-19,1.55,1.62,1.65
2025-05-20,1.53,1.58,1.65
2025-05-21,1.51,1.58,1.65
2025-05-22,1.48,1.5727,1.65
2025-05-23,1.58,1.58,1.68
2025-05-26,1.5168,1.6,1.6866
2025-05-27,1.46,1.65,1.68
2025-05-28,1.4169,1.65,1.68
2025-05-29,1.42,1.7,1.74
2025-05-30,1.48,1.72,1.7
2025-06-03,1.41,1.55,1.57
2025-06-04,1.42,1.56,1.58
2025-06-05,1.42,1.55,1.58
2025-06-06,1.42,1.55,1.58
2025-06-09,1.39,1.52,1.56
2025-06-10,1.36,1.504,1.55
2025-06-11,1.38,1.5252,1.56
2025-06-12,1.38,1.55,1.55
2025-06-13,1.42,1.5,1.57
2025-06-16,1.4,1.53,1.55
2025-06-17,1.38,1.53,1.5561
2025-06-18,1.38,1.53,1.68
2025-06-19,1.38,1.5416,1.68
2025-06-20,1.38,1.5145,1.72
2025-06-23,1.38,1.52,1.7
2025-06-24,1.38,1.65,1.7
2025-06-25,1.38,1.69,1.72
2025-06-26,1.38,1.7,1.75
2025-06-27,1.38,1.75,1.75
2025-06-30,1.41,1.85,1.8
2025-07-01,1.38,1.55,1.55
2025-07-02,1.37,1.5,1.55
2025-07-03,1.32,1.47,1.53
2025-07-04,1.32,1.44,1.48
2025-07-07,1.32,1.47,1.5
2025-07-08,1.31,1.47,1.5
2025-07-09,1.33,1.48,1.5
2025-07-10,1.34,1.5,1.5
2025-07-11,1.35,1.5,1.52
2025-07-14,1.44,1.54,1.55
2025-07-15,1.55,1.58,1.58
2025-07-16,1.48,1.53,1.55
2025-07-17,1.47,1.53,1.51
2025-07-18,1.47,1.49,1.55
2025-07-21,1.37,1.49,1.55
2025-07-22,1.32,1.47,1.53
2025-07-23,1.38,1.48,1.54
2025-07-24,1.67,1.58,1.6
2025-07-25,1.53,1.66,1.66
2025-07-28,1.47,1.62,1.63
2025-07-29,1.38,1.6,1.63
2025-07-30,1.32,1.5035,1.6132
2025-07-31,1.4,1.6,1.6
2025-08-01,1.32,1.46,1.53
2025-08-04,1.32,1.45,1.5
2025-08-05,1.31,1.45,1.48
2025-08-06,1.32,1.46,1.49
2025-08-07,1.32,1.47,1.5
2025-08-08,1.32,1.45,1.48
2025-08-11,1.32,1.45,1.5
2025-08-12,1.32,1.45,1.48
2025-08-13,1.32,1.4719,1.5
2025-08-14,1.32,1.43,1.5
2025-08-15,1.4,1.48,1.5
2025-08-18,1.44,1.51,1.5
2025-08-19,1.49,1.55,1.6
2025-08-20,1.49,1.58,1.6
2025-08-21,1.48,1.53,1.6
2025-08-22,1.42,1.4558,1.5803
2025-08-25,1.37,1.52,1.55
2025-08-26,1.32,1.49,1.54
2025-08-27,1.31,1.53,1.5244
2025-08-28,1.32,1.55,1.55
2025-08-29,1.35,1.52,1.56
2025-09-01,1.32,1.45,1.48
2025-09-02,1.32,1.45,1.5
2025-09-03,1.32,1.45,1.48
2025-09-04,1.33,1.45,1.48
2025-09-05,1.33,1.44,1.47
2025-09-08,1.36,1.47,1.48
2025-09-09,1.44,1.49,1.5
2025-09-10,1.44,1.5,1.5
2025-09-11,1.38,1.48,1.5
2025-09-12,1.37,1.46,1.52
2025-09-15,1.41,1.49,1.5
