date,middlePB,equalWeightAveragePB,close,quantileInAllHistoryMiddlePB,quantileInRecent10YearsMiddlePB,quantileInAllHistoryEqualWeightAveragePB,quantileInRecent10YearsEqualWeightAveragePB
2005-01-04,2.04,2.43,1242.77,1.0,1.0,1.0,1.0
2005-01-05,2.08,2.48,1251.94,1.0,1.0,1.0,1.0
2005-01-06,2.06,2.46,1239.43,0.66667,0.66667,0.66667,0.66667
2005-01-07,2.06,2.47,1244.75,0.75,0.75,0.75,0.75
2005-01-10,2.08,2.49,1252.4,1.0,1.0,1.0,1.0
2005-01-11,2.09,2.5,1257.46,1.0,1.0,1.0,1.0
2005-01-12,2.09,2.5,1256.92,1.0,1.0,1.0,1.0
2005-01-13,2.1,2.51,1256.31,1.0,1.0,1.0,1.0
2005-01-14,2.06,2.48,1245.62,0.44444,0.44444,0.55556,0.55556
2005-01-17,2.01,2.43,1216.65,0.1,0.1,0.2,0.2
2005-01-18,2.04,2.46,1225.45,0.27273,0.27273,0.36364,0.36364
2005-01-19,2.04,2.44,1218.11,0.33333,0.33333,0.25,0.25
2005-01-20,2.0,2.41,1204.39,0.07692,0.07692,0.07692,0.07692
2005-01-21,2.04,2.45,1234.48,0.42857,0.42857,0.35714,0.35714
2005-01-24,2.09,2.5,1255.78,0.93333,0.93333,0.93333,0.93333
2005-01-25,2.07,2.48,1254.23,0.625,0.625,0.6875,0.6875
2005-01-26,2.05,2.45,1241.96,0.41176,0.41176,0.35294,0.35294
2005-01-27,2.01,2.41,1225.89,0.16667,0.16667,0.11111,0.11111
2005-01-28,1.96,2.36,1213.67,0.05263,0.05263,0.05263,0.05263
2005-01-31,1.89,2.3,1191.82,0.05,0.05,0.05,0.05
2005-02-01,1.87,2.26,1188.93,0.04762,0.04762,0.04762,0.04762
2005-02-02,1.99,2.38,1252.5,0.18182,0.18182,0.18182,0.18182
2005-02-03,1.94,2.33,1242.31,0.13043,0.13043,0.13043,0.13043
2005-02-04,1.97,2.36,1269.0,0.20833,0.20833,0.20833,0.20833
2005-02-16,2.0,2.39,1278.88,0.32,0.32,0.28,0.28
2005-02-17,2.01,2.39,1276.13,0.42308,0.42308,0.30769,0.30769
2005-02-18,1.99,2.37,1258.97,0.25926,0.25926,0.22222,0.22222
2005-02-21,2.02,2.41,1284.48,0.46429,0.46429,0.42857,0.42857
2005-02-22,2.07,2.49,1309.28,0.7931,0.7931,0.86207,0.86207
2005-02-23,2.09,2.53,1309.48,0.96667,0.96667,1.0,1.0
2005-02-24,2.09,2.53,1309.95,0.96774,0.96774,1.0,1.0
2005-02-25,2.1,2.55,1312.45,1.0,1.0,1.0,1.0
2005-02-28,2.11,2.55,1306.0,1.0,1.0,1.0,1.0
2005-03-01,2.1,2.54,1303.41,0.97059,0.97059,0.94118,0.94118
2005-03-02,2.06,2.5,1287.45,0.62857,0.62857,0.82857,0.82857
2005-03-03,2.07,2.51,1294.34,0.69444,0.69444,0.86111,0.86111
2005-03-04,2.06,2.49,1287.71,0.62162,0.62162,0.7027,0.7027
2005-03-07,2.08,2.5,1293.74,0.76316,0.76316,0.81579,0.81579
2005-03-08,2.12,2.55,1318.27,1.0,1.0,1.0,1.0
2005-03-09,2.12,2.56,1316.79,1.0,1.0,1.0,1.0
2005-03-10,2.05,2.5,1286.23,0.46341,0.46341,0.78049,0.78049
2005-03-11,2.07,2.51,1289.94,0.66667,0.66667,0.83333,0.83333
2005-03-14,2.05,2.5,1293.5,0.46512,0.46512,0.76744,0.76744
2005-03-15,2.02,2.47,1269.14,0.31818,0.31818,0.47727,0.47727
2005-03-16,2.0,2.44,1255.59,0.22222,0.22222,0.35556,0.35556
2005-03-17,1.97,2.41,1243.48,0.13043,0.13043,0.28261,0.28261
2005-03-18,1.93,2.35,1227.4,0.06383,0.06383,0.08511,0.08511
2005-03-21,1.95,2.36,1231.05,0.10417,0.10417,0.14583,0.14583
2005-03-22,1.88,2.29,1206.92,0.04082,0.04082,0.04082,0.04082
2005-03-23,1.88,2.29,1201.65,0.06,0.06,0.06,0.06
2005-03-24,1.91,2.31,1208.19,0.09804,0.09804,0.09804,0.09804
2005-03-25,1.9,2.28,1205.63,0.09615,0.09615,0.03846,0.03846
2005-03-28,1.88,2.27,1200.11,0.07547,0.07547,0.03774,0.03774
2005-03-29,1.86,2.25,1195.02,0.01852,0.01852,0.01852,0.01852
2005-03-30,1.8,2.19,1172.57,0.01818,0.01818,0.01818,0.01818
2005-03-31,1.81,2.2,1181.24,0.03571,0.03571,0.03571,0.03571
2005-04-01,1.87,2.27,1223.57,0.08772,0.08772,0.10526,0.10526
2005-04-04,1.84,2.24,1202.97,0.05172,0.05172,0.05172,0.05172
2005-04-05,1.82,2.23,1191.75,0.05085,0.05085,0.05085,0.05085
2005-04-06,1.85,2.26,1214.87,0.08333,0.08333,0.11667,0.11667
2005-04-07,1.88,2.3,1225.49,0.19672,0.19672,0.22951,0.22951
2005-04-08,1.9,2.32,1248.52,0.24194,0.24194,0.25806,0.25806
2005-04-11,1.91,2.33,1240.97,0.26984,0.26984,0.28571,0.28571
2005-04-12,1.86,2.28,1219.51,0.10938,0.10938,0.17188,0.17188
2005-04-13,1.92,2.34,1248.2,0.29231,0.29231,0.30769,0.30769
2005-04-14,1.89,2.3,1234.33,0.22727,0.22727,0.24242,0.24242
2005-04-15,1.83,2.25,1216.96,0.0597,0.0597,0.08955,0.08955
2005-04-18,1.79,2.21,1197.74,0.01471,0.01471,0.04412,0.04412
2005-04-19,1.79,2.22,1199.9,0.02899,0.02899,0.05797,0.05797
2005-04-20,1.74,2.17,1184.19,0.01429,0.01429,0.01429,0.01429
2005-04-21,1.7,2.12,1172.56,0.01408,0.01408,0.01408,0.01408
2005-04-22,1.67,2.09,1169.19,0.01389,0.01389,0.01389,0.01389
2005-04-25,1.63,2.06,1157.97,0.0137,0.0137,0.0137,0.0137
2005-04-26,1.67,2.09,1165.34,0.04054,0.04054,0.04054,0.04054
2005-04-27,1.64,2.06,1148.76,0.02667,0.02667,0.02667,0.02667
2005-04-28,1.7,2.12,1169.12,0.07895,0.07895,0.07895,0.07895
2005-04-29,1.66,2.09,1159.15,0.03896,0.03896,0.06494,0.06494
2005-05-09,1.61,2.04,1130.84,0.01282,0.01282,0.01282,0.01282
2005-05-10,1.61,2.05,1135.56,0.02532,0.02532,0.02532,0.02532
2005-05-11,1.6,2.04,1124.27,0.0125,0.0125,0.025,0.025
2005-05-12,1.58,2.01,1103.99,0.01235,0.01235,0.01235,0.01235
2005-05-13,1.6,2.05,1107.63,0.03659,0.03659,0.06098,0.06098
2005-05-16,1.61,2.04,1095.47,0.07229,0.07229,0.04819,0.04819
2005-05-17,1.63,2.04,1099.64,0.09524,0.09524,0.05952,0.05952
2005-05-18,1.64,2.08,1102.97,0.11765,0.11765,0.11765,0.11765
2005-05-19,1.65,2.08,1103.48,0.12791,0.12791,0.12791,0.12791
2005-05-20,1.64,2.06,1099.27,0.12644,0.12644,0.11494,0.11494
2005-05-23,1.57,1.99,1070.84,0.01136,0.01136,0.01136,0.01136
2005-05-24,1.61,2.04,1073.85,0.08989,0.08989,0.07865,0.07865
2005-05-25,1.62,2.04,1072.14,0.1,0.1,0.08889,0.08889
2005-05-26,1.61,2.04,1058.87,0.0989,0.0989,0.0989,0.0989
2005-05-27,1.61,2.01,1051.95,0.1087,0.1087,0.03261,0.03261
2005-05-30,1.63,2.04,1060.16,0.15054,0.15054,0.11828,0.11828
2005-05-31,1.62,2.01,1060.74,0.12766,0.12766,0.04255,0.04255
2005-06-01,1.58,1.97,1039.19,0.03158,0.03158,0.01053,0.01053
2005-06-02,1.56,1.96,1016.06,0.01042,0.01042,0.01042,0.01042
2005-06-03,1.56,1.95,1013.64,0.02062,0.02062,0.01031,0.01031
2005-06-06,1.58,1.98,1034.38,0.06122,0.06122,0.04082,0.04082
2005-06-07,1.59,1.99,1030.94,0.07071,0.07071,0.06061,0.06061
2005-06-08,1.71,2.14,1115.58,0.3,0.3,0.3,0.3
