板块名称,涨跌幅,主力净流入,板块异动总次数,板块异动最频繁个股及所属类型-股票代码,板块异动最频繁个股及所属类型-股票名称,板块异动最频繁个股及所属类型-买卖方向,板块具体异动类型列表及出现次数
融资融券,-0.66,-5404013.7728,9921,688808,N联讯,大笔卖出,"[{'t': 8193, 'ct': 1255}, {'t': 64, 'ct': 1201}, {'t': 8201, 'ct': 1087}, {'t': 128, 'ct': 898}, {'t': 8194, 'ct': 871}, {'t': 8202, 'ct': 741}, {'t': 8218, 'ct': 721}, {'t': 8203, 'ct': 535}, {'t': 8204, 'ct': 333}, {'t': 8219, 'ct': 266}, {'t': 8214, 'ct': 242}, {'t': 8221, 'ct': 187}, {'t': 8220, 'ct': 173}, {'t': 8, 'ct': 165}, {'t': 32, 'ct': 153}, {'t': 8212, 'ct': 144}, {'t': 8213, 'ct': 134}, {'t': 8215, 'ct': 132}, {'t': 8216, 'ct': 117}, {'t': 4, 'ct': 105}, {'t': 8208, 'ct': 93}, {'t': 8222, 'ct': 83}, {'t': 8217, 'ct': 81}, {'t': 16, 'ct': 80}, {'t': 8210, 'ct': 57}, {'t': 8211, 'ct': 29}, {'t': 8209, 'ct': 26}, {'t': 8207, 'ct': 12}]"
深股通,-0.74,-3315497.3696,5135,002891,中宠股份,大笔买入,"[{'t': 64, 'ct': 817}, {'t': 128, 'ct': 533}, {'t': 8193, 'ct': 532}, {'t': 8201, 'ct': 492}, {'t': 8218, 'ct': 382}, {'t': 8202, 'ct': 366}, {'t': 8194, 'ct': 323}, {'t': 8203, 'ct': 183}, {'t': 8204, 'ct': 172}, {'t': 8219, 'ct': 137}, {'t': 8214, 'ct': 136}, {'t': 8220, 'ct': 122}, {'t': 8, 'ct': 114}, {'t': 32, 'ct': 106}, {'t': 8221, 'ct': 99}, {'t': 8212, 'ct': 96}, {'t': 8216, 'ct': 75}, {'t': 8213, 'ct': 69}, {'t': 4, 'ct': 66}, {'t': 8215, 'ct': 64}, {'t': 8208, 'ct': 56}, {'t': 16, 'ct': 49}, {'t': 8222, 'ct': 41}, {'t': 8210, 'ct': 37}, {'t': 8217, 'ct': 34}, {'t': 8211, 'ct': 15}, {'t': 8209, 'ct': 13}, {'t': 8207, 'ct': 6}]"
创业板综,-0.54,-2541957.12,3873,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 728}, {'t': 8201, 'ct': 454}, {'t': 8194, 'ct': 450}, {'t': 8218, 'ct': 324}, {'t': 8202, 'ct': 311}, {'t': 64, 'ct': 310}, {'t': 128, 'ct': 224}, {'t': 8203, 'ct': 221}, {'t': 8204, 'ct': 176}, {'t': 8221, 'ct': 109}, {'t': 8214, 'ct': 97}, {'t': 8212, 'ct': 73}, {'t': 8213, 'ct': 60}, {'t': 8208, 'ct': 58}, {'t': 8216, 'ct': 57}, {'t': 8215, 'ct': 54}, {'t': 8222, 'ct': 42}, {'t': 8217, 'ct': 31}, {'t': 8210, 'ct': 27}, {'t': 8219, 'ct': 26}, {'t': 8209, 'ct': 13}, {'t': 8211, 'ct': 12}, {'t': 8207, 'ct': 7}, {'t': 4, 'ct': 6}, {'t': 16, 'ct': 2}, {'t': 8220, 'ct': 1}]"
专精特新,-0.55,-435685.4016,3534,688808,N联讯,大笔卖出,"[{'t': 8193, 'ct': 609}, {'t': 8201, 'ct': 476}, {'t': 8194, 'ct': 462}, {'t': 8202, 'ct': 287}, {'t': 8218, 'ct': 279}, {'t': 8203, 'ct': 251}, {'t': 128, 'ct': 151}, {'t': 64, 'ct': 146}, {'t': 8204, 'ct': 136}, {'t': 8221, 'ct': 88}, {'t': 8219, 'ct': 71}, {'t': 8220, 'ct': 55}, {'t': 8214, 'ct': 54}, {'t': 8212, 'ct': 49}, {'t': 4, 'ct': 45}, {'t': 8213, 'ct': 45}, {'t': 8, 'ct': 40}, {'t': 8215, 'ct': 39}, {'t': 8208, 'ct': 38}, {'t': 32, 'ct': 37}, {'t': 8222, 'ct': 37}, {'t': 8216, 'ct': 34}, {'t': 16, 'ct': 33}, {'t': 8217, 'ct': 25}, {'t': 8210, 'ct': 20}, {'t': 8209, 'ct': 15}, {'t': 8211, 'ct': 7}, {'t': 8207, 'ct': 5}]"
昨日高振幅,-0.96,-1687507.3536,3334,300970,华绿生物,大笔买入,"[{'t': 8193, 'ct': 459}, {'t': 64, 'ct': 356}, {'t': 8194, 'ct': 295}, {'t': 128, 'ct': 293}, {'t': 8202, 'ct': 290}, {'t': 8201, 'ct': 274}, {'t': 8203, 'ct': 192}, {'t': 8220, 'ct': 167}, {'t': 8219, 'ct': 162}, {'t': 4, 'ct': 118}, {'t': 16, 'ct': 95}, {'t': 8204, 'ct': 92}, {'t': 8221, 'ct': 80}, {'t': 8218, 'ct': 68}, {'t': 8, 'ct': 59}, {'t': 32, 'ct': 55}, {'t': 8213, 'ct': 55}, {'t': 8222, 'ct': 46}, {'t': 8208, 'ct': 38}, {'t': 8216, 'ct': 32}, {'t': 8215, 'ct': 25}, {'t': 8217, 'ct': 22}, {'t': 8210, 'ct': 21}, {'t': 8212, 'ct': 17}, {'t': 8214, 'ct': 11}, {'t': 8211, 'ct': 9}, {'t': 8209, 'ct': 2}, {'t': 8207, 'ct': 1}]"
沪股通,-0.67,-2414590.3616,3242,600726,华电能源,大笔卖出,"[{'t': 64, 'ct': 454}, {'t': 8201, 'ct': 384}, {'t': 128, 'ct': 357}, {'t': 8218, 'ct': 228}, {'t': 8202, 'ct': 225}, {'t': 8203, 'ct': 214}, {'t': 8193, 'ct': 142}, {'t': 8219, 'ct': 136}, {'t': 8220, 'ct': 123}, {'t': 8204, 'ct': 119}, {'t': 8214, 'ct': 104}, {'t': 8194, 'ct': 100}, {'t': 4, 'ct': 71}, {'t': 8, 'ct': 62}, {'t': 8221, 'ct': 61}, {'t': 16, 'ct': 58}, {'t': 32, 'ct': 57}, {'t': 8213, 'ct': 55}, {'t': 8215, 'ct': 51}, {'t': 8212, 'ct': 48}, {'t': 8216, 'ct': 45}, {'t': 8217, 'ct': 42}, {'t': 8222, 'ct': 30}, {'t': 8208, 'ct': 26}, {'t': 8210, 'ct': 22}, {'t': 8211, 'ct': 15}, {'t': 8209, 'ct': 7}, {'t': 8207, 'ct': 6}]"
富时罗素,-0.7,-3470782.0544,3194,002624,完美世界,大笔买入,"[{'t': 64, 'ct': 631}, {'t': 128, 'ct': 430}, {'t': 8201, 'ct': 255}, {'t': 8218, 'ct': 230}, {'t': 8193, 'ct': 194}, {'t': 8202, 'ct': 166}, {'t': 8219, 'ct': 131}, {'t': 8214, 'ct': 111}, {'t': 8194, 'ct': 108}, {'t': 8220, 'ct': 106}, {'t': 8203, 'ct': 101}, {'t': 8204, 'ct': 98}, {'t': 4, 'ct': 72}, {'t': 8, 'ct': 70}, {'t': 8212, 'ct': 70}, {'t': 32, 'ct': 62}, {'t': 16, 'ct': 58}, {'t': 8216, 'ct': 48}, {'t': 8215, 'ct': 47}, {'t': 8213, 'ct': 42}, {'t': 8221, 'ct': 40}, {'t': 8208, 'ct': 33}, {'t': 8217, 'ct': 31}, {'t': 8222, 'ct': 20}, {'t': 8210, 'ct': 18}, {'t': 8211, 'ct': 13}, {'t': 8209, 'ct': 5}, {'t': 8207, 'ct': 4}]"
央国企改革,-0.62,-1856598.016,2975,600726,华电能源,大笔卖出,"[{'t': 64, 'ct': 475}, {'t': 128, 'ct': 292}, {'t': 8201, 'ct': 258}, {'t': 8218, 'ct': 229}, {'t': 8193, 'ct': 208}, {'t': 8202, 'ct': 186}, {'t': 8194, 'ct': 178}, {'t': 8219, 'ct': 128}, {'t': 8203, 'ct': 119}, {'t': 8214, 'ct': 111}, {'t': 8220, 'ct': 102}, {'t': 8204, 'ct': 79}, {'t': 4, 'ct': 75}, {'t': 16, 'ct': 60}, {'t': 8221, 'ct': 53}, {'t': 8, 'ct': 52}, {'t': 8212, 'ct': 51}, {'t': 8216, 'ct': 51}, {'t': 32, 'ct': 46}, {'t': 8215, 'ct': 42}, {'t': 8213, 'ct': 40}, {'t': 8217, 'ct': 37}, {'t': 8208, 'ct': 28}, {'t': 8222, 'ct': 28}, {'t': 8211, 'ct': 21}, {'t': 8210, 'ct': 17}, {'t': 8209, 'ct': 6}, {'t': 8207, 'ct': 3}]"
机构重仓,-0.53,-1941057.9456,2801,301667,纳百川,大笔买入,"[{'t': 8193, 'ct': 356}, {'t': 64, 'ct': 327}, {'t': 8201, 'ct': 238}, {'t': 8194, 'ct': 237}, {'t': 8218, 'ct': 214}, {'t': 128, 'ct': 204}, {'t': 8202, 'ct': 186}, {'t': 8203, 'ct': 135}, {'t': 8220, 'ct': 113}, {'t': 8219, 'ct': 106}, {'t': 8204, 'ct': 102}, {'t': 8214, 'ct': 91}, {'t': 8212, 'ct': 57}, {'t': 8221, 'ct': 53}, {'t': 4, 'ct': 44}, {'t': 8213, 'ct': 43}, {'t': 8216, 'ct': 39}, {'t': 16, 'ct': 37}, {'t': 8215, 'ct': 37}, {'t': 8, 'ct': 36}, {'t': 8217, 'ct': 30}, {'t': 32, 'ct': 29}, {'t': 8208, 'ct': 25}, {'t': 8222, 'ct': 24}, {'t': 8210, 'ct': 15}, {'t': 8211, 'ct': 12}, {'t': 8209, 'ct': 6}, {'t': 8207, 'ct': 5}]"
小盘股,-0.78,-1450602.0864,2621,002891,中宠股份,大笔买入,"[{'t': 64, 'ct': 441}, {'t': 128, 'ct': 286}, {'t': 8201, 'ct': 282}, {'t': 8202, 'ct': 196}, {'t': 8218, 'ct': 192}, {'t': 8193, 'ct': 150}, {'t': 8203, 'ct': 117}, {'t': 8219, 'ct': 99}, {'t': 8, 'ct': 90}, {'t': 32, 'ct': 85}, {'t': 8204, 'ct': 82}, {'t': 8194, 'ct': 80}, {'t': 8220, 'ct': 72}, {'t': 4, 'ct': 64}, {'t': 8214, 'ct': 60}, {'t': 16, 'ct': 52}, {'t': 8212, 'ct': 46}, {'t': 8221, 'ct': 39}, {'t': 8216, 'ct': 36}, {'t': 8213, 'ct': 31}, {'t': 8215, 'ct': 31}, {'t': 8208, 'ct': 23}, {'t': 8217, 'ct': 20}, {'t': 8210, 'ct': 18}, {'t': 8222, 'ct': 13}, {'t': 8211, 'ct': 10}, {'t': 8207, 'ct': 4}, {'t': 8209, 'ct': 2}]"
