序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
1,能源金属,6.29,589.16,364.11,51.61,11,1,61.8,盛新锂能,50.93,10.0
2,农化制品,2.04,2579.68,293.66,21.33,51,9,11.38,天禾股份,7.66,10.06
3,电池,1.29,3112.77,1235.17,73.36,75,29,39.68,天华新能,91.0,13.65
4,电子化学品,1.1,1023.16,405.76,-4.28,23,16,39.66,华特气体,176.8,20.0
5,工业金属,1.08,3369.94,452.42,5.91,36,20,13.43,万顺新材,7.9,10.03
6,半导体,1.08,2982.08,2702.94,64.08,114,64,90.64,富瀚微,56.08,20.01
7,化学原料,0.88,1976.88,222.99,7.39,35,23,11.28,中泰化学,6.67,7.93
8,服装家纺,0.68,949.15,85.78,-0.25,40,31,9.04,水星家纺,22.85,10.01
9,厨卫电器,0.41,65.39,7.59,-0.47,4,5,11.62,*ST帅电,15.74,5.0
10,化学制品,0.38,3036.92,545.92,23.54,95,79,17.98,星华新材,38.59,19.99
11,美容护理,0.26,241.69,53.8,0.92,18,13,22.26,科思股份,14.11,7.06
12,物流,0.23,740.77,65.58,-3.49,28,22,8.85,浙商中拓,6.36,10.04
13,汽车服务及其他,0.2,165.05,32.6,-0.45,13,11,19.75,林海股份,11.57,2.75
14,互联网电商,0.18,414.38,47.35,-0.95,6,11,11.43,南极电商,3.08,10.0
15,工程机械,0.15,741.12,97.72,-1.13,18,18,13.19,山推股份,11.6,5.65
16,包装印刷,0.12,975.34,145.8,-1.51,19,26,14.95,华源控股,21.38,9.98
17,医疗服务,0.07,1054.58,204.25,2.16,23,30,19.37,普瑞眼科,42.84,8.62
18,家居用品,0.06,793.19,115.4,-1.46,45,52,14.55,联翔股份,22.09,10.01
19,轨交设备,0.05,394.31,37.96,-5.46,10,20,9.63,众合科技,9.2,10.05
20,中药,-0.04,816.9,86.49,-2.72,29,36,10.59,济川药业,26.7,6.16
21,环境治理,-0.04,1997.51,216.72,-13.03,52,55,10.85,博世科,5.56,20.09
22,综合,-0.05,497.42,80.97,-15.09,7,8,16.28,综艺股份,6.97,9.94
23,电机,-0.08,362.0,64.6,2.29,8,18,17.85,江特电机,13.62,10.02
24,食品加工制造,-0.11,1073.95,115.56,-1.16,37,28,10.76,益客食品,10.86,5.03
25,塑料制品,-0.12,1569.73,268.71,0.72,35,43,17.12,江苏博云,72.3,11.73
26,白酒,-0.12,199.8,156.78,2.61,8,12,78.47,*ST岩石,1.38,5.34
27,医疗器械,-0.12,919.83,223.27,-7.21,64,72,24.27,赛科希德,32.11,7.46
28,煤炭开采加工,-0.14,1884.1,152.49,-9.26,11,21,8.09,华电能源,5.8,10.06
29,钢铁,-0.14,2544.38,169.82,6.93,15,22,6.67,西藏矿业,38.5,7.78
30,小家电,-0.18,258.72,47.9,-2.26,13,11,18.51,飞科电器,35.16,6.55
31,化学纤维,-0.18,974.46,92.18,-4.22,7,22,9.46,江南高纤,2.75,10.0
32,小金属,-0.21,988.74,478.05,-0.32,14,14,48.35,国城矿业,43.91,7.52
33,房地产,-0.28,2869.65,171.1,-10.13,32,50,5.96,衢州发展,4.73,10.0
34,燃气,-0.32,538.3,65.86,-6.52,8,19,12.23,水发燃气,11.39,10.05
35,自动化设备,-0.32,795.31,433.06,-14.29,36,54,54.45,鸿仕达,50.02,201.87
36,化学制药,-0.33,2678.33,414.5,-7.79,63,91,15.48,金石亚药,11.51,10.99
37,种植业与林业,-0.33,765.42,72.2,-3.75,12,17,9.43,辉隆股份,6.72,6.84
38,计算机设备,-0.34,1337.24,475.52,13.46,35,47,35.56,盛视科技,54.11,10.0
39,公路铁路运输,-0.35,529.93,29.21,-1.94,10,19,5.51,富临运业,11.23,3.98
40,纺织制造,-0.41,436.71,44.31,-0.48,18,15,10.15,百隆东方,8.52,3.27
41,建筑材料,-0.42,1944.97,257.48,-11.97,32,38,13.24,旗滨集团,6.42,6.47
42,橡胶制品,-0.43,167.84,31.07,-1.52,10,11,18.52,双箭股份,6.51,1.88
43,饮料制造,-0.44,476.86,62.76,-4.91,16,27,13.16,三元股份,6.01,6.37
44,保险,-0.52,163.08,61.95,-2.2,0,5,37.99,中国平安,57.78,-0.17
45,白色家电,-0.54,908.58,197.78,-16.07,18,27,21.77,禾盛新材,81.35,10.01
46,专用设备,-0.56,2358.85,492.21,-13.25,78,115,20.87,星球石墨,33.6,20.0
47,环保设备,-0.6,655.52,92.17,-3.52,15,14,14.06,久吾高科,27.35,3.6
48,机场航运,-0.64,573.71,29.39,-3.9,2,10,5.12,深圳机场,7.01,1.89
49,其他社会服务,-0.67,603.33,77.49,-4.52,10,31,12.84,兰生股份,10.32,10.02
50,非金属材料,-0.7,147.66,54.59,1.16,4,10,36.97,粤桂股份,25.79,3.28
51,零售,-0.7,1626.26,124.84,-10.14,20,48,7.68,汇通能源,31.82,6.24
52,港口航运,-0.72,1065.74,86.81,-8.61,5,28,8.14,海通发展,14.56,2.9
53,银行,-0.74,2799.86,224.15,-10.34,8,30,8.01,沪农商行,9.13,2.7
54,农产品加工,-0.75,736.27,64.71,-2.16,14,28,8.79,祖名股份,21.9,7.88
55,文化传媒,-0.76,2833.15,363.0,-15.75,25,60,12.81,思美传媒,5.47,7.04
56,黑色家电,-0.77,249.4,28.0,6.88,5,4,11.23,九联科技,9.48,1.72
57,软件开发,-0.77,2047.54,503.78,-3.57,47,90,24.6,众诚科技,35.1,9.82
58,IT服务,-0.79,3856.59,753.89,-1.87,43,85,19.55,皖通科技,9.91,9.99
59,石油加工贸易,-0.79,1017.69,85.89,-4.76,11,15,8.44,华锦股份,5.44,2.84
60,金属新材料,-0.8,306.3,75.45,-1.15,10,22,24.63,江南新材,130.68,5.37
61,汽车零部件,-0.83,3247.96,651.53,-30.48,85,182,20.06,远东传动,8.43,10.05
62,通用设备,-0.9,3615.98,763.83,-25.91,87,162,21.12,联讯仪器,799.0,875.82
63,贸易,-0.91,326.9,26.68,-0.51,7,7,8.16,中成股份,11.0,4.07
64,汽车整车,-0.91,1078.83,133.18,-16.82,4,18,12.35,东风股份,6.4,1.75
65,游戏,-0.92,927.6,165.77,-6.46,7,17,17.87,浙数文化,15.09,9.98
66,贵金属,-0.92,766.89,220.72,-12.26,1,11,28.78,恒邦股份,17.32,1.11
67,证券,-0.98,1800.13,201.42,-22.18,4,44,11.19,国金证券,8.65,1.17
68,风电设备,-0.99,932.01,186.98,-5.64,6,24,20.06,大金重工,88.66,4.0
69,多元金融,-0.99,981.61,90.15,-5.23,5,19,9.18,鲁信创投,22.64,4.43
70,生物制品,-1.02,444.91,101.96,-5.43,12,43,22.92,我武生物,26.75,2.88
71,消费电子,-1.05,2185.8,921.7,-46.77,29,67,42.17,恒铭达,83.3,5.98
72,医药商业,-1.06,504.57,49.49,-4.45,9,19,9.81,大参林,18.19,1.17
73,光学光电子,-1.09,4012.34,525.35,-22.37,27,81,13.09,光智科技,101.9,17.03
74,旅游及酒店,-1.12,456.36,45.98,-4.45,5,29,10.07,全聚德,10.59,2.82
75,建筑装饰,-1.14,4316.04,301.59,-28.64,39,102,6.99,美芝股份,12.48,5.32
76,光伏设备,-1.18,2070.58,427.94,-15.1,12,61,20.67,亿晶光电,3.72,10.06
77,电网设备,-1.2,3546.09,611.27,-40.63,36,101,17.24,温州宏丰,11.75,20.02
78,养殖业,-1.3,905.43,65.41,-8.48,8,26,7.22,*ST天山,8.8,5.64
79,元件,-1.3,1726.4,1102.38,-26.05,16,45,63.85,南亚新材,160.86,9.34
80,教育,-1.31,283.57,18.9,-1.22,6,10,6.66,ST东时,3.71,2.49
81,其他电子,-1.65,1036.73,336.5,0.69,9,25,32.46,深圳华强,34.34,9.99
82,军工电子,-1.83,1174.8,364.65,-9.66,10,52,31.04,华丰科技,141.67,10.04
83,通信服务,-1.86,1957.27,332.77,-19.74,7,37,17.0,中嘉博创,4.79,10.12
84,通信设备,-1.9,2856.45,2403.81,-52.3,22,66,84.15,美利信,46.33,10.92
85,造纸,-2.17,1118.93,59.19,-4.85,3,21,5.29,ST晨鸣,2.76,2.98
86,影视院线,-2.31,1240.31,82.39,-4.06,4,16,6.64,百纳千成,6.8,3.82
87,其他电源设备,-2.32,716.26,232.86,-17.37,4,29,32.51,*ST特迅,7.95,1.79
88,军工装备,-2.38,1898.78,615.59,-41.99,10,73,32.42,恒宇信通,66.0,10.55
89,电力,-2.72,10433.8,745.04,-82.05,9,96,7.14,川能动力,17.65,5.5
90,油气开采及服务,-2.92,1731.16,147.68,-13.64,2,17,8.53,中国海油,38.38,0.89
