股票代码,股票简称,公告日期,出质人,质权人,质押数量,占总股本比例,质押解除数量,质押事项,累计质押占总股本比例
000510,新金路,2021-09-30,刘江东,华创证券有限责任公司,,1.31,800.0,本公司实际控制人、第一大股东、高管成员刘江东将2017年11月23日质押给华创证券有限责任公司的8000000股解除质押，解除日期为2021年09月28日。,8.74
000661,长春高新,2021-09-30,长春高新超达投资有限公司,中国民生银行股份有限公司长春分行,,1.53,620.0,本公司第一大股东长春高新超达投资有限公司将2019年10月11日质押给中国民生银行股份有限公司长春分行的6200000股解除质押，解除日期为2021年09月29日。,7.86
000892,欢瑞世纪,2021-09-30,欢瑞世纪(天津)资产管理合伙企业(有限合伙),新时代信托股份有限公司,,5.75,5641.0,本公司持股5%以上股东欢瑞世纪(天津)资产管理合伙企业(有限合伙)将2020年04月20日质押给新时代信托股份有限公司的56410000股解除质押，解除日期为2021年09月23日。,0.0
000892,欢瑞世纪,2021-09-30,赵枳程,方正证券股份有限公司,474.3836,0.48,,本公司持股5%以上股东赵枳程将持有的本公司4743836股流通A股质押给方正证券股份有限公司，质押开始日期为2021年09月28日。,0.48
000948,南天信息,2021-09-30,云南省工业投资控股集团有限责任公司,云南国际信托有限公司,,20.988,8000.0,本公司控股股东云南省工业投资控股集团有限责任公司将2020年09月18日质押给云南国际信托有限公司的80000000股解除质押，解除日期为2021年09月28日。,0.0
002074,国轩高科,2021-09-30,南京国轩控股集团有限公司,海通证券股份有限公司,2062.0,1.61,,本公司控股股东南京国轩控股集团有限公司将持有的本公司20620000股质押给海通证券股份有限公司，质押开始日期为2021年09月28日，终止日期为2022年09月28日。,9.23
002074,国轩高科,2021-09-30,李缜,华安证券股份有限公司,,0.88,1127.0,本公司实际控制人李缜将2019年09月25日质押给华安证券股份有限公司的11270000股解除质押，解除日期为2021年09月24日。,2.47
002074,国轩高科,2021-09-30,李缜,华安证券股份有限公司,,0.87,1110.0,本公司实际控制人李缜将2019年09月27日质押给华安证券股份有限公司的11100000股解除质押，解除日期为2021年09月24日。,2.47
002138,顺络电子,2021-09-30,新余市恒顺通电子科技开发有限公司,广发证券股份有限公司,363.5,0.45,,本公司股东新余市恒顺通电子科技开发有限公司将持有的本公司3635000股流通A股质押给广发证券股份有限公司用于办理质押式回购业务，质押开始日期为2021年09月07日，终止日期为2022年09月07日。,5.13
002375,亚厦股份,2021-09-30,亚厦控股有限公司,杭州银行股份有限公司绍兴分行,6800.0,5.07,,本公司控股股东亚厦控股有限公司将持有的本公司68000000股流通A股质押给杭州银行股份有限公司绍兴分行，质押开始日期为2021年09月27日。,20.8
002375,亚厦股份,2021-09-30,亚厦控股有限公司,绍兴银行股份有限公司上虞支行,9700.0,7.24,,本公司控股股东亚厦控股有限公司将持有的本公司97000000股流通A股质押给绍兴银行股份有限公司上虞支行，质押开始日期为2021年09月28日。,20.8
002466,天齐锂业,2021-09-30,成都天齐实业(集团)有限公司,交通银行股份有限公司成都高新区支行,460.0,0.31,,本公司控股股东成都天齐实业(集团)有限公司将持有的本公司4600000股流通A股质押给交通银行股份有限公司成都高新区支行，质押开始日期为2021年09月27日。,10.34
002466,天齐锂业,2021-09-30,成都天齐实业(集团)有限公司,中国光大银行股份有限公司成都八宝街支行,1200.0,0.81,,本公司控股股东成都天齐实业(集团)有限公司将持有的本公司12000000股流通A股质押给中国光大银行股份有限公司成都八宝街支行，质押开始日期为2021年09月28日。,10.34
002475,立讯精密,2021-09-30,香港立讯有限公司,招商银行股份有限公司深圳分行,7262.0,1.03,,本公司控股股东香港立讯有限公司将持有的本公司72620000股流通A股质押给招商银行股份有限公司深圳分行，质押开始日期为2021年09月28日，终止日期为2027年09月30日。,7.45
