截止日期,公告日期,编号,股东名称,持股数量,占流通股比例,股本性质
2025-12-31,2026-03-21,1,中国平安保险(集团)股份有限公司-集团本级-自有资金,9618540236,49.566,境内法人股
2025-12-31,2026-03-21,2,中国平安人寿保险股份有限公司-自有资金,1186100488,6.112,境内法人股
2025-12-31,2026-03-21,3,香港中央结算有限公司,628291149,3.238,境外法人股
2025-12-31,2026-03-21,4,中国平安人寿保险股份有限公司-传统-普通保险产品,440478714,2.27,境内法人股
2025-12-31,2026-03-21,5,中国证券金融股份有限公司,429232688,2.212,国有股
2025-12-31,2026-03-21,6,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,160276703,0.826,境内法人股
2025-12-31,2026-03-21,7,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,114314244,0.589,境内法人股
2025-12-31,2026-03-21,8,中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金,87230277,0.45,境内法人股
2025-12-31,2026-03-21,9,深圳市恩情投资发展有限公司,85800000,0.442,境内法人股
2025-12-31,2026-03-21,10,中国银行股份有限公司-嘉实沪深300交易型开放式指数证券投资基金,75190793,0.387,境内法人股
2025-09-30,2025-10-25,1,中国平安保险(集团)股份有限公司-集团本级-自有资金,9618540236,49.566,境内法人股
2025-09-30,2025-10-25,2,中国平安人寿保险股份有限公司-自有资金,1186100488,6.112,境内法人股
2025-09-30,2025-10-25,3,香港中央结算有限公司,707394198,3.645,境外法人股
2025-09-30,2025-10-25,4,中国平安人寿保险股份有限公司-传统-普通保险产品,440478714,2.27,境内法人股
2025-09-30,2025-10-25,5,中国证券金融股份有限公司,429232688,2.212,国有股
2025-09-30,2025-10-25,6,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,165364503,0.852,境内法人股
2025-09-30,2025-10-25,7,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,119417444,0.615,境内法人股
2025-09-30,2025-10-25,8,中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金,89113177,0.459,境内法人股
2025-09-30,2025-10-25,9,中国银行股份有限公司-嘉实沪深300交易型开放式指数证券投资基金,76805493,0.396,境内法人股
2025-09-30,2025-10-25,10,深圳中电投资有限公司,62523366,0.322,国有股
2025-06-30,2025-08-23,1,中国平安保险(集团)股份有限公司-集团本级-自有资金,9618540236,49.566,境内法人股
2025-06-30,2025-08-23,2,中国平安人寿保险股份有限公司-自有资金,1186100488,6.112,境内法人股
2025-06-30,2025-08-23,3,香港中央结算有限公司,829114531,4.273,境外法人股
2025-06-30,2025-08-23,4,中国平安人寿保险股份有限公司-传统-普通保险产品,440478714,2.27,境内法人股
2025-06-30,2025-08-23,5,中国证券金融股份有限公司,429232688,2.212,国有股
2025-06-30,2025-08-23,6,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,172469003,0.889,境内法人股
2025-06-30,2025-08-23,7,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,123218944,0.635,境内法人股
2025-06-30,2025-08-23,8,中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金,90351777,0.466,境内法人股
2025-06-30,2025-08-23,9,中国银行股份有限公司-嘉实沪深300交易型开放式指数证券投资基金,77874792,0.401,境内法人股
2025-06-30,2025-08-23,10,深圳中电投资有限公司,62523366,0.322,国有股
2025-03-31,2025-04-19,1,中国平安保险(集团)股份有限公司－集团本级－自有资金,9618540236,49.566,境内法人股
2025-03-31,2025-04-19,2,中国平安人寿保险股份有限公司－自有资金,1186100488,6.112,境内法人股
2025-03-31,2025-04-19,3,香港中央结算有限公司,658114653,3.391,境外法人股
2025-03-31,2025-04-19,4,中国平安人寿保险股份有限公司－传统－普通保险产品,440478714,2.27,境内法人股
2025-03-31,2025-04-19,5,中国证券金融股份有限公司,429232688,2.212,国有股
2025-03-31,2025-04-19,6,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,158803503,0.818,境内法人股
2025-03-31,2025-04-19,7,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,110935144,0.572,境内法人股
2025-03-31,2025-04-19,8,中国工商银行股份有限公司－华夏沪深300交易型开放式指数证券投资基金,75280777,0.388,境内法人股
2025-03-31,2025-04-19,9,中国银行股份有限公司－嘉实沪深300交易型开放式指数证券投资基金,70005962,0.361,境内法人股
2025-03-31,2025-04-19,10,深圳中电投资有限公司,62523366,0.322,国有股
2024-12-31,2025-03-15,1,中国平安保险(集团)股份有限公司-集团本级-自有资金,9618540236,49.566,境内法人股
2024-12-31,2025-03-15,2,中国平安人寿保险股份有限公司-自有资金,1186100488,6.112,境内法人股
2024-12-31,2025-03-15,3,香港中央结算有限公司,746881723,3.849,境外法人股
2024-12-31,2025-03-15,4,中国平安人寿保险股份有限公司-传统-普通保险产品,440478714,2.27,境内法人股
2024-12-31,2025-03-15,5,中国证券金融股份有限公司,429232688,2.212,国有股
2024-12-31,2025-03-15,6,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,167517503,0.863,境内法人股
2024-12-31,2025-03-15,7,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,115550844,0.595,境内法人股
2024-12-31,2025-03-15,8,中国工商银行股份有限公司-华夏沪深300交易型开放式指数证券投资基金,76811077,0.396,境内法人股
2024-12-31,2025-03-15,9,中国银行股份有限公司-嘉实沪深300交易型开放式指数证券投资基金,72772262,0.375,境内法人股
2024-12-31,2025-03-15,10,深圳中电投资有限公司,62523366,0.322,国有股
2024-09-30,2024-10-19,1,中国平安保险(集团)股份有限公司－集团本级－自有资金,9618540236,49.566,境内法人股
2024-09-30,2024-10-19,2,中国平安人寿保险股份有限公司－自有资金,1186100488,6.112,境内法人股
2024-09-30,2024-10-19,3,香港中央结算有限公司,851414551,4.387,境外法人股
2024-09-30,2024-10-19,4,中国平安人寿保险股份有限公司－传统－普通保险产品,440478714,2.27,境内法人股
2024-09-30,2024-10-19,5,中国证券金融股份有限公司,429232688,2.212,国有股
2024-09-30,2024-10-19,6,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,185360838,0.955,境内法人股
2024-09-30,2024-10-19,7,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,123146496,0.635,境内法人股
2024-09-30,2024-10-19,8,中国工商银行股份有限公司－华夏沪深300交易型开放式指数证券投资基金,78266877,0.403,境内法人股
2024-09-30,2024-10-19,9,中国银行股份有限公司－嘉实沪深300交易型开放式指数证券投资基金,76478723,0.394,境内法人股
2024-09-30,2024-10-19,10,深圳中电投资有限公司,62523366,0.322,国有股
2024-06-30,2024-08-16,1,中国平安保险(集团)股份有限公司－集团本级－自有资金,9618540236,49.566,境内法人股
2024-06-30,2024-08-16,2,中国平安人寿保险股份有限公司－自有资金,1186100488,6.112,境内法人股
2024-06-30,2024-08-16,3,香港中央结算有限公司,698756824,3.601,境外法人股
2024-06-30,2024-08-16,4,中国平安人寿保险股份有限公司－传统－普通保险产品,440478714,2.27,境内法人股
2024-06-30,2024-08-16,5,中国证券金融股份有限公司,429232688,2.212,国有股
2024-06-30,2024-08-16,6,中国工商银行股份有限公司－华泰柏瑞沪深300交易型开放式指数证券投资基金,114458038,0.59,境内法人股
2024-06-30,2024-08-16,7,中国建设银行股份有限公司－易方达沪深300交易型开放式指数发起式证券投资基金,76260746,0.393,境内法人股
2024-06-30,2024-08-16,8,深圳中电投资有限公司,62523366,0.322,国有股
2024-06-30,2024-08-16,9,和谐健康保险股份有限公司－万能产品,58894176,0.303,境内法人股
2024-06-30,2024-08-16,10,中国银行股份有限公司－嘉实沪深300交易型开放式指数证券投资基金,56102023,0.289,境内法人股
2024-03-31,2024-04-20,1,中国平安保险(集团)股份有限公司-集团本级-自有资金,9618540236,49.566,境内法人股
2024-03-31,2024-04-20,2,中国平安人寿保险股份有限公司-自有资金,1186100488,6.112,境内法人股
2024-03-31,2024-04-20,3,香港中央结算有限公司,678083924,3.494,境外法人股
2024-03-31,2024-04-20,4,中国平安人寿保险股份有限公司-传统-普通保险产品,440478714,2.27,境内法人股
2024-03-31,2024-04-20,5,中国证券金融股份有限公司,429232688,2.212,国有股
2024-03-31,2024-04-20,6,中国工商银行股份有限公司-华泰柏瑞沪深300交易型开放式指数证券投资基金,104753438,0.54,境内法人股
2024-03-31,2024-04-20,7,中国建设银行股份有限公司-易方达沪深300交易型开放式指数发起式证券投资基金,73599646,0.379,境内法人股
2024-03-31,2024-04-20,8,深圳中电投资有限公司,62523366,0.322,国有股
2024-03-31,2024-04-20,9,和谐健康保险股份有限公司-万能产品,58894176,0.303,境内法人股
