交易日,机构参与度
2026-02-25,48.871120000000005
2026-02-26,53.16459999999999
2026-02-27,47.01144
2026-03-02,48.55608
2026-03-03,45.93332
2026-03-04,44.5448
2026-03-05,48.599
2026-03-06,47.023160000000004
2026-03-09,46.18896
2026-03-10,47.3396
2026-03-11,46.3292
2026-03-12,47.3752
2026-03-13,49.5152
2026-03-16,50.712120000000006
2026-03-17,51.85232
2026-03-18,45.29864
2026-03-19,44.897999999999996
2026-03-20,43.84152
2026-03-23,41.49096
2026-03-24,46.34644
2026-03-25,44.77576
2026-03-26,46.97632
2026-03-27,48.46844
2026-03-30,46.72976
2026-03-31,51.109680000000004
2026-04-01,55.14712000000001
2026-04-02,51.946079999999995
2026-04-03,45.07108
2026-04-07,42.8094
2026-04-08,47.44704
2026-04-09,40.53432
2026-04-10,48.3154
2026-04-13,46.76592
2026-04-14,50.115359999999995
2026-04-15,49.419039999999995
2026-04-16,44.399680000000004
2026-04-17,41.1314
2026-04-20,46.29536
2026-04-21,49.40704
2026-04-22,43.2462
2026-04-23,47.95868
2026-04-24,49.3658
