序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日
1,000001,平安银行,11.0,0.0,0.3,5.01,10.979407279215,0.493658,68.46706285,-85,1041,85.6,2026-04-24
2,000002,万  科Ａ,3.75,-1.57,0.93,-0.51,3.765063255262,0.37545,54.6451173,-226,4522,72.4,2026-04-24
3,000004,*ST国华,2.91,-4.9,1.06,-10.66,2.91,0.121836,46.8429917,16,5173,70.8,2026-04-24
4,000006,深振业Ａ,9.88,1.65,2.17,-315.64,9.843353950203,0.4276156,68.19797461,624,1083,72.8,2026-04-24
5,000007,全新好,13.85,1.24,1.15,1052.89,13.788574292539,0.2477256,60.44345986,-131,3085,61.6,2026-04-24
6,000008,神州高铁,2.66,-0.37,1.7,-8.65,2.652179887273,0.3963252,54.25827079,-305,4587,81.6,2026-04-24
7,000009,中国宝安,8.9,0.23,0.9,60.78,8.893876205594,0.272154,57.97104707,-94,3791,77.2,2026-04-24
8,000010,美丽生态,3.62,-2.16,2.46,-97.83,3.61668968423,0.2354944,53.36717218,-289,4721,70.8,2026-04-24
9,000011,深物业A,8.44,0.36,0.73,148.44,8.417114876775,0.1742244,64.69138013,1177,1856,67.2,2026-04-24
10,000012,南  玻Ａ,4.45,-0.45,0.69,67.52,4.467788483056,0.2393124,59.42838231,183,3383,74.0,2026-04-24
11,000014,沙河股份,13.12,-0.08,1.64,-21.12,13.129579414007,0.1485756,51.36870456,-946,4956,65.6,2026-04-24
12,000016,深康佳Ａ,3.19,-0.93,1.93,-5.87,3.188207371188,0.3136908,56.64697764,79,4101,73.6,2026-04-24
13,000017,深中华A,6.35,-0.31,1.59,106.4,6.302049634003,0.1541252,66.55700428,181,1408,68.0,2026-04-24
14,000019,深粮控股,8.0,-0.99,5.9,28.4,8.02452646209,0.23988,63.35351673,-1571,2238,82.8,2026-04-24
15,000020,深华发Ａ,15.33,-1.03,2.64,208.57,15.276402342926,0.119902,56.89523148,-271,4040,67.2,2026-04-24
16,000021,深科技,28.85,0.42,4.16,45.0,28.790301627904,0.4100744,69.16611423,1423,907,78.0,2026-04-24
17,000025,特  力Ａ,15.63,-0.51,0.77,47.16,15.571580308096,0.2241524,62.31855051,95,2538,70.8,2026-04-24
18,000026,飞亚达,18.41,1.77,5.98,28.7,18.323842262789,0.3113488,73.00344773,-44,417,83.6,2026-04-24
19,000027,深圳能源,6.93,-1.98,1.04,15.67,6.998038428228,0.3573852,64.17728793,-1209,1987,87.6,2026-04-24
20,000028,国药一致,24.79,-0.84,0.82,12.0,24.778052379098,0.2434712,72.09781766,600,500,74.0,2026-04-24
21,000029,深深房Ａ,20.17,-0.79,0.37,204.14,20.224380984329,0.1974036,63.4998179,-39,2207,64.8,2026-04-24
22,000030,富奥股份,5.12,-1.73,1.34,17.65,5.123551228,0.2533632,66.55512863,-774,1410,76.4,2026-04-24
23,000031,大悦城,2.89,0.0,0.5,-17.43,2.885966293719,0.2913368,61.74264836,-203,2712,66.0,2026-04-24
24,000032,深桑达Ａ,17.92,-2.18,1.66,-54.65,17.905131327813,0.2640176,56.96928944,-180,4015,74.4,2026-04-24
25,000034,神州数码,37.53,2.29,6.59,52.03,37.346550582621,0.384336,79.3584592,698,69,83.2,2026-04-24
26,000035,中国天楹,6.85,-1.44,1.76,39.15,6.868437623621,0.3186928,62.46589116,-469,2492,74.8,2026-04-24
27,000036,华联控股,5.18,2.57,3.03,152.84,5.122720244677,0.3597324,64.99358556,693,1770,65.6,2026-04-24
28,000037,深南电A,10.78,-6.91,11.97,40.35,10.99552201746,0.2076492,59.84010981,-2433,3259,90.0,2026-04-24
29,000039,中集集团,11.11,-2.03,2.12,271.31,11.018172874178,0.2404616,59.21883446,-1361,3453,70.0,2026-04-24
30,000042,中洲控股,8.92,-1.44,0.55,-6.57,8.93558500412,0.1974848,59.97561529,484,3219,64.4,2026-04-24
31,000045,深纺织Ａ,11.88,0.51,1.51,87.95,11.925133799054,0.3723468,63.93383524,1245,2068,68.4,2026-04-24
32,000048,京基智农,14.24,-2.13,2.3,49.42,14.206035912861,0.253028,50.39078388,-77,5037,72.4,2026-04-24
33,000049,德赛电池,28.92,0.52,6.4,34.8,29.003241755336,0.2783276,71.85629975,756,525,87.2,2026-04-24
34,000050,深天马Ａ,8.18,-1.68,0.75,120.12,8.201769307448,0.2739452,59.07117988,-287,3503,73.6,2026-04-24
35,000055,方大集团,3.44,1.47,1.64,-7.17,3.407776092861,0.221348,52.48952097,-164,4836,66.0,2026-04-24
36,000056,皇庭国际,,,0.0,-0.84,1.950651635082,0.1962,65.79663802,65,1578,78.4,2026-04-24
37,000058,深 赛 格,8.01,-0.74,0.65,142.11,7.999028887369,0.2586308,62.46879082,1176,2489,72.8,2026-04-24
38,000059,华锦股份,5.44,2.84,2.09,-4.93,5.375437766537,0.3720844,66.66474402,684,1385,69.2,2026-04-24
39,000060,中金岭南,6.49,0.0,2.04,35.95,6.444255228853,0.3901856,62.31218693,-51,2543,82.0,2026-04-24
40,000061,农 产 品,7.43,-1.2,0.51,40.38,7.440659109285,0.2166512,65.1520647,-224,1735,70.0,2026-04-24
41,000062,深圳华强,34.34,9.99,10.73,77.58,33.276779179746,0.5280856,83.73309212,330,10,94.4,2026-04-24
42,000063,中兴通讯,36.38,-1.28,2.57,33.2,36.397116281162,0.3967128,66.7675196,142,1370,91.6,2026-04-24
43,000065,北方国际,13.57,-0.29,2.7,21.79,13.553617682265,0.352118,67.05126032,-181,1310,82.0,2026-04-24
44,000066,中国长城,16.45,1.61,9.26,2477.07,16.928021767547,0.41969,67.50472559,199,1234,83.2,2026-04-24
45,000068,华控赛格,3.23,1.25,1.21,-31.11,3.206414101459,0.277992,56.0997815,451,4226,67.2,2026-04-24
46,000069,华侨城Ａ,2.16,-0.46,0.34,-1.2,2.15655068655,0.4053024,56.9146097,546,4034,70.0,2026-04-24
47,000070,特发信息,19.97,-4.86,11.99,-36.28,20.521980105912,0.3102624,55.68599563,-814,4311,88.0,2026-04-24
48,000078,海王生物,3.35,0.6,3.99,257.2,3.354775707727,0.25532,49.92848993,-88,5069,82.8,2026-04-24
49,000088,盐 田 港,4.47,-0.67,0.73,17.06,4.48082155953,0.2784092,64.7889424,-967,1821,72.0,2026-04-24
50,000089,深圳机场,7.01,1.89,0.92,13.92,7.00601529454,0.3217312,65.53256268,557,1641,71.2,2026-04-24
51,000090,天健集团,3.52,-1.95,1.23,29.44,3.536333185149,0.294294,59.83718259,6,3262,66.4,2026-04-24
52,000096,广聚能源,9.59,-2.04,1.37,44.28,9.627462333742,0.1904896,60.3335027,-2145,3124,68.0,2026-04-24
53,000099,中信海直,17.69,-1.5,0.83,44.46,17.697395939522,0.213156,60.41161101,4,3095,74.0,2026-04-24
54,000100,TCL科技,4.23,-0.7,1.49,19.48,4.204972615972,0.4652356,67.47525656,28,1241,76.8,2026-04-24
55,000151,中成股份,11.0,4.07,5.3,57.52,11.005852330797,0.20764,67.07277188,1576,1307,74.4,2026-04-24
56,000153,丰原药业,6.32,0.0,2.11,21.96,6.325108801475,0.235404,58.83600773,-549,3556,70.4,2026-04-24
57,000155,川能动力,17.65,5.5,6.95,64.85,17.372633886855,0.4121092,77.61724548,941,117,86.0,2026-04-24
58,000156,华数传媒,7.42,-1.46,0.7,29.48,7.399441865693,0.254774,65.5711883,141,1628,66.4,2026-04-24
