序号,股票代码,股票简称,发行价,最新价,网上-发行中签率,网上-有效申购股数,网上-有效申购户数,网上-超额认购倍数,网下-配售中签率,网下-有效申购股数,网下-有效申购户数,网下-配售认购倍数,总发行数量,开盘溢价,首日涨幅,上市日期
1,688808,N联讯,81.88,799.0,0.02238168,3669741.75,6613139.0,4467.94,0.0231608,5319260.0,9268.0,4317.64,2566.6667,800.0,875.8183,2026-04-24
2,688820,C盛合,19.68,93.82,0.03682856,14763813.35,6466245.0,2715.28,0.03407777,38648480.0,9386.0,2934.46,25546.6162,406.707317073171,289.4817,2026-04-21
3,001312,C福恩,18.38,26.43,0.0228373326,20434304.15,15915888.0,4378.8,0.00750872,15537710.0,9820.0,13317.85,5833.3334,98.639825897715,66.3221,2026-04-21
4,301513,尚水智能,26.66,81.71,0.0144749279,7081209.7,13533707.0,6908.5,0.01797568,6119380.0,8999.0,5563.07,2500.0,275.056264066016,286.7217,2026-04-17
5,603293,埃泰克,33.49,51.73,0.0247164,11593313.95,13043581.0,4045.9,0.00714865,10020960.0,11355.0,13988.66,4477.2665,112.003583159152,112.0633,2026-04-16
6,301666,大普微-UW,46.08,234.5,0.0214556105,6505757.55,11604179.0,4660.79,0.0213209,9820790.0,9163.0,4690.23,4362.1636,349.717881944444,430.7075,2026-04-16
7,688811,有研复材,6.41,22.33,0.03128599,9008504.35,6359155.0,3196.32,0.02253259,31532060.0,8826.0,4438.02,13043.5137,212.16848673947,167.0827,2026-04-10
8,301696,三瑞智能,24.68,93.04,0.0189052876,6772443.9,12928364.0,5289.53,0.01788988,10734840.0,9726.0,5589.75,4001.0,264.667747163695,272.7715,2026-04-10
9,603459,红板科技,17.7,60.1,0.03502211,15346449.5,13447232.0,2855.34,0.01288375,21825190.0,10392.0,7761.71,10000.0,193.785310734463,225.9887,2026-04-08
10,301683,慧谷新材,78.38,127.11,0.0150807605,4667536.5,12656746.0,6630.97,0.01904134,4220850.0,9557.0,5251.73,1577.91,63.306966062771,61.6611,2026-04-01
11,688813,泰金新能,26.28,77.0,0.02398414,5336860.9,6380367.0,4169.42,0.02117464,9067450.0,8741.0,4722.63,4000.0,86.453576864536,88.242,2026-03-31
12,001257,盛龙股份,7.82,22.65,0.0376148529,28007686.3,15155405.0,2658.52,0.01075461,41981540.0,9559.0,9298.34,21500.0,200.0,253.9642,2026-03-31
13,688781,视涯科技-UW,22.68,38.56,0.03537587,6045221.5,5125888.0,2826.79,0.02634769,19913080.0,8858.0,3795.4,10000.0,120.458553791887,102.8219,2026-03-25
14,301682,宏明电子,69.66,122.18,0.0163030223,9039734.9,12935635.0,6133.83,0.02342896,6679700.0,8763.0,4268.22,3038.734,101.177146138386,84.6827,2026-03-25
15,301680,固德电材,58.0,102.43,0.0153626961,5541670.5,13526005.0,6509.27,0.02002554,4600310.0,8946.0,4993.62,2070.0,117.241379310345,118.4655,2026-03-06
16,688816,易思维,55.95,65.38,0.0222076,3626686.2,6541405.0,4502.96,0.02505649,4981550.0,7991.0,3990.98,2500.0,78.731009830206,58.9276,2026-02-11
17,688818,电科蓝天,9.47,66.34,0.03227646,13010876.7,6772841.0,3098.23,0.03065149,32633490.0,6932.0,3262.48,17370.0,750.052798310454,596.3041,2026-02-10
18,603284,林平发展,37.88,53.89,0.018888,7985228.7,14157164.0,5294.37,0.00772314,4882990.0,9368.0,12948.11,1885.37,66.605068637804,55.5702,2026-02-10
19,688712,北芯生命-U,17.52,40.58,0.03264275,4190823.9,5205789.0,3063.47,0.02248663,14195100.0,8624.0,4447.09,5700.0,187.157534246575,183.3333,2026-02-05
20,001220,世盟股份,28.0,44.57,0.0165074706,11181604.05,16464189.0,6057.86,0.00738338,6249850.0,9404.0,13543.94,2307.25,114.285714285714,106.1786,2026-02-03
21,601112,振石股份,11.18,19.98,0.04876427,26231704.65,14430698.0,2050.68,0.01180691,46431690.0,10070.0,8469.61,26105.5,168.336314847943,121.6458,2026-01-29
22,688785,恒运昌,92.18,292.55,0.02184853,2479571.8,6516284.0,4576.97,0.02565454,3167840.0,7899.0,3897.95,1693.0559,236.298546322413,302.7989,2026-01-28
23,603352,至信股份,21.88,37.34,0.02468624,14690978.3,14370164.0,4050.84,0.00813297,11148240.0,9153.0,12295.63,5666.6667,201.691042047532,213.4369,2026-01-15
24,603402,陕西旅游,80.44,132.48,0.01308077,14779716.2,13905337.0,7644.81,,,,,1933.3334,63.040775733466,64.0975,2026-01-06
25,301687,新广益,21.93,58.8,0.0156077364,9637848.6,13921852.0,6407.08,0.01942194,8294920.0,8652.0,5148.82,3671.6,196.397628818969,225.2166,2025-12-31
26,688809,强一股份,85.09,406.76,0.02295383,4515587.25,6684646.0,4356.57,0.02847633,5459590.0,8050.0,3511.69,3238.9882,212.140086966741,165.6129,2025-12-30
27,001396,誉帆科技,22.29,44.46,0.0164442901,10727431.75,16488309.0,6081.14,0.01094786,4637380.0,7825.0,9134.2,2673.0,169.179004037685,124.3607,2025-12-30
28,001369,双欣材料,6.85,15.72,0.0427324473,33522886.95,16553354.0,2340.14,0.01272187,50465780.0,8660.0,7860.48,28700.0,186.131386861314,187.2993,2025-12-30
29,688805,健信超导,18.58,54.18,0.0241683,5550453.25,6385243.0,4137.65,0.02393881,8405390.0,7845.0,4177.32,4192.0,250.0,212.8095,2025-12-24
30,603248,锡华科技,10.1,25.01,0.03181828,15589151.25,13858098.0,3142.85,0.0101583,21561630.0,9312.0,9844.17,10000.0,181.683168316832,264.4554,2025-12-23
31,301667,纳百川,22.63,120.65,0.0148966532,7683605.05,13737065.0,6712.92,0.01884893,6516970.0,8581.0,5305.34,2791.74,165.134776844896,408.175,2025-12-23
32,301449,天溯计量,36.8,79.97,0.0143576528,4939874.3,13435073.0,6964.93,0.02184531,3470500.0,7432.0,4577.64,1630.4348,113.315217391304,174.4837,2025-12-23
33,688807,优迅股份,51.66,390.0,0.0224897,2845746.95,6692804.0,4446.48,0.02368014,4054030.0,7893.0,4222.95,2000.0,364.576074332172,346.5738,2025-12-19
34,001325,元创股份,24.75,64.68,0.0108715425,18028720.45,15560212.0,9198.33,,,,,1960.0,219.191919191919,171.6364,2025-12-18
35,688802,沐曦股份-U,104.66,718.0,0.03348913,2886160.45,5175152.0,2986.04,0.03993255,5716910.0,7719.0,2504.22,4010.0,568.832409707625,692.9486,2025-12-17
36,688790,昂瑞微-UW,83.06,137.3,0.03449153,1731439.65,5129179.0,2899.26,0.03072791,4534750.0,7403.0,3254.37,2488.2922,188.947748615459,160.1132,2025-12-16
37,688796,百奥赛图,26.68,102.88,0.02801388,4091186.1,6027261.0,3569.66,0.02634367,10304750.0,7850.0,3795.98,4750.0,117.391304347826,146.6267,2025-12-10
