序号,交易日期,证券代码,证券简称,涨跌幅,收盘价,成交价,折溢率,成交笔数,成交总量,成交总额,成交总额/流通市值
1,2026-04-24,001339,智微智能,10.0,80.74,66.06,-0.181818181818,1,451.12,29800.99,2.963857208727
2,2026-04-23,603466,风语筑,4.883,10.31,9.04,-0.123181377304,12,698.57,6315.1,1.029763886315
3,2026-04-24,688378,奥来德,1.9077,39.53,36.46,-0.077662534784,5,261.43,9531.75,1.000690657219
4,2026-04-21,301662,宏工科技,1.8438,169.57,167.03,-0.014979064693,1,30.0,5010.9,0.960898663381
5,2026-04-22,688708,佳驰科技,0.2033,54.21,43.28,-0.201623316731,1,151.0,6535.28,0.847329012683
6,2026-04-24,301373,凌玮科技,5.2914,111.83,95.5904,-0.145216847,16,39.4,3766.26,0.825794070132
7,2026-04-23,600219,南山铝业,-2.1138,6.02,5.6,-0.06976744186,1,9200.0,51520.0,0.745242245361
8,2026-04-24,300647,超频三,-1.1976,6.6,5.34,-0.190909090909,1,420.0,2242.8,0.744167368315
9,2026-04-22,301662,宏工科技,-2.754,164.9,162.43,-0.014978775015,1,21.39,3473.73,0.684993226942
10,2026-04-24,688050,爱博医疗,0.6061,53.12,49.0,-0.077560240964,11,143.5,7031.5,0.68442571029
11,2026-04-24,301363,美好医疗,-1.7424,25.94,23.87,-0.079799537394,17,273.2,6521.29,0.673625325354
12,2026-04-24,300025,华星创业,4.8356,5.42,4.15,-0.234317343173,2,442.9,1838.04,0.669336654144
13,2026-04-23,002793,罗欣药业,9.9609,5.63,5.52,-0.019538188277,2,740.05,4085.05,0.668168047248
14,2026-04-23,603223,恒通股份,1.8661,9.28,8.4701,-0.087273706897,18,510.84,4326.85,0.660584765618
15,2026-04-22,300947,德必集团,0.7471,17.53,13.94,-0.204791785511,1,114.7,1598.92,0.60373223564
16,2026-04-22,301665,泰禾股份,-0.4474,26.7,25.37,-0.049812734082,1,65.84,1670.36,0.600559658495
17,2026-04-23,301363,美好医疗,-2.9412,26.4,24.2901,-0.079920454545,14,224.9,5462.85,0.55445999075
18,2026-04-21,300331,苏大维格,4.5211,48.78,43.1099,-0.116238212382,9,135.0,5819.84,0.537106530977
