日期,沪深300指数,股债利差,股债利差均线
2005-04-08,1003.45,0.022656,0.022656
2005-04-11,995.42,0.021938,0.022297
2005-04-12,978.7,0.024697,0.023097
2005-04-13,1000.9,0.022538,0.022957
2005-04-14,986.98,0.022811,0.022928
2005-04-15,974.08,0.024913,0.023259
2005-04-18,963.77,0.025146,0.023528
2005-04-19,965.89,0.025387,0.023761
2005-04-20,950.87,0.026593,0.024075
2005-04-21,943.98,0.02693,0.024361
2005-04-22,939.1,0.026884,0.02459
2005-04-25,930.07,0.027771,0.024855
2005-04-26,937.08,0.027328,0.025046
2005-04-27,926.6,0.028272,0.025276
2005-04-28,942.07,0.02723,0.025406
2005-04-29,932.4,0.02878,0.025617
2005-05-09,909.17,0.030239,0.025889
2005-05-10,913.08,0.029611,0.026096
2005-05-11,901.85,0.030514,0.026328
2005-05-12,885.82,0.032475,0.026636
2005-05-13,887.54,0.032519,0.026916
2005-05-16,875.27,0.034588,0.027265
2005-05-17,881.46,0.033946,0.027555
2005-05-18,883.2,0.033646,0.027809
2005-05-19,884.17,0.034546,0.028078
2005-05-20,882.76,0.03462,0.02833
2005-05-23,863.34,0.037686,0.028676
2005-05-24,868.46,0.037931,0.029007
2005-05-25,868.45,0.036716,0.029273
2005-05-26,857.33,0.038718,0.029588
2005-05-27,849.51,0.039692,0.029914
2005-05-30,855.61,0.038754,0.03019
2005-05-31,855.95,0.038191,0.030432
2005-06-01,837.53,0.039801,0.030708
2005-06-02,818.38,0.041695,0.031022
2005-06-03,818.03,0.042072,0.031329
2005-06-06,839.0,0.040566,0.031578
2005-06-07,837.28,0.041234,0.031832
2005-06-08,905.77,0.034743,0.031907
2005-06-09,912.6,0.033283,0.031942
2005-06-10,894.56,0.035594,0.032031
2005-06-13,892.96,0.03567,0.032117
2005-06-14,883.54,0.03698,0.03223
2005-06-15,866.83,0.038678,0.032377
2005-06-16,879.24,0.03896,0.032523
2005-06-17,880.35,0.039021,0.032664
2005-06-20,906.26,0.036343,0.032743
2005-06-21,896.17,0.038146,0.032855
2005-06-22,900.65,0.037905,0.032958
2005-06-23,893.57,0.03842,0.033068
2005-06-24,898.3,0.03817,0.033168
2005-06-27,916.04,0.036831,0.033238
2005-06-28,903.72,0.03762,0.033321
2005-06-29,898.9,0.03807,0.033409
2005-06-30,878.69,0.03967,0.033523
2005-07-01,859.49,0.041492,0.033665
2005-07-04,855.93,0.042015,0.033811
2005-07-05,849.68,0.042635,0.033963
2005-07-06,842.56,0.043699,0.034128
2005-07-07,844.73,0.043201,0.03428
2005-07-08,829.49,0.044076,0.03444
2005-07-11,824.1,0.044056,0.034595
2005-07-12,851.82,0.042686,0.034724
2005-07-13,846.23,0.044037,0.034869
2005-07-14,849.59,0.04301,0.034995
2005-07-15,841.0,0.044366,0.035137
2005-07-18,833.0,0.044837,0.035281
2005-07-19,835.61,0.045837,0.035437
2005-07-20,842.64,0.044166,0.035563
2005-07-21,843.99,0.043933,0.035683
2005-07-22,859.69,0.041991,0.035771
2005-07-25,856.86,0.041918,0.035857
2005-07-26,876.48,0.03984,0.035911
2005-07-27,894.01,0.040453,0.035973
2005-07-28,890.89,0.040246,0.03603
2005-07-29,888.16,0.04178,0.036105
2005-08-01,891.61,0.042242,0.036185
2005-08-02,903.6,0.041546,0.036254
2005-08-03,909.57,0.041615,0.036322
2005-08-04,904.15,0.042004,0.036393
2005-08-05,923.8,0.040216,0.03644
2005-08-08,927.47,0.038964,0.036471
2005-08-09,933.09,0.038468,0.036495
2005-08-10,940.37,0.037627,0.036508
2005-08-11,953.99,0.036985,0.036514
2005-08-12,938.32,0.038333,0.036535
2005-08-15,954.5,0.037546,0.036547
2005-08-16,945.06,0.038838,0.036573
2005-08-17,953.01,0.038246,0.036591
2005-08-18,920.67,0.041878,0.03665
2005-08-19,923.04,0.04172,0.036706
2005-08-22,931.67,0.040986,0.036752
2005-08-23,923.41,0.041388,0.036802
2005-08-24,930.65,0.039819,0.036834
2005-08-25,930.12,0.039906,0.036867
2005-08-26,928.26,0.039706,0.036896
2005-08-29,917.37,0.041842,0.036947
2005-08-30,914.88,0.042621,0.037005
2005-08-31,927.92,0.04244,0.03706
2005-09-01,944.56,0.041236,0.037102
