日期,股票代码,交易市场,股票名称,ESG评分,ESG等级,环境,环境等级,社会,社会等级,公司治理,公司治理等级
2025-10-31,600522.SH,cn,中天科技,99.86,AAA,88.5,A,92.59,AA,91.62,AA
2025-10-31,300760.SZ,cn,迈瑞医疗,99.84,AAA,82.5,BBB,93.8,AA,94.35,AA
2025-10-31,300274.SZ,cn,阳光电源,99.67,AAA,86.06,A,94.52,AA,90.29,AA
2025-10-31,300957.SZ,cn,贝泰妮,99.2,AAA,89.2,A,88.84,A,90.42,AA
2025-10-31,600519.SH,cn,贵州茅台,99.19,AAA,85.17,A,88.04,A,95.01,AAA
2025-10-31,603195.SH,cn,公牛集团,99.15,AAA,81.6,BBB,92.5,AA,94.45,AA
2025-10-31,601166.SH,cn,兴业银行,99.1,AAA,88.01,A,88.06,A,91.22,AA
2025-10-31,300470.SZ,cn,中密控股,99.1,AAA,87.75,A,89.68,A,90.74,AA
2025-10-31,600549.SH,cn,厦门钨业,98.68,AAA,89.04,A,90.87,AA,88.42,A
2025-10-31,600276.SH,cn,恒瑞医药,98.5,AAA,77.75,BB,92.52,AA,92.01,AA
2025-10-31,01276.HK,hk,恒瑞医药,98.5,AAA,77.75,BB,92.52,AA,92.01,AA
2025-10-31,300573.SZ,cn,兴齐眼药,98.07,AAA,84.77,BBB,88.12,A,91.43,AA
2025-10-31,688187.SH,cn,时代电气,98.03,AAA,85.28,A,92.83,AA,89.41,A
2025-10-31,03898.HK,hk,时代电气,98.03,AAA,85.28,A,92.83,AA,89.41,A
2025-10-31,601825.SH,cn,沪农商行,97.94,AAA,80.93,BBB,88.64,A,92.28,AA
2025-10-31,600938.SH,cn,中国海油,97.92,AAA,84.07,BBB,86.6,A,94.77,AA
2025-10-31,00883.HK,hk,中国海洋石油,97.92,AAA,84.07,BBB,86.6,A,94.77,AA
2025-10-31,301219.SZ,cn,腾远钴业,97.78,AAA,88.29,A,90.41,AA,88.22,A
2025-10-31,02388.HK,hk,中银香港,97.7,AAA,82.23,BBB,88.93,A,91.32,AA
2025-10-31,003012.SZ,cn,东鹏控股,97.58,AAA,86.13,A,88.08,A,91.22,AA
2025-10-31,300037.SZ,cn,新宙邦,97.49,AAA,86.68,A,92.37,AA,88.46,A
2025-10-31,02328.HK,hk,中国财险,97.48,AAA,81.8,BBB,87.22,A,91.96,AA
2025-10-31,002466.SZ,cn,天齐锂业,97.45,AAA,84.53,BBB,90.42,AA,92.42,AA
2025-10-31,300059.SZ,cn,东方财富,97.4,AAA,80.5,BBB,90.92,AA,88.3,A
2025-10-31,600968.SH,cn,海油发展,97.25,AAA,84.68,BBB,88.89,A,92.42,AA
2025-10-31,000987.SZ,cn,越秀资本,96.88,AAA,83.0,BBB,91.43,AA,87.1,A
2025-10-31,000568.SZ,cn,泸州老窖,96.86,AAA,84.03,BBB,92.44,AA,89.55,A
2025-10-31,688676.SH,cn,金盘科技,96.79,AAA,88.3,A,90.67,AA,86.27,A
2025-10-31,600111.SH,cn,北方稀土,96.78,AAA,87.06,A,90.92,AA,87.78,A
2025-10-31,000617.SZ,cn,中油资本,96.78,AAA,85.0,A,87.32,A,89.71,A
2025-10-31,300673.SZ,cn,佩蒂股份,96.68,AAA,84.97,BBB,90.21,AA,89.95,A
2025-10-31,00010.HK,hk,恒隆集团,96.6,AAA,86.77,A,87.4,A,89.63,A
2025-10-31,000423.SZ,cn,东阿阿胶,96.47,AAA,77.77,BB,93.56,AA,88.77,A
2025-10-31,300725.SZ,cn,药石科技,96.41,AAA,81.33,BBB,88.72,A,90.55,AA
2025-10-31,002709.SZ,cn,天赐材料,96.38,AAA,85.57,A,87.34,A,91.2,AA
2025-10-31,601211.SH,cn,国泰海通,96.36,AAA,80.77,BBB,88.82,A,89.52,A
2025-10-31,02611.HK,hk,国泰海通,96.36,AAA,80.77,BBB,88.82,A,89.52,A
2025-10-31,00388.HK,hk,香港交易所,96.32,AAA,81.54,BBB,85.5,A,91.43,AA
2025-10-31,603456.SH,cn,九洲药业,96.3,AAA,76.57,BB,88.58,A,92.72,AA
2025-10-31,688778.SH,cn,厦钨新能,96.29,AAA,83.74,BBB,87.85,A,91.0,AA
2025-10-31,000999.SZ,cn,华润三九,96.24,AAA,81.17,BBB,89.59,A,89.79,A
2025-10-31,600183.SH,cn,生益科技,96.22,AAA,87.85,A,87.88,A,88.09,A
2025-10-31,688278.SH,cn,特宝生物,96.14,AAA,80.07,BBB,89.97,A,89.89,A
2025-10-31,300832.SZ,cn,新产业,96.14,AAA,73.81,B,91.67,AA,91.56,AA
2025-10-31,002304.SZ,cn,洋河股份,96.05,AAA,82.18,BBB,91.06,AA,91.11,AA
2025-10-31,688036.SH,cn,传音控股,95.9,AAA,86.56,A,88.56,A,89.2,A
2025-10-31,01972.HK,hk,太古地产,95.82,AAA,85.53,A,87.62,A,89.35,A
2025-10-31,002643.SZ,cn,万润股份,95.74,AAA,84.41,BBB,89.12,A,90.42,AA
2025-10-31,601398.SH,cn,工商银行,95.72,AAA,84.82,BBB,84.59,BBB,91.43,AA
2025-10-31,01398.HK,hk,工商银行,95.72,AAA,84.82,BBB,84.59,BBB,91.43,AA
2025-10-31,00788.HK,hk,中国铁塔,95.72,AAA,80.75,BBB,94.69,AA,85.34,A
2025-10-31,688349.SH,cn,三一重能,95.7,AAA,81.53,BBB,92.86,AA,89.15,A
2025-10-31,06199.HK,hk,贵州银行,95.67,AAA,85.39,A,88.8,A,88.13,A
2025-10-31,300628.SZ,cn,亿联网络,95.65,AAA,78.53,BB,87.49,A,92.28,AA
2025-10-31,002938.SZ,cn,鹏鼎控股,95.62,AAA,87.71,A,87.13,A,87.97,A
2025-10-31,02050.HK,hk,三花智控,95.52,AAA,82.96,BBB,91.54,AA,88.63,A
2025-10-31,002050.SZ,cn,三花智控,95.52,AAA,82.96,BBB,91.54,AA,88.63,A
2025-10-31,000657.SZ,cn,中钨高新,95.52,AAA,83.22,BBB,89.66,A,91.43,AA
2025-10-31,600583.SH,cn,海油工程,95.5,AAA,85.9,A,90.01,AA,88.55,A
2025-10-31,600282.SH,cn,南钢股份,95.5,AAA,85.32,A,93.08,AA,86.32,A
2025-10-31,600000.SH,cn,浦发银行,95.34,AAA,85.55,A,87.65,A,88.57,A
2025-10-31,000959.SZ,cn,首钢股份,95.32,AAA,86.32,A,92.02,AA,85.53,A
2025-10-31,06069.HK,hk,盛业,95.31,AAA,87.5,A,87.34,A,87.98,A
2025-10-31,301039.SZ,cn,中集车辆,95.29,AAA,85.55,A,87.17,A,88.87,A
2025-10-31,603605.SH,cn,珀莱雅,95.28,AAA,83.6,BBB,89.67,A,89.51,A
