股票代码,ESG评分,ESG评分日期,环境总评,环境总评日期,社会责任总评,社会责任总评日期,治理总评,治理总评日期,争议总评,争议总评日期,行业,交易所
000975.SZ,40.2(C),2026-04-18,63.2(B),2026-04-18,36.0(C),2026-04-18,14.1(D),2026-04-18,100.0(A+),2026-03-14,贵金属,深交所
MFA,30.9(C-),2026-04-18,15.6(D),2026-04-18,30.1(C-),2026-04-18,49.6(C+),2026-04-18,100.0(A+),2026-03-07,房地产投资信托,纽交所
PFGC,56.8(B-),2026-04-18,41.4(C),2026-04-18,60.1(B),2026-04-18,63.9(B),2026-04-18,62.0(B),2026-04-18,食品经销商,纽交所
600887.SH,79.6(A-),2026-04-18,97.3(A+),2026-04-18,63.3(B),2026-04-18,88.2(A),2026-04-18,100.0(A+),2025-06-14,饮料乳品,上交所
600862.SH,41.0(C),2026-04-18,51.1(B-),2026-04-18,45.5(C+),2026-04-18,27.7(C-),2026-04-18,100.0(A+),2026-03-21,航空装备Ⅱ,上交所
600383.SH,53.7(B-),2026-04-18,61.3(B),2026-04-18,62.1(B),2026-04-18,37.1(C),2026-04-18,100.0(A+),2025-06-21,房地产开发,上交所
NCR,53.2(B-),2026-04-18,55.2(B-),2026-04-18,67.2(B+),2026-04-18,32.6(C-),2026-04-18,100.0(A+),2026-04-18,计算机处理硬件,纽交所
ICPT,40.1(C),2026-04-18,18.6(D+),2026-04-18,46.2(C+),2026-04-18,47.0(C+),2026-04-18,100.0(A+),2023-08-26,其他制药,纳斯达克
AVAH,23.1(D+),2026-04-18,2.8(D-),2026-03-28,22.5(D+),2026-04-18,34.0(C),2026-04-18,84.2(A),2026-04-11,医疗-护理服务,纳斯达克
MCRI,20.5(D+),2026-04-18,5.6(D-),2026-04-18,26.1(C-),2026-04-11,25.5(C-),2026-04-18,100.0(A+),2026-03-14,酒店-度假村-邮轮,纳斯达克
EGLX,15.9(D),2026-04-18,1.6(D-),2026-04-18,25.2(C-),2026-04-18,12.1(D),2026-04-18,100.0(A+),2025-04-05,互联网软件-服务,纳斯达克
LFST,17.0(D+),2026-04-18,0.0(D-),2025-05-10,16.5(D),2026-04-11,26.2(C-),2026-04-18,100.0(A+),2025-04-12,医疗-护理服务,纳斯达克
GTE,56.2(B-),2026-04-18,39.3(C),2026-04-18,51.1(B-),2026-04-18,89.9(A),2026-04-18,100.0(A+),2026-04-11,油气生产,纽交所
TEVA,82.9(A-),2026-04-18,60.9(B),2026-04-18,90.5(A),2026-04-18,87.5(A),2026-04-11,5.2(D-),2026-04-11,通用制药,纽交所
AIRC,55.3(B-),2026-04-18,37.5(C),2026-04-18,61.4(B),2026-04-18,70.1(B+),2026-04-18,100.0(A+),2024-05-04,房地产投资信托,纽交所
300017.SZ,50.6(B-),2026-04-18,24.2(D+),2026-04-18,26.5(C-),2026-04-18,79.4(A-),2026-04-18,100.0(A+),2025-05-03,IT服务Ⅱ,深交所
02356.HK,41.1(C),2026-04-18,42.7(C+),2026-04-18,37.6(C),2026-04-18,45.2(C+),2026-03-28,100.0(A+),2025-05-17,银行,港交所
SBH,40.8(C),2026-04-18,25.8(C-),2026-04-18,47.6(C+),2026-04-18,40.7(C),2026-04-18,100.0(A+),2025-12-20,专卖店,纽交所
EGO,81.0(A-),2026-04-18,75.1(A-),2026-04-18,83.9(A),2026-04-18,84.7(A),2026-04-18,100.0(A+),2025-05-17,贵金属,纽交所
SWN,13.5(D),2026-04-18,9.3(D),2026-04-18,3.3(D-),2026-04-18,37.7(C),2026-04-18,100.0(A+),2024-05-04,油气生产,纽交所
00788.HK,51.4(B-),2026-04-18,57.3(B-),2026-04-18,45.7(C+),2026-04-18,50.9(B-),2026-04-18,100.0(A+),2025-03-29,电讯,港交所
UHS,35.8(C),2026-04-18,31.0(C-),2026-04-11,50.4(B-),2026-04-11,20.7(D+),2026-04-18,100.0(A+),2026-04-11,医院-护理管理,纽交所
PHM,55.6(B-),2026-04-18,41.8(C+),2026-04-18,61.2(B),2026-04-18,64.6(B),2026-04-18,100.0(A+),2026-04-11,住宅建筑,纽交所
000528.SZ,51.0(B-),2026-04-18,80.3(A-),2026-04-18,43.1(C+),2026-04-18,26.3(C-),2026-04-18,100.0(A+),2025-04-19,工程机械,深交所
ZWS,76.2(A-),2026-04-18,82.8(A-),2026-04-18,88.3(A),2026-04-18,48.6(C+),2026-04-18,100.0(A+),2026-04-11,工业机械,纽交所
HURN,58.4(B),2026-04-18,33.0(C-),2026-04-18,71.9(B+),2026-04-18,58.8(B),2026-04-18,100.0(A+),2026-04-11,杂项商业服务,纳斯达克
PAHC,30.2(C-),2026-04-18,25.8(C-),2026-04-11,43.5(C+),2026-04-18,13.7(D),2026-04-18,100.0(A+),2025-09-27,专业制药,纳斯达克
APOG,43.1(C+),2026-04-18,24.4(D+),2026-04-18,47.5(C+),2026-04-18,60.7(B),2026-04-18,100.0(A+),2025-05-24,建筑产品,纳斯达克
000729.SZ,49.2(C+),2026-04-18,40.9(C),2026-04-18,46.5(C+),2026-04-18,63.9(B),2026-04-18,100.0(A+),2025-05-17,非白酒,深交所
FUNC,35.2(C),2026-04-18,1.2(D-),2026-04-18,23.6(D+),2026-04-18,64.7(B),2026-04-18,100.0(A+),2026-03-28,区域银行,纳斯达克
ELA,29.4(C-),2026-04-18,7.2(D-),2026-04-18,21.6(D+),2026-04-18,49.0(C+),2026-04-18,100.0(A+),2025-05-17,专卖店,美交所
LFVN,52.5(B-),2026-04-18,14.2(D),2026-04-11,54.5(B-),2026-04-18,77.7(A-),2026-04-18,100.0(A+),2025-09-27,通用制药,纳斯达克
600745.SH,55.3(B-),2026-04-18,48.1(C+),2026-04-18,59.2(B),2026-04-18,54.5(B-),2026-04-11,82.0(A-),2026-04-11,消费电子,上交所
RUSHA,38.1(C),2026-04-18,36.4(C),2026-04-18,36.1(C),2026-04-18,41.3(C),2026-04-18,100.0(A+),2025-03-29,专卖店,纳斯达克
CTVA,63.0(B),2026-04-18,50.8(B-),2026-04-18,63.5(B),2026-04-18,83.8(A),2026-04-18,8.0(D-),2026-04-18,农业化工品,纽交所
NTCT,57.2(B-),2026-04-18,37.6(C),2026-04-18,64.3(B),2026-04-18,57.1(B-),2026-04-18,100.0(A+),2025-05-17,信息技术服务,纳斯达克
RVMD,26.8(C-),2026-04-18,0.0(D-),2025-06-21,27.3(C-),2026-04-18,44.2(C+),2026-04-18,100.0(A+),2025-06-21,其他制药,纳斯达克
300257.SZ,48.4(C+),2026-04-18,57.6(B-),2026-04-18,36.6(C),2026-04-18,52.9(B-),2026-04-18,100.0(A+),2025-05-17,通用设备,深交所
CBIO,28.6(C-),2026-04-18,0.0(D-),2026-03-21,67.4(B+),2026-04-18,12.4(D),2026-04-18,100.0(A+),2026-03-21,生物技术,纳斯达克
000100.SZ,64.2(B),2026-04-18,70.8(B+),2026-04-18,57.4(B-),2026-04-18,62.9(B),2026-04-18,73.8(B+),2026-04-18,光学光电子,深交所
ABCM,60.6(B),2026-04-18,80.3(A-),2026-04-18,79.7(A-),2026-04-18,30.0(C-),2026-04-18,100.0(A+),2025-06-21,生物技术,纳斯达克
002709.SZ,68.1(B+),2026-04-18,70.2(B+),2026-04-18,70.5(B+),2026-04-18,60.6(B),2026-04-18,100.0(A+),2026-03-14,电池,深交所
601666.SH,56.0(B-),2026-04-18,81.2(A-),2026-03-28,30.7(C-),2026-04-11,44.7(C+),2026-04-18,50.0(C+),2025-12-06,煤炭开采,上交所
BURL,68.0(B+),2026-04-18,61.7(B),2026-04-18,63.3(B),2026-04-18,76.3(A-),2026-04-18,100.0(A+),2025-06-21,服装-鞋类零售,纽交所
CONN,36.4(C),2026-04-18,14.7(D),2026-04-18,19.8(D+),2026-04-18,65.6(B),2026-04-18,100.0(A+),2024-05-04,电子-电器商店,纳斯达克
ROKU,29.4(C-),2026-04-18,5.2(D-),2026-04-18,29.5(C-),2026-04-18,37.2(C),2026-04-18,17.7(D+),2026-04-18,电子-电器,纳斯达克
00813.HK,54.1(B-),2026-04-18,86.8(A),2026-04-18,44.9(C+),2026-04-18,32.6(C-),2026-04-18,100.0(A+),2025-05-24,地产,港交所
NX,59.0(B),2026-04-18,73.8(B+),2026-04-18,47.5(C+),2026-04-18,58.0(B-),2026-04-18,5.6(D-),2026-04-18,建筑产品,纽交所
ABM,56.8(B-),2026-04-18,61.7(B),2026-04-18,57.3(B-),2026-04-18,52.7(B-),2026-04-18,100.0(A+),2026-02-21,杂项商业服务,纽交所
HOG,42.9(C+),2026-04-18,43.0(C+),2026-04-18,43.1(C+),2026-04-18,42.2(C+),2026-04-18,20.1(D+),2026-04-11,机动车辆,纽交所
CSWI,54.1(B-),2026-04-18,45.5(C+),2026-04-18,68.8(B+),2026-04-18,45.9(C+),2026-04-18,100.0(A+),2025-06-14,工业专业,纳斯达克
AIRS,14.0(D),2026-04-18,0.0(D-),2025-06-21,20.4(D+),2026-04-18,13.3(D),2026-04-18,100.0(A+),2025-06-21,专业医疗,纳斯达克
