股票代码,ESG评分,环境总评,社会责任总评,治理总评,评分日期
00386.HK,88.31(AAA),94.66(AAA),74.78(AA),93.57(AAA),2026-03-31
600028.SH,88.31(AAA),94.66(AAA),74.78(AA),93.57(AAA),2026-03-31
03750.HK,87.54(AAA),98.43(AAA),69.21(A),92.32(AAA),2026-03-31
300750.SZ,87.54(AAA),98.43(AAA),69.21(A),92.32(AAA),2026-03-31
300957.SZ,87.3(AAA),99.87(AAA),68.27(A),88.33(AAA),2026-03-31
600519.SH,86.97(AAA),95.96(AAA),74.26(AA),89.61(AAA),2026-03-31
300207.SZ,86.77(AAA),98.1(AAA),66.63(A),94.01(AAA),2026-03-31
002841.SZ,86.64(AAA),89.63(AAA),77.89(AA),91.96(AAA),2026-03-31
300274.SZ,86.35(AAA),92.36(AAA),72.41(AA),92.68(AAA),2026-03-31
02899.HK,86.26(AAA),92.95(AAA),67.39(A),94.37(AAA),2026-03-31
601899.SH,86.26(AAA),92.95(AAA),67.39(A),94.37(AAA),2026-03-31
01276.HK,86.23(AAA),94.74(AAA),72.59(AA),90.19(AAA),2026-03-31
600276.SH,86.23(AAA),94.74(AAA),72.59(AA),90.19(AAA),2026-03-31
002241.SZ,86.16(AAA),99.69(AAA),68.45(A),88.5(AAA),2026-03-31
601615.SH,86.01(AAA),96.65(AAA),72.36(AA),86.6(AAA),2026-03-31
603019.SH,85.98(AAA),96.98(AAA),72.98(AA),86.5(AAA),2026-03-31
01816.HK,85.73(AAA),89.65(AAA),79.82(AA),86.68(AAA),2026-03-31
003816.SZ,85.73(AAA),89.65(AAA),79.82(AA),86.68(AAA),2026-03-31
600549.SH,85.7(AAA),92.01(AAA),69.11(A),92.3(AAA),2026-03-31
000400.SZ,85.6(AAA),96.27(AAA),72.98(AA),85.15(AAA),2026-03-31
02318.HK,85.59(AAA),83.18(AAA),77.21(AA),93(AAA),2026-03-31
601318.SH,85.59(AAA),83.18(AAA),77.21(AA),93(AAA),2026-03-31
300014.SZ,85.54(AAA),96.16(AAA),66.84(A),92.15(AAA),2026-03-31
600480.SH,85.54(AAA),93.59(AAA),70.83(AA),90.17(AAA),2026-03-31
300037.SZ,85.5(AAA),90.84(AAA),72.55(AA),90.14(AAA),2026-03-31
601179.SH,85.39(AAA),95.32(AAA),72.67(AA),85.91(AAA),2026-03-31
000999.SZ,85.35(AAA),91.1(AAA),68.25(A),95.86(AAA),2026-03-31
002415.SZ,85.29(AAA),98.6(AAA),72.45(AA),83.02(AAA),2026-03-31
300232.SZ,85.26(AAA),99.4(AAA),67.39(A),87.08(AAA),2026-03-31
600583.SH,85.26(AAA),90.3(AAA),74.23(AA),89.91(AAA),2026-03-31
300124.SZ,85.25(AAA),91.14(AAA),71.21(AA),91.78(AAA),2026-03-31
688063.SH,85.23(AAA),92.06(AAA),67.2(A),94.48(AAA),2026-03-31
002236.SZ,85.08(AAA),89.51(AAA),73.31(AA),91.8(AAA),2026-03-31
600970.SH,85.08(AAA),93.57(AAA),72.86(AA),86.8(AAA),2026-03-31
600019.SH,84.99(AAA),84.16(AAA),75.49(AA),94.24(AAA),2026-03-31
002056.SZ,84.93(AAA),93.4(AAA),64.84(A),95.37(AAA),2026-03-31
688223.SH,84.89(AAA),92.95(AAA),67.17(A),92.42(AAA),2026-03-31
600111.SH,84.81(AAA),97.85(AAA),68.59(A),82.82(AAA),2026-03-31
300222.SZ,84.8(AAA),96.17(AAA),67.13(A),88.39(AAA),2026-03-31
002074.SZ,84.78(AAA),94.42(AAA),66.22(A),91.24(AAA),2026-03-31
600350.SH,84.72(AAA),90.32(AAA),67.05(A),94.51(AAA),2026-03-31
688599.SH,84.68(AAA),93.42(AAA),66.22(A),92.11(AAA),2026-03-31
002271.SZ,84.64(AAA),94.37(AAA),66.16(A),88.69(AAA),2026-03-31
002709.SZ,84.55(AAA),91.08(AAA),65.7(A),92.85(AAA),2026-03-31
00659.HK,84.53(AAA),99.81(AAA),67.29(A),83.11(AAA),2026-03-31
600436.SH,84.46(AAA),97.23(AAA),69.07(A),85.36(AAA),2026-03-31
600498.SH,84.46(AAA),96.13(AAA),66.81(A),88.83(AAA),2026-03-31
002706.SZ,84.45(AAA),95.69(AAA),64.46(A),90.42(AAA),2026-03-31
00300.HK,84.44(AAA),84.91(AAA),72.91(AA),94.95(AAA),2026-03-31
000333.SZ,84.44(AAA),84.91(AAA),72.91(AA),94.95(AAA),2026-03-31
000878.SZ,84.31(AAA),91.79(AAA),71.89(AA),85.87(AAA),2026-03-31
000858.SZ,84.3(AAA),91.29(AAA),75.87(AA),85.06(AAA),2026-03-31
02715.HK,84.2(AAA),95.68(AAA),69.15(A),85.13(AAA),2026-03-31
002747.SZ,84.2(AAA),95.68(AAA),69.15(A),85.13(AAA),2026-03-31
688676.SH,84.19(AAA),92.26(AAA),65.55(A),92.58(AAA),2026-03-31
600406.SH,84.12(AAA),80.98(AAA),77.94(AA),93.73(AAA),2026-03-31
002563.SZ,83.93(AAA),99.88(AAA),61.88(A),88.92(AAA),2026-03-31
000977.SZ,83.92(AAA),86.72(AAA),75.24(AA),89.4(AAA),2026-03-31
600126.SH,83.92(AAA),91.68(AAA),69.88(A),86.53(AAA),2026-03-31
688772.SH,83.88(AAA),93.09(AAA),63.4(A),93.87(AAA),2026-03-31
01787.HK,83.83(AAA),91.65(AAA),74.27(AA),82.5(AAA),2026-03-31
600547.SH,83.83(AAA),91.65(AAA),74.27(AA),82.5(AAA),2026-03-31
601138.SH,83.76(AAA),90.18(AAA),67.79(A),92.4(AAA),2026-03-31
002518.SZ,83.74(AAA),95.2(AAA),67.09(A),86.24(AAA),2026-03-31
300760.SZ,83.66(AAA),91.51(AAA),70.88(AA),90.4(AAA),2026-03-31
002600.SZ,83.64(AAA),96.2(AAA),60.93(A),92.06(AAA),2026-03-31
02020.HK,83.6(AAA),89.83(AAA),76.09(AA),84.52(AAA),2026-03-31
300041.SZ,83.57(AAA),95.68(AAA),62.9(A),86.58(AAA),2026-03-31
01072.HK,83.56(AAA),88.03(AAA),74.8(AA),86.72(AAA),2026-03-31
600875.SH,83.56(AAA),88.03(AAA),74.8(AA),86.72(AAA),2026-03-31
002472.SZ,83.53(AAA),92.09(AAA),64.68(A),91.53(AAA),2026-03-31
002179.SZ,83.49(AAA),92.84(AAA),68.53(A),87.82(AAA),2026-03-31
603737.SH,83.48(AAA),95.5(AAA),58.79(BBB),90.08(AAA),2026-03-31
002340.SZ,83.47(AAA),93.88(AAA),65.36(A),86.35(AAA),2026-03-31
600072.SH,83.45(AAA),96.36(AAA),71.37(AA),79.87(AA),2026-03-31
002497.SZ,83.43(AAA),90.06(AAA),66.48(A),89.96(AAA),2026-03-31
688349.SH,83.4(AAA),90.94(AAA),64.49(A),92.68(AAA),2026-03-31
01177.HK,83.29(AAA),98.18(AAA),68.24(A),81.47(AAA),2026-03-31
000596.SZ,83.16(AAA),92.61(AAA),67.02(A),88.4(AAA),2026-03-31
301151.SZ,83.12(AAA),95.56(AAA),64.96(A),85.91(AAA),2026-03-31
688363.SH,83.05(AAA),88.79(AAA),68.61(A),90.95(AAA),2026-03-31
00470.HK,83.04(AAA),82.86(AAA),71.43(AA),91.87(AAA),2026-03-31
300450.SZ,83.04(AAA),82.86(AAA),71.43(AA),91.87(AAA),2026-03-31
000100.SZ,82.99(AAA),89.48(AAA),66.14(A),92.43(AAA),2026-03-31
688585.SH,82.94(AAA),95.88(AAA),61.22(A),85.84(AAA),2026-03-31
002756.SZ,82.93(AAA),91.42(AAA),63.58(A),89.25(AAA),2026-03-31
01618.HK,82.92(AAA),91.66(AAA),76.06(AA),79.23(AA),2026-03-31
601618.SH,82.92(AAA),91.66(AAA),76.06(AA),79.23(AA),2026-03-31
688005.SH,82.92(AAA),91.59(AAA),60.89(A),93.85(AAA),2026-03-31
600312.SH,82.9(AAA),92.15(AAA),69.76(A),84.63(AAA),2026-03-31
600869.SH,82.85(AAA),96.59(AAA),67.93(A),80.99(AAA),2026-03-31
00688.HK,82.84(AAA),88.1(AAA),75.93(AA),83.27(AAA),2026-03-31
002025.SZ,82.76(AAA),97.2(AAA),67.19(A),81.96(AAA),2026-03-31
00175.HK,82.75(AAA),92.97(AAA),70.11(AA),82.86(AAA),2026-03-31
