报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
1993年报,1994-05-14,1994-05-30,1994-07-02,10送3股转2股派5元,1994-07-08,1994-07-11,1.35亿,实施方案,47.17%,3.62%
1994年报,1995-03-10,1995-08-29,1995-09-15,10送2股派3元,1995-09-22,1995-09-25,1.29亿,实施方案,34.88%,3.04%
1995年报,1996-03-14,1996-05-20,1996-05-23,10送5股转5股,1996-05-24,1996-05-27,--,实施方案,--,--
1996年报,1997-04-21,1997-07-23,1997-08-19,10送5股派2元(含税),1997-08-22,1997-08-25,2.07亿,实施方案,--,0.63%
1997年报,1998-03-12,1998-04-17,,不分配不转增,,,--,股东大会预案,--,--
1998中报,1998-08-26,,,不分配不转增,,,--,董事会预案,--,--
1998年报,1999-04-23,1999-05-31,,不分配不转增,,,--,股东大会预案,--,--
1999中报,1999-07-17,1999-08-17,1999-10-11,10派6元(含税),1999-10-15,1999-10-18,9.31亿,实施方案,--,2.65%
1999年报,2000-04-19,2000-06-23,,不分配不转增,,,--,股东大会预案,--,--
2000中报,2000-07-26,,,不分配不转增,,,--,董事会预案,--,--
2000年报,2001-04-14,2001-06-30,,不分配不转增,,,--,股东大会预案,--,--
2001中报,2001-08-10,,,不分配不转增,,,--,董事会预案,--,--
2001年报,2002-04-19,2002-05-23,2002-07-17,10派1.5元(含税),2002-07-22,2002-07-23,2.92亿,实施方案,71.43%,1.03%
2002中报,2002-08-14,,,不分配不转增,,,--,董事会预案,--,--
2002年报,2003-04-24,2003-08-27,2003-09-23,10派1.5元(含税),2003-09-26,2003-09-29,2.92亿,实施方案,68.18%,1.61%
2003中报,2003-08-20,,,不分配不转增,,,--,董事会预案,--,--
2003年报,2004-04-15,2004-07-01,,不分配不转增,,,--,股东大会预案,--,--
2004中报,2004-08-31,,,不分配不转增,,,--,董事会预案,--,--
2004年报,2005-04-26,2005-06-18,,不分配不转增,,,--,股东大会预案,--,--
2005中报,2005-08-19,,,不分配不转增,,,--,董事会预案,--,--
2005年报,2006-04-01,2006-06-27,,不分配不转增,,,--,股东大会预案,--,--
2006中报,2006-08-18,,,不分配不转增,,,--,董事会预案,--,--
2006年报,2007-03-22,2007-06-16,,不分配不转增,,,--,股东大会预案,--,--
2007-05-16,2007-05-16,2007-06-09,2007-06-14,10送1股派0.09元(含税),2007-06-15,2007-06-18,1268.43万,实施方案,--,0.03%
2007中报,2007-08-16,2007-12-20,,不分配不转增,,,--,股东大会预案,--,--
2007年报,2008-03-20,2008-06-13,,不分配不转增,,,--,股东大会预案,--,--
2008中报,2008-08-21,2008-10-16,2008-10-24,10送3股派0.335元(含税),2008-10-30,2008-10-31,8002.46万,实施方案,3.6%,0.3%
2008年报,2009-03-20,2009-05-19,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-21,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-12,2010-06-18,,不分配不转增,,,--,股东大会预案,--,--
2010中报,2010-08-25,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-02-25,2011-05-26,,不分配不转增,,,--,股东大会预案,--,--
2011中报,2011-08-18,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-09,2012-05-24,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-08-16,2012-09-01,2012-10-12,10派1元(含税),2012-10-18,2012-10-19,5.12亿,实施方案,7.58%,0.74%
2012年报,2013-03-08,2013-05-24,2013-06-14,10送6股派1.70元(含税),2013-06-19,2013-06-20,8.71亿,实施方案,6.49%,0.88%
2013中报,2013-08-23,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-07,2014-05-23,2014-06-06,10转2股派1.60元(含税),2014-06-11,2014-06-12,15.23亿,实施方案,8.6%,1.36%
2014中报,2014-08-14,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-13,2015-04-03,2015-04-07,10转2股派1.74元(含税),2015-04-10,2015-04-13,19.88亿,实施方案,10.06%,0.88%
2015中报,2015-08-14,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-10,2016-05-20,2016-06-08,10转2股派1.53元(含税),2016-06-15,2016-06-16,21.89亿,实施方案,9.81%,1.47%
2016中报,2016-08-12,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-17,2017-06-30,2017-07-17,10派1.58元(含税),2017-07-20,2017-07-21,27.13亿,实施方案,11.97%,1.44%
2017中报,2017-08-11,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-15,2018-06-21,2018-07-06,10派1.36元(含税),2018-07-11,2018-07-12,23.35亿,实施方案,10.46%,1.55%
2018中报,2018-08-16,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-07,2019-05-31,2019-06-20,10派1.45元(含税),2019-06-25,2019-06-26,24.90亿,实施方案,10.43%,1.08%
2019中报,2019-08-08,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-02-14,2020-05-15,2020-05-22,10派2.18元(含税),2020-05-27,2020-05-28,42.30亿,实施方案,14.16%,1.68%
2020中报,2020-08-28,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-02-02,2021-04-09,2021-05-07,10派1.80元(含税),2021-05-13,2021-05-14,34.93亿,实施方案,12.86%,0.78%
2021中报,2021-08-20,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-10,2022-06-29,2022-07-15,10派2.28元(含税),2022-07-21,2022-07-22,44.25亿,实施方案,13.18%,1.75%
2022中报,2022-08-18,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-09,2023-06-01,2023-06-07,10派2.85元(含税),2023-06-13,2023-06-14,55.31亿,实施方案,12.95%,2.42%
2023中报,2023-08-24,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-15,2024-05-25,2024-06-06,10派7.19元(含税),2024-06-13,2024-06-14,139.53亿,实施方案,31.96%,6.66%
2024中报,2024-08-16,,2024-09-26,10派2.46元(含税),2024-10-09,2024-10-10,47.74亿,实施方案,20%,2.11%
2024年报,2025-03-15,2025-05-24,2025-06-05,10派3.62元(含税),2025-06-11,2025-06-12,70.25亿,实施方案,16.84%,3.05%
2025中报,2025-08-23,,2025-09-30,10派2.36元(含税),2025-10-14,2025-10-15,45.80亿,实施方案,20%,2.04%
2025年报,2026-03-21,,,10派3.6元(含税),,,69.86亿,董事会预案,17.39%,--
1992年报,,,1993-05-09,10送3.5股转5股派3元,1993-05-21,1993-05-24,4041.00万,实施方案,--,--
1991年报,,,1992-03-14,10派2元送5股,1992-03-20,1992-03-23,1797.80万,实施方案,--,--
1990年报,,,1990-12-31,10送4股派3元,1991-04-30,1991-05-02,1455.00万,实施方案,--,--
