代码,名称,送转股份-送转总比例,送转股份-送转比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
300708,聚灿光电,,,,1.6,0.015841584158,0.21,4.296961485853,2.683990286705,0.535000374048,291.405014677633,670982846,2024-01-27,2024-02-27,2024-02-28,实施分配,2024-02-21
002286,保龄宝,,,,0.8,0.013745704467,0.15,5.349631076554,2.207596015412,1.748257863205,-59.473236828324,370770580,2024-02-07,2024-03-07,2024-03-08,实施分配,2024-03-01
300033,同花顺,,,,22.0,0.016318053701,2.61,13.61447445558,0.663696011886,11.220498447656,-17.066056076547,537600000,2024-02-27,2024-03-28,2024-03-29,实施分配,2024-03-22
002138,顺络电子,,,,3.0,0.011583011583,0.81,7.396205587551,2.573303295413,3.847930875204,47.98331616241,806318354,2024-02-29,2024-03-28,2024-03-29,实施分配,2024-03-23
301052,果麦文化,3.467532,,3.467532,0.980816,0.002286284382,0.7392,9.215818703671,4.337765959125,3.468834179083,31.453745156289,73441214,2024-03-01,2024-03-29,2024-04-01,实施分配,2024-03-26
002687,乔治白,0.1,,0.1,2.0,0.033444816054,0.4,3.06256797132,0.317037687431,1.525276594013,67.205767629849,499952036,2024-02-29,2024-04-08,2024-04-09,实施分配,2024-03-28
002315,焦点科技,,,,10.0,0.030883261272,1.213,7.809500958065,3.841744515122,2.132055176614,26.120448614267,316690594,2024-02-23,2024-04-09,2024-04-10,实施分配,2024-03-29
920167,同享科技,,,,1.11,0.00649122807,1.1,5.29,1.280218359587,2.684985238383,139.989835582418,109320000,2024-03-05,2024-04-12,2024-04-15,实施分配,2024-03-29
001207,联科科技,,,,5.0,0.032573289902,0.88,8.626359327615,5.030471925601,2.525526787735,51.266906931665,202355964,2024-03-08,2024-04-09,2024-04-10,实施分配,2024-03-30
300842,帝科股份,4.0,,4.0,8.0,0.011283497884,3.85,13.167785289652,5.451045502786,6.219476333433,2336.50879694586,100500000,2024-02-29,2024-04-09,2024-04-10,实施分配,2024-04-01
600605,汇通能源,,,,6.0,0.022488755622,0.274,6.274554213631,3.281556642713,1.499804880085,509.131691849139,206282429,2024-03-05,2024-04-09,2024-04-10,实施分配,2024-04-02
002014,永新股份,,,,5.5,0.051740357479,0.67,4.012316054561,0.837017334643,1.819081057707,12.462176254753,612491866,2024-02-29,2024-04-11,2024-04-12,实施分配,2024-04-02
301003,江苏博云,,,,6.0,0.029925187032,1.17,12.006264699341,7.017767293807,3.426969687734,1.69453924459,99053333,2024-03-05,2024-04-16,2024-04-17,实施分配,2024-04-09
920476,海能技术,,,,2.0,0.019860973188,0.54,5.94,2.156947846885,2.411358249251,1.39528001689,84579800,2024-03-08,2024-04-16,2024-04-17,实施分配,2024-04-09
001376,百通能源,,,,1.0,0.005518763797,0.31,2.154964446257,0.492842435127,0.561879543437,19.501911190136,460900000,2024-03-15,2024-04-16,2024-04-17,实施分配,2024-04-10
920395,朗鸿科技,4.0,,4.0,2.8,0.027317073171,0.49,2.37,0.841733896134,0.30101952228,7.30251299542,91560000,2024-03-12,2024-04-16,2024-04-17,实施分配,2024-04-10
603948,建业股份,,,,10.0,0.046189376443,1.98,12.424338502169,3.473501206683,7.538125208099,-18.593480154904,162495000,2024-03-09,2024-04-15,2024-04-16,实施分配,2024-04-10
603868,飞科电器,,,,23.0,0.042062911485,2.34,8.210160103489,1.586067052525,5.123542731795,23.896088917861,435600000,2024-03-12,2024-04-16,2024-04-17,实施分配,2024-04-11
300304,云意电气,,,,0.6,0.009202453988,0.35,3.089173499107,0.479546287063,1.502168724308,124.074283562168,874640918,2024-03-21,2024-04-18,2024-04-19,实施分配,2024-04-12
002984,森麒麟,4.0,,4.0,4.1,0.011963816749,2.01,15.389533062982,6.784058769619,6.982225155222,70.880850417133,738777253,2024-03-01,2024-04-18,2024-04-19,实施分配,2024-04-12
000661,长春高新,,,,45.0,0.037134840733,11.21,54.552483808837,8.642932744732,42.365023106548,9.46642858848,404544190,2024-03-20,2024-04-17,2024-04-18,实施分配,2024-04-12
300496,中科创达,,,,2.49,0.005377969762,1.0171,20.789696038261,12.962379407273,5.620958017893,-39.359629600251,460008294,2024-03-20,2024-04-18,2024-04-19,实施分配,2024-04-12
300441,鲍斯股份,,,,0.7,0.010218978102,0.43,2.865639683153,0.783227200744,0.913906080097,153.047298543283,652256868,2024-03-19,2024-04-18,2024-04-19,实施分配,2024-04-12
000408,藏格矿业,,,,8.0,0.026315789474,2.18,8.262140300951,1.372184866224,5.543390965027,-39.524352775212,1580435073,2024-03-21,2024-04-18,2024-04-19,实施分配,2024-04-13
002912,中新赛克,,,,3.0,0.012547051443,0.67,9.793396508328,2.797730345999,5.693151036474,193.594764888052,170752000,2024-03-15,2024-04-18,2024-04-19,实施分配,2024-04-13
002516,旷达科技,,,,1.0,0.023148148148,0.13,2.47461238153,0.855169387012,0.535551475216,-4.26187094879,1470838682,2024-03-20,2024-04-19,2024-04-22,实施分配,2024-04-13
603031,安孚科技,4.5,,4.5,4.5,0.010404624277,1.01,12.782152912569,9.471872597253,2.759669863255,41.930474599772,145600000,2024-03-12,2024-04-18,2024-04-19,实施分配,2024-04-13
300146,汤臣倍健,,,,9.0,0.054945054945,1.03,7.153591196488,3.598575822313,2.096141436491,26.009938972374,1700845431,2024-03-19,2024-04-19,2024-04-22,实施分配,2024-04-15
600219,南山铝业,,,,1.2,0.033994334278,0.3,4.128960541231,1.358827527625,1.591065487025,-1.181875251303,11708552848,2024-02-29,2024-04-22,2024-04-23,实施分配,2024-04-16
002273,水晶光电,,,,3.0,0.022900763359,0.43,6.18634762904,3.066855564445,1.984937269392,4.150535186763,1390632221,2024-03-22,2024-04-22,2024-04-23,实施分配,2024-04-16
001225,和泰机电,,,,12.5,0.038616002471,1.84,22.387264810536,13.910833228643,6.889201995305,-48.472424454762,64666800,2024-02-22,2024-04-19,2024-04-22,实施分配,2024-04-16
300693,盛弘股份,,,,3.3,0.010529674537,1.3049,4.695460174629,0.689785519638,2.685538145981,80.199247266275,311085410,2024-03-26,2024-04-23,2024-04-24,实施分配,2024-04-16
002728,特一药业,4.0,,4.0,5.0,0.035260930889,0.77,5.513442961319,2.692730244856,1.419024595272,42.070684298045,364738910,2024-03-08,2024-04-23,2024-04-24,实施分配,2024-04-16
603697,有友食品,,,,2.5,0.039808917197,0.27,4.290778937445,0.895862546752,2.106596805209,-24.377420642994,427692098,2024-03-16,2024-04-19,2024-04-22,实施分配,2024-04-16
