report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2025-12-31,2025年报,2025-4,2025四季度,index_per_operating_cash_flow_net,16.28,12.5800,3.99386503,3.37358491,4.30183727
2025-12-31,2025年报,2025-4,2025四季度,deduct_net_profit_yoy_growth_ratio,-4.9378,-14.4401,-0.4392142,-2.78558133,0.44104714
2025-12-31,2025年报,2025-4,2025四季度,parent_holder_net_profit,42633000000.0,4294000000.0000,-0.04212726,-0.68119385,-0.10148567
2025-12-31,2025年报,2025-4,2025四季度,calc_per_net_assets,23.25,,0.06212883,,
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_ratio,,,,,
2025-12-31,2025年报,2025-4,2025四季度,conservative_quick_ratio,,,,,
2025-12-31,2025年报,2025-4,2025四季度,equity_ratio,9.751,,-0.08516906,,
2025-12-31,2025年报,2025-4,2025四季度,current_ratio,,,,,
2025-12-31,2025年报,2025-4,2025四季度,basic_eps,2.07,0.2213,-0.0372093,-0.68116986,-0.10150223
2025-12-31,2025年报,2025-4,2025四季度,business_cycle,,,,,
2025-12-31,2025年报,2025-4,2025四季度,receive_accounts_turnover_days,,,,,
2025-12-31,2025年报,2025-4,2025四季度,quick_ratio,,,,,
2025-12-31,2025年报,2025-4,2025四季度,sale_gross_margin,,,,,
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_days,,,,,
2025-12-31,2025年报,2025-4,2025四季度,calculate_operating_income_total_yoy_growth_ratio,-10.397764,-12.35724700,0.04882176,-0.34419696,-1.34642084
2025-12-31,2025年报,2025-4,2025四季度,sale_net_interest_ratio,32.4348,13.9533,0.06902655,-0.67592143,0.02520150
2025-12-31,2025年报,2025-4,2025四季度,per_undistributed_profits,13.9538,,0.111582,,
2025-12-31,2025年报,2025-4,2025四季度,operating_income_total,131442000000.0,30774000000.0000,-0.10397764,-0.01627082,-0.12357247
2025-12-31,2025年报,2025-4,2025四季度,per_capital_reserve,4.1555,,-0.00088959,,
2025-12-31,2025年报,2025-4,2025四季度,index_full_diluted_roe,7.7348,0.8033,-0.14004269,-0.69344375,-0.17185567
2025-12-31,2025年报,2025-4,2025四季度,calculate_parent_holder_net_profit_yoy_growth_ratio,-4.212726,-10.14856700,-0.00514727,-2.68917661,0.66088571
2025-12-31,2025年报,2025-4,2025四季度,assets_debt_ratio,90.6985,,-0.00792253,,
2025-12-31,2025年报,2025-4,2025四季度,index_deduct_holder_net_profit,42624000000.0,4355000000.0000,-0.04937776,-0.67351376,-0.14440079
2025-12-31,2025年报,2025-4,2025四季度,index_weighted_avg_roe,9.15,0.8700,-0.0922619,-0.71287129,-0.11224490
2025-09-30,2025三季报,2025-3,2025三季度,index_per_operating_cash_flow_net,3.7,-5.3000,-0.47666195,-9.83333333,-5.38016529
2025-09-30,2025三季报,2025-3,2025三季度,deduct_net_profit_yoy_growth_ratio,-3.7209,-3.8145,-9.17959991,-3.81142785,-0.13109358
2025-09-30,2025三季报,2025-3,2025三季度,parent_holder_net_profit,38339000000.0,13469000000.0000,-0.03498704,0.25013922,-0.02750903
2025-09-30,2025三季报,2025-3,2025三季度,calc_per_net_assets,23.08,,0.06506691,,
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_ratio,,,,,
2025-09-30,2025三季报,2025-3,2025三季度,conservative_quick_ratio,,,,,
2025-09-30,2025三季报,2025-3,2025三季度,equity_ratio,10.1343,,-0.05422153,,
2025-09-30,2025三季报,2025-3,2025三季度,current_ratio,,,,,
2025-09-30,2025三季报,2025-3,2025三季度,basic_eps,1.87,0.6941,-0.03608247,0.25018012,-0.02746252
2025-09-30,2025三季报,2025-3,2025三季度,business_cycle,,,,,
2025-09-30,2025三季报,2025-3,2025三季度,receive_accounts_turnover_days,,,,,
2025-09-30,2025三季报,2025-3,2025三季度,quick_ratio,,,,,
2025-09-30,2025三季报,2025-3,2025三季度,sale_gross_margin,,,,,
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_days,,,,,
2025-09-30,2025三季报,2025-3,2025三季度,calculate_operating_income_total_yoy_growth_ratio,-9.781147,-9.19303300,0.22227328,-0.31296781,0.21567791
2025-09-30,2025三季报,2025-3,2025三季度,sale_net_interest_ratio,38.0846,43.0553,0.0696359,0.42569107,0.07094211
2025-09-30,2025三季报,2025-3,2025三季度,per_undistributed_profits,13.8126,,0.11733443,,
2025-09-30,2025三季报,2025-3,2025三季度,operating_income_total,100668000000.0,31283000000.0000,-0.09781147,-0.12313600,-0.09193033
