报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,资产,现金及存放中央银行款项,存放同业款项,贵金属,拆出资金,交易性金融资产,衍生金融资产,买入返售金融资产,应收利息,发放贷款及垫款,可供出售金融资产,持有至到期投资,应收款项类投资,长期股权投资,投资性房地产,固定资产,无形资产,商誉,递延所得税资产,其他资产,资产合计,负债,向中央银行借款,同业及其他金融机构存放款项,拆入资金,以公允价值计量且其变动计入当期损益的金融负债,衍生金融负债,卖出回购金融资产款,吸收存款,应付职工薪酬,应交税费,应付利息,预计负债,应付债券,递延所得税负债,其他负债,负债合计,所有者权益（或股东权益,实收资本（或股本）,资本公积,其他综合收益,其他权益工具,其中：优先股,盈余公积,一般风险准备,未分配利润,外币报表折算差额,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益总计
2025-12-31,,5511.84亿,5.93万亿,5.37万亿,5511.84亿,,,2542.25亿,1437.05亿,308.50亿,2737.91亿,7651.01亿,281.57亿,595.26亿,False,3.32万亿,False,False,False,False,2.89亿,111.55亿,57.60亿,75.68亿,502.59亿,204.12亿,5.93万亿,,2235.37亿,5653.70亿,533.67亿,1860.31亿,273.91亿,808.56亿,3.63万亿,149.59亿,55.01亿,False,52.21亿,5445.34亿,False,300.02亿,5.37万亿,,194.06亿,806.42亿,1.36亿,999.53亿,199.53亿,107.81亿,694.78亿,2707.88亿,False,5511.84亿,False,5511.84亿,5.93万亿
2025-09-30,,5179.30亿,5.77万亿,5.25万亿,5179.30亿,,,2639.26亿,1293.88亿,172.48亿,2346.66亿,6984.87亿,266.61亿,175.01亿,False,3.34万亿,False,False,False,False,2.90亿,79.28亿,56.84亿,75.68亿,498.60亿,325.70亿,5.77万亿,,1115.73亿,4720.53亿,656.53亿,1627.79亿,257.25亿,992.98亿,3.61万亿,142.36亿,69.04亿,False,54.39亿,6345.81亿,False,376.87亿,5.25万亿,,194.06亿,806.37亿,6.91亿,699.53亿,199.53亿,107.81亿,684.15亿,2680.47亿,False,5179.30亿,False,5179.30亿,5.77万亿
2025-06-30,,5100.62亿,5.87万亿,5.36万亿,5100.62亿,,,2644.74亿,1385.11亿,97.43亿,2769.05亿,7148.95亿,345.70亿,441.72亿,False,3.33万亿,False,False,False,False,2.49亿,81.63亿,58.56亿,75.68亿,504.81亿,452.53亿,5.87万亿,,2142.28亿,5450.99亿,531.02亿,1076.24亿,323.69亿,510.09亿,3.75万亿,140.61亿,70.97亿,False,55.84亿,5470.71亿,False,313.69亿,5.36万亿,,194.06亿,807.02亿,16.47亿,699.53亿,199.53亿,107.81亿,683.66亿,2592.07亿,False,5100.62亿,False,5100.62亿,5.87万亿
2025-03-31,,5061.12亿,5.78万亿,5.27万亿,5061.12亿,,,2910.60亿,1747.95亿,106.70亿,2696.06亿,5324.49亿,446.29亿,268.78亿,False,3.34万亿,False,False,False,False,2.66亿,83.99亿,60.34亿,75.68亿,517.79亿,563.37亿,5.78万亿,,1484.17亿,5212.92亿,482.38亿,1103.65亿,420.38亿,707.69亿,3.72万亿,129.12亿,137.76亿,False,50.77亿,5425.93亿,False,273.19亿,5.27万亿,,194.06亿,807.09亿,13.29亿,699.53亿,199.53亿,107.81亿,683.13亿,2556.21亿,False,5061.12亿,False,5061.12亿,5.78万亿
2024-12-31,,4948.42亿,5.77万亿,5.27万亿,4948.42亿,,,2689.73亿,1320.90亿,126.20亿,2672.52亿,6295.71亿,654.12亿,327.19亿,False,3.29万亿,False,False,False,False,2.98亿,86.34亿,62.38亿,75.68亿,523.29亿,189.62亿,5.77万亿,,861.10亿,4478.77亿,556.41亿,1373.56亿,645.53亿,1311.81亿,3.59万亿,161.63亿,141.72亿,False,58.28亿,6952.00亿,False,226.24亿,5.27万亿,,194.06亿,807.13亿,21.27亿,699.48亿,199.53亿,107.81亿,682.62亿,2436.05亿,False,4948.42亿,False,4948.42亿,5.77万亿
2024-09-30,,4904.69亿,5.75万亿,5.26万亿,4904.69亿,,,2817.77亿,1231.03亿,112.24亿,2714.28亿,6208.26亿,406.07亿,170.31亿,False,3.30万亿,False,False,False,False,3.58亿,87.53亿,61.53亿,75.68亿,410.65亿,441.28亿,5.75万亿,,1386.40亿,4852.39亿,797.43亿,1372.65亿,349.88亿,1062.44亿,3.59万亿,157.90亿,51.75亿,False,71.36亿,6135.47亿,False,336.97亿,5.26万亿,,194.06亿,807.15亿,15.91亿,699.44亿,199.53亿,107.81亿,681.33亿,2398.99亿,False,4904.69亿,False,4904.69亿,5.75万亿
2024-06-30,,4818.69亿,5.75万亿,5.27万亿,4818.69亿,,,3059.98亿,848.21亿,111.80亿,2598.21亿,5740.21亿,453.94亿,494.61亿,False,3.33万亿,False,False,False,False,3.19亿,91.80亿,62.91亿,75.68亿,424.66亿,846.42亿,5.75万亿,,1262.98亿,5613.62亿,489.65亿,1202.97亿,410.26亿,399.26亿,3.62万亿,154.18亿,63.95亿,False,95.15亿,6079.32亿,False,651.54亿,5.27万亿,,194.06亿,807.61亿,19.00亿,699.44亿,199.53亿,107.81亿,680.91亿,2309.86亿,False,4818.69亿,False,4818.69亿,5.75万亿
2024-03-31,,4855.76亿,5.73万亿,5.24万亿,4855.76亿,,,3220.76亿,873.39亿,126.42亿,2341.63亿,4869.75亿,425.11亿,387.04亿,False,3.40万亿,False,False,False,False,3.26亿,94.38亿,64.38亿,75.68亿,443.08亿,751.79亿,5.73万亿,,1651.51亿,5047.78亿,588.69亿,472.21亿,448.56亿,651.98亿,3.51万亿,140.32亿,113.34亿,False,108.07亿,7589.20亿,False,496.05亿,5.24万亿,,194.06亿,807.61亿,26.09亿,699.44亿,199.53亿,107.81亿,680.48亿,2340.27亿,False,4855.76亿,False,4855.76亿,5.73万亿
2023-12-31,,4723.28亿,5.59万亿,5.11万亿,4723.28亿,,,2746.63亿,935.97亿,96.80亿,2207.07亿,4502.93亿,405.21亿,1108.30亿,False,3.32万亿,False,False,False,False,3.35亿,98.14亿,66.22亿,75.68亿,457.57亿,502.31亿,5.59万亿,,2087.83亿,4677.91亿,490.59亿,316.14亿,422.20亿,581.52亿,3.46万亿,171.89亿,93.80亿,False,134.98亿,7283.28亿,False,242.77亿,5.11万亿,,194.06亿,807.61亿,22.64亿,699.44亿,199.53亿,107.81亿,679.17亿,2212.55亿,False,4723.28亿,False,4723.28亿,5.59万亿
2023-09-30,,4658.60亿,5.52万亿,5.05万亿,4658.60亿,,,3501.43亿,983.04亿,98.59亿,1573.33亿,4441.13亿,661.13亿,529.80亿,False,3.34万亿,False,False,False,False,4.51亿,99.67亿,65.11亿,75.68亿,438.86亿,302.96亿,5.52万亿,,2545.84亿,4206.98亿,348.09亿,640.04亿,681.23亿,133.49亿,3.50万亿,167.14亿,80.02亿,False,168.47亿,6232.35亿,False,204.13亿,5.05万亿,,194.06亿,807.59亿,18.22亿,699.44亿,199.53亿,107.81亿,649.02亿,2182.46亿,False,4658.60亿,False,4658.60亿,5.52万亿
2023-06-30,,4520.73亿,5.50万亿,5.05万亿,4520.73亿,,,3348.80亿,826.35亿,97.36亿,1413.41亿,4283.68亿,716.89亿,639.23亿,False,3.35万亿,False,False,False,False,4.43亿,103.26亿,65.35亿,75.68亿,433.63亿,459.07亿,5.50万亿,,1378.83亿,4902.58亿,493.04亿,742.69亿,735.16亿,222.11亿,3.43万亿,161.53亿,62.01亿,False,157.52亿,7008.36亿,False,307.91亿,5.05万亿,,194.06亿,807.57亿,22.58亿,699.44亿,199.53亿,107.81亿,648.73亿,2040.54亿,False,4520.73亿,False,4520.73亿,5.50万亿
2023-03-31,,4467.45亿,5.46万亿,5.01万亿,4467.45亿,,,3176.42亿,1097.07亿,108.71亿,1204.21亿,4145.25亿,218.73亿,739.82亿,False,3.35万亿,False,False,False,False,4.57亿,106.81亿,67.09亿,75.68亿,426.85亿,474.24亿,5.46万亿,,1294.66亿,4602.07亿,436.98亿,782.99亿,255.15亿,304.85亿,3.51万亿,150.42亿,159.19亿,False,117.70亿,6507.24亿,False,308.42亿,5.01万亿,,194.06亿,807.56亿,21.84亿,699.44亿,199.53亿,107.81亿,648.48亿,1988.26亿,False,4467.45亿,False,4467.45亿,5.46万亿
2022-12-31,,4346.80亿,5.32万亿,4.89万亿,4346.80亿,,,2852.77亿,983.29亿,165.55亿,1339.21亿,4461.33亿,275.53亿,415.61亿,False,3.24万亿,False,False,False,False,4.77亿,110.83亿,68.79亿,75.68亿,440.79亿,428.48亿,5.32万亿,,1919.16亿,4072.78亿,573.93亿,649.43亿,365.25亿,133.03亿,3.35万亿,185.71亿,146.74亿,False,97.30亿,6920.75亿,False,212.38亿,4.89万亿,,194.06亿,808.16亿,26.60亿,699.44亿,199.53亿,107.81亿,647.68亿,1863.05亿,False,4346.80亿,False,4346.80亿,5.32万亿
2022-09-30,,4253.84亿,5.20万亿,4.77万亿,4253.84亿,,,3082.11亿,833.95亿,141.12亿,972.73亿,3873.35亿,607.28亿,163.52亿,False,3.21万亿,False,False,False,False,5.12亿,109.75亿,66.99亿,75.68亿,420.63亿,324.22亿,5.20万亿,,1635.20亿,2712.68亿,394.69亿,1010.40亿,629.91亿,751.19亿,3.28万亿,173.75亿,128.65亿,False,92.36亿,7021.38亿,False,240.69亿,4.77万亿,,194.06亿,808.16亿,15.16亿,699.44亿,199.53亿,107.81亿,592.47亿,1836.74亿,False,4253.84亿,False,4253.84亿,5.20万亿
2022-06-30,,4120.98亿,5.11万亿,4.70万亿,4120.98亿,,,3136.90亿,671.18亿,141.25亿,1383.22亿,3636.22亿,273.48亿,24.03亿,False,3.14万亿,False,False,False,False,5.20亿,112.68亿,55.16亿,75.68亿,404.77亿,456.61亿,5.11万亿,,1321.00亿,3616.24亿,413.88亿,830.21亿,276.49亿,164.00亿,3.28万亿,161.79亿,91.84亿,False,91.41亿,6773.61亿,False,379.24亿,4.70万亿,,194.06亿,808.16亿,28.01亿,699.44亿,199.53亿,107.81亿,590.09亿,1693.41亿,False,4120.98亿,False,4120.98亿,5.11万亿
