成交时间,股票代码,股票简称,成交价格,成交量,成交额,大单性质,涨跌幅,涨跌额
2026-04-24 15:00:01,689009,九号公司,43.14,14000,60.4,卖盘,-1.62%,-0.7
2026-04-24 15:00:01,688800,瑞可达,92.0,7947,73.11,买盘,0.55%,0.5
2026-04-24 15:00:01,688800,瑞可达,92.0,7019,64.57,买盘,0.55%,0.5
2026-04-24 15:00:01,688779,五矿新能,11.25,74400,83.7,卖盘,2.65%,0.3
2026-04-24 15:00:01,688693,锴威特,83.47,8000,66.78,卖盘,1.42%,1.19
2026-04-24 15:00:01,688689,银河微电,40.0,17351,69.4,买盘,4.44%,1.78
2026-04-24 15:00:01,688668,鼎通科技,239.0,5000,119.5,卖盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,2100,50.19,卖盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,7221,172.58,买盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,17904,427.91,买盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,4944,118.16,买盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,2161,51.65,买盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,3091,73.87,卖盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,3000,71.7,买盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,9400,224.66,买盘,1.54%,3.69
2026-04-24 15:00:01,688668,鼎通科技,239.0,2984,71.32,买盘,1.54%,3.69
2026-04-24 15:00:01,688663,新风光,67.61,14977,101.26,买盘,-1.93%,-1.3
2026-04-24 15:00:01,688661,和林微纳,109.5,18200,199.29,卖盘,-1.39%,-1.52
2026-04-24 15:00:01,688661,和林微纳,109.5,44400,486.18,卖盘,-1.39%,-1.52
2026-04-24 15:00:01,688661,和林微纳,109.5,7600,83.22,卖盘,-1.39%,-1.52
2026-04-24 15:00:01,688661,和林微纳,109.5,12000,131.4,卖盘,-1.39%,-1.52
2026-04-24 15:00:01,688661,和林微纳,109.5,5000,54.75,买盘,-1.39%,-1.52
2026-04-24 15:00:01,688661,和林微纳,109.5,9457,103.55,卖盘,-1.39%,-1.52
2026-04-24 15:00:01,688655,迅捷兴,33.11,15506,51.34,买盘,-8.28%,-2.74
2026-04-24 15:00:01,688615,合合信息,180.14,3051,54.96,卖盘,-1.89%,-3.4
2026-04-24 15:00:01,688615,合合信息,180.14,4430,79.8,卖盘,-1.89%,-3.4
2026-04-24 15:00:01,688615,合合信息,180.14,3555,64.04,买盘,-1.89%,-3.4
2026-04-24 15:00:01,688615,合合信息,180.14,3096,55.77,买盘,-1.89%,-3.4
2026-04-24 15:00:01,688559,海目星,58.12,9200,53.47,卖盘,1.79%,1.04
2026-04-24 15:00:01,688553,汇宇制药,19.66,47463,93.31,卖盘,2.50%,0.49
2026-04-24 15:00:01,688543,国科军工,66.94,7800,52.21,买盘,-3.46%,-2.32
2026-04-24 15:00:01,688536,思瑞浦,217.0,3953,85.78,买盘,1.96%,4.26
2026-04-24 15:00:01,688536,思瑞浦,217.0,3400,73.78,卖盘,1.96%,4.26
2026-04-24 15:00:01,688536,思瑞浦,217.0,5400,117.18,卖盘,1.96%,4.26
2026-04-24 15:00:01,688536,思瑞浦,217.0,2795,60.65,买盘,1.96%,4.26
2026-04-24 15:00:01,688521,芯原股份,228.71,3200,73.19,卖盘,-2.88%,-6.59
2026-04-24 15:00:01,688521,芯原股份,228.71,3657,83.64,卖盘,-2.88%,-6.59
2026-04-24 15:00:01,688521,芯原股份,228.71,4600,105.21,买盘,-2.88%,-6.59
2026-04-24 15:00:01,688521,芯原股份,228.71,19000,434.55,买盘,-2.88%,-6.59
2026-04-24 15:00:01,688521,芯原股份,228.71,5600,128.08,买盘,-2.88%,-6.59
2026-04-24 15:00:01,688521,芯原股份,228.71,2800,64.04,买盘,-2.88%,-6.59
2026-04-24 15:00:01,688521,芯原股份,228.71,9505,217.39,买盘,-2.88%,-6.59
2026-04-24 15:00:01,688521,芯原股份,228.71,8195,187.43,买盘,-2.88%,-6.59
2026-04-24 15:00:01,688521,芯原股份,228.71,3523,80.57,买盘,-2.88%,-6.59
2026-04-24 15:00:01,688515,裕太微,133.36,4200,56.01,买盘,3.09%,4.12
2026-04-24 15:00:01,688515,裕太微,133.36,4200,56.01,卖盘,3.09%,4.12
2026-04-24 15:00:01,688498,源杰科技,1395.0,3400,474.3,卖盘,0.00%,0.01
