代码,简称,股东大会名称,召开开始日,股权登记日,现场登记日,网络投票时间-开始日,网络投票时间-结束日,决议公告日,公告日,序列号,提案
603693,江苏新能,2025年年度股东大会,2026-05-21,2026-05-14,,2026-05-21,2026-05-21,,2026-04-25,235149,"1、《2025年度董事会工作报告》、《2025年度独立董事述职报告》、《2025年年度报告》及《2025年年度报告摘要》
4、《2025年度财务决算报告》
5、《2026年度财务预算报告》
6、《2025年度利润分配方案》
7、《关于聘任公司2026年度审计机构的议案》
8、《关于公司2026年度日常关联交易预计的议案》
9、《关于公司与控股股东江苏省国信集团有限公司续签<综合服务协议>暨关联交易的议案》
10、《关于公司与江苏省国信集团财务有限公司续签<金融服务协议>暨关联交易的议案》
11、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
12、《关于2026年度董事、高级管理人员薪酬方案的议案》"
603527,众源新材,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235150,"1、《2025年度董事会工作报告》、《2025年度利润分配预案》、《2025年度内部控制评价报告》
4、《关于续聘会计师事务所的议案》
5、《2025年年度报告及其摘要》
6、《关于预计2026年度担保额度的议案》
7、《关于为子公司提供关联担保的议案》
8、《关于预计2026年度日常关联交易的议案》
9、《关于公司开展套期保值业务的议案》
10、《关于修订<董事及高级管理人员薪酬管理办法>的议案》
11、《关于2026年度公司董事薪酬的议案》
12、《关于提请股东会授权董事会办理以简易程序向特定对象发行股票的议案》
13、《关于董事会换届选举第六届董事会非独立董事的议案》
14、《关于董事会换届选举第六届董事会独立董事的议案》"
301002,崧盛股份,2025年年度股东大会,2026-05-20,2026-05-13,,2026-05-20,2026-05-20,,2026-04-25,235096,"1、《关于2025年度董事会工作报告的议案》、《关于2025年度利润分配方案的议案》、《关于公司2026年董事及高级管理人员薪酬方案的议案》
4、《关于2026年度拟向银行申请综合授信额度及对子公司提供担保额度预计的议案》
5、《关于拟续聘会计师事务所的议案》
6、《关于使用部分闲置自有资金购买理财产品的议案》
7、《关于向控股子公司提供借款展期的议案》
8、《关于提请股东会授权董事会以简易程序向特定对象发行股票的议案》
9、《关于变更注册资本及修订<公司章程>的议案》
10、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
11、《关于全资子公司与关联方签订<采购框架合同>暨日常关联交易预计的议案》"
002309,中利集团,2025年年度股东大会,2026-05-28,2026-05-22,,2026-05-28,2026-05-28,,2026-04-25,235148,"1、《2025年度董事会工作报告》、《<2025年年度报告>及其摘要》、《关于公司2025年度利润分配预案的议案》
4、《关于公司董事2025年度及2026年度薪酬的议案》
5、《关于未弥补亏损达到实收股本总额三分之一的议案》
6、《关于制定<董事、高级管理人员薪酬管理制度>的议案》
7、《关于拟续聘2026年度会计师事务所的议案》"
600775,南京熊猫,2025年年度股东大会,2026-05-29,2026-05-22,,2026-05-29,2026-05-29,,2026-04-25,235151,"1、审议《公司2025年度董事会工作报告》、审议《公司2025年度财务决算报告》、审议《公司2026年度财务预算报告》
4、审议《公司2025年年度利润分配方案》
5、审议《公司2025年年度报告及其摘要》
6、审议《关于聘任2026年度审计机构》的议案
7、审议《公司董事、高级管理人员薪酬管理制度》
8、审议经修订的第十一届董事会董事及高级管理人员的薪酬政策暨制订《2026年度董事、高级管理人员薪酬方案》
9、审议《关于购买2026年董责险》的议案
10、关于选举公司第十一届董事会非执行董事的议案"
605319,无锡振华,2025年年度股东大会,2026-05-18,2026-05-08,,2026-05-18,2026-05-18,,2026-04-25,235154,"1、《公司2025年度董事会工作报告》、《关于公司2025年度财务决算报告的议案》、《2025年年度报告及其摘要》
4、《关于公司2025年年度利润分配预案的议案》
5、《关于公司董事薪酬方案的议案》
6、《关于修订<公司章程>的议案》
7、《关于修订<股东会议事规则>的议案》
8、《关于修订<董事、高级管理人员薪酬管理制度>的议案》
9、《关于公司及全资子公司向金融机构申请综合授信额度并为综合授信额度提供担保的议案》
10、《关于续聘公司2026度审计机构的议案》"
300368,汇金股份,2025年年度股东大会,2026-05-18,2026-05-13,,2026-05-18,2026-05-18,,2026-04-25,235155,"1、《关于公司2025年度董事会工作报告的议案》、《关于公司2025年年度报告全文及摘要的议案》、《关于公司2025年度利润分配预案的议案》
4、《关于公司及控股子公司申请综合授信额度的议案》
5、《关于为子公司提供担保额度预计的议案》
6、《关于接受控股股东邯郸市建设投资集团有限公司为公司提供担保、借款及公司向其提供反担保暨关联交易的议案》
7、《关于修订〈董事、高级管理人员薪酬管理制度〉的议案》
8、《关于公司2026年度董事薪酬(津贴)方案的议案》
9、《关于未弥补亏损达到实收股本总额三分之一的议案》
10、《关于续聘2026年度会计师事务所的议案》"
605005,合兴股份,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235152,"1、《关于公司2025年年度报告及摘要的议案》、《关于2025年度董事会工作报告的议案》、《关于2025年度利润分配方案的议案》
4、《关于续聘会计师事务所的议案》
5、《关于预计2026年度日常关联交易的议案》
6、《关于2026年度向银行申请综合授信额度的议案》
7、《关于<公司未来三年(2026-2028年)股东分红回报规划>的议案》
8、《关于制定<合兴股份董事和高级管理人员薪酬管理制度>的议案》
9、《关于确认董事2025年度薪酬及2026年度薪酬方案的议案》"
605255,天普股份,2025年年度股东大会,2026-05-15,2026-05-08,,2026-05-15,2026-05-15,,2026-04-25,235153,"1、关于公司《2025年度董事会工作报告》的议案、关于公司《2025年度财务决算报告》的议案、关于公司《2026年度财务预算报告》的议案
4、关于公司《2025年年度报告》全文及其摘要的议案
5、关于公司2025年度利润分配方案及提请股东会授权董事会决定2026年中期利润分配方案的议案
6、关于确认公司2025年度董事薪酬的议案
7、关于公司《2026年度董事、高级管理人员薪酬与考核方案》的议案
8、关于续聘会计师事务所的议案
9、关于制定及修订部分公司治理制度的议案"
600030,中信证券,2026年第2次临时股东大会,2026-05-14,2026-05-07,,2026-05-14,2026-05-14,,2026-04-25,235147,1、2025年年度报告、2025年度利润分配方案
300484,蓝海华腾,2025年年度股东大会,2026-05-18,2026-05-12,,2026-05-18,2026-05-18,,2026-04-25,235140,"1、《关于公司2025年年度报告全文及其摘要的议案》、《关于公司2025年度董事会工作报告的议案》、《关于公司2025年度利润分配预案的议案》
4、《关于公司及子公司向银行申请综合授信额度的议案》
5、《关于公司2026年度董事、高级管理人员薪酬的议案》
6、《关于开展票据池业务的议案》
7、《关于续聘会计师事务所的议案》
8、《关于修订<董事和高级管理人员薪酬管理制度>的议案》"
603266,天龙股份,2025年年度股东大会,2026-05-18,2026-05-12,,2026-05-18,2026-05-18,,2026-04-25,235141,"1、2025年度董事会工作报告、2025年度财务决算报告、2025年度利润分配方案
4、2025年年度报告及其摘要
5、关于续聘会计师事务所的议案
6、关于确认董事2025年度薪酬及制定2026年度薪酬方案的议案
7、关于2026年度申请综合授信额度及公司为子公司提供担保的议案
8、关于开展票据池业务的议案
9、宁波天龙电子股份有限公司未来三年(2026-2028年)股东分红回报规划
10、关于制定《董事、高级管理人员薪酬管理制度》的议案"
688571,杭华股份,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235097,"1、关于2025年度董事会工作报告的议案、关于2025年年度利润分配方案的议案、关于公司董事2025年度薪酬确认与2026年度薪酬方案的议案
4、关于制定《薪酬管理制度》的议案"
601216,君正集团,2025年年度股东大会,2026-05-15,2026-05-11,,2026-05-15,2026-05-15,,2026-04-25,235139,"1、董事会2025年度工作报告、独立董事2025年度述职报告、2025年年度报告及摘要
4、2025年度利润分配方案
5、董事2025年度薪酬情况及2026年度薪酬方案
6、关于预计2026年度担保额度的议案"
603722,阿科力,2025年年度股东大会,2026-05-19,2026-05-12,,2026-05-19,2026-05-19,,2026-04-25,235142,"1、关于公司2025年度董事会工作报告的议案、关于公司2025年度财务决算报告的议案、关于公司2026年度财务预算方案的议案
4、关于公司2025年年度报告及摘要的议案
5、关于续聘致同会计师事务所为公司2026年度审计机构的议案
6、关于2025年度利润分配预案的议案
7、关于2026年固定资产投入并授权总经理签署重大合同及审批相关款项支付的议案
8、关于2025年公司董事、高级管理人员薪酬方案的议案
9、关于使用募集资金向全资子公司提供借款实施募投项目的合同变更的议案
10、关于以自有资金向全资子公司提供借款的合同变更的议案
11、关于公司制定《董事、高级管理人员薪酬管理制度》的议案"
