序号,股东名称,股东类型,股票代码,股票简称,报告期,期末持股-数量,期末持股-数量变化,期末持股-数量变化比例,期末持股-持股变动,期末持股-流通市值,公告日,公告日后涨跌幅-10个交易日,公告日后涨跌幅-30个交易日,公告日后涨跌幅-60个交易日
1,南宁化工集团有限公司,其它,600301,华锡有色,2023-09-30,75248058,0.0,0.0,不变,1111413816.66,2024-02-08,-1.81422351,-10.44992743,-14.36865022
2,中国工商银行股份有限公司-景顺长城景盛双息收益债券型证券投资基金,证券投资基金,600301,华锡有色,2023-09-30,4587500,,,新进,67757375.0,2024-02-08,-1.81422351,-10.44992743,-14.36865022
3,南宁产业投资集团有限责任公司,投资公司,600301,华锡有色,2023-09-30,4462509,0.0,0.0,不变,65911257.93,2024-02-08,-1.81422351,-10.44992743,-14.36865022
4,林国荣,个人,600301,华锡有色,2023-09-30,3288300,1238000.0,0.1957,增加,48568191.0,2024-02-08,-1.81422351,-10.44992743,-14.36865022
5,招商银行股份有限公司-景顺长城景颐招利6个月持有期债券型证券投资基金,证券投资基金,600301,华锡有色,2023-09-30,2835900,730600.0,0.1155,增加,41886243.0,2024-02-08,-1.81422351,-10.44992743,-14.36865022
6,中国光大银行股份有限公司-招商安本增利债券型证券投资基金,证券投资基金,600301,华锡有色,2023-09-30,2806800,,,新进,41456436.0,2024-02-08,-1.81422351,-10.44992743,-14.36865022
7,王坚宏,个人,600301,华锡有色,2023-09-30,2351501,126200.0,0.0199,增加,34731669.77,2024-02-08,-1.81422351,-10.44992743,-14.36865022
8,陈林妹,个人,600301,华锡有色,2023-09-30,2133500,0.0,0.0,不变,31511795.0,2024-02-08,-1.81422351,-10.44992743,-14.36865022
9,中国工商银行股份有限公司-华商新趋势优选灵活配置混合型证券投资基金,证券投资基金,600301,华锡有色,2023-09-30,2115600,,,新进,31247412.0,2024-02-08,-1.81422351,-10.44992743,-14.36865022
10,孙伟,个人,600301,华锡有色,2023-09-30,2070000,-208000.0,-0.0329,减少,30573900.0,2024-02-08,-1.81422351,-10.44992743,-14.36865022
11,Amgen Inc.(安进),其它,688235,百济神州,2023-09-30,246269426,0.0,-0.0615,不变,34785556422.5,2023-11-14,0.68144228,-9.6791267,-23.9166391
12,"Baker Brothers Life Sciences,L.P.及其联属实体",其它,688235,百济神州,2023-09-30,152602311,0.0,-0.0381,不变,21555076428.75,2023-11-14,0.68144228,-9.6791267,-23.9166391
13,"HHLR Fund,L.P.及其联属实体",其它,688235,百济神州,2023-09-30,142888241,0.0,-0.0357,不变,20182964041.25,2023-11-14,0.68144228,-9.6791267,-23.9166391
14,Capital Research and Management Company及其联属实体,其它,688235,百济神州,2023-09-30,106680752,-4763777.0,-0.374,减少,15068656220.0,2023-11-14,0.68144228,-9.6791267,-23.9166391
15,广州高新区科技控股集团有限公司,其它,688235,百济神州,2023-09-30,4790454,0.0,-0.0012,不变,676651627.5,2023-11-14,0.68144228,-9.6791267,-23.9166391
16,中央企业乡村产业投资基金股份有限公司,投资公司,688235,百济神州,2023-09-30,4790454,0.0,-0.0012,不变,676651627.5,2023-11-14,0.68144228,-9.6791267,-23.9166391
17,交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF),证券投资基金,688235,百济神州,2023-09-30,4500000,1166670.0,0.0839,增加,635625000.0,2023-11-14,0.68144228,-9.6791267,-23.9166391
18,中国农业银行股份有限公司-鹏华医药科技股票型证券投资基金,证券投资基金,688235,百济神州,2023-09-30,2616565,-274771.0,-0.0207,减少,369589806.25,2023-11-14,0.68144228,-9.6791267,-23.9166391
19,中金公司-广发银行-中金公司百济神州1号员工参与科创板战略配售集合资产管理计划,集合理财计划,688235,百济神州,2023-09-30,1917070,,,新进,270786137.5,2023-11-14,0.68144228,-9.6791267,-23.9166391
20,中保投资有限责任公司-中国保险投资基金(有限合伙),私募基金,688235,百济神州,2023-09-30,1797876,-716109.0,-0.0527,减少,253949985.0,2023-11-14,0.68144228,-9.6791267,-23.9166391
