序号,股东名称,股东类型,期末持股只数统计-总持有,期末持股只数统计-新进,期末持股只数统计-增加,期末持股只数统计-不变,期末持股只数统计-减少,流通市值统计,持有个股
1,香港中央结算有限公司,其他,1229,133.0,579.0,8.0,509.0,2574506068906.07,"002027|分众传媒,600900|长江电力,600019|宝钢股份,000333|美的集团,601901|方正证券,601398|工商银行,601988|中国银行,600010|包钢股份,601328|交通银行,600406|国电南瑞"
2,中央汇金资产管理有限责任公司,国家队,185,2.0,,160.0,23.0,197296362094.794,"601988|中国银行,601398|工商银行,601939|建设银行,600000|浦发银行,601766|中国中车,601989|中国重工,601390|中国中铁,600795|国电电力,000166|申万宏源,600019|宝钢股份"
3,中国证券金融股份有限公司,国家队,183,2.0,,162.0,19.0,602001857646.577,"601988|中国银行,601398|工商银行,601939|建设银行,601328|交通银行,600000|浦发银行,600795|国电电力,600010|包钢股份,600018|上港集团,600019|宝钢股份,600900|长江电力"
4,华泰证券股份有限公司,券商,150,128.0,13.0,1.0,8.0,13757155515.5,"600919|江苏银行,601117|中国化学,600582|天地科技,601198|东兴证券,600782|新钢股份,000825|太钢不锈,600569|安阳钢铁,002312|川发龙蟒,600331|宏达股份,600096|云天化"
5,UBS AG,QFII,139,93.0,16.0,2.0,28.0,17274986526.274,"601138|工业富联,600908|无锡银行,002706|良信股份,600645|中源协和,600500|中化国际,600882|妙可蓝多,002663|普邦股份,600004|白云机场,601100|恒立液压,601515|衢州东峰"
6,HKSCC NOMINEES LIMITED,其他,139,3.0,69.0,24.0,43.0,5587957560183.39,"688981|中芯国际,601939|建设银行,601398|工商银行,601988|中国银行,601328|交通银行,600016|民生银行,601800|中国交建,601766|中国中车,600115|中国东航,601390|中国中铁"
7,"JPMORGAN CHASE BANK,NATIONAL ASSOCIATION",QFII,116,96.0,8.0,,12.0,12206307991.23,"601966|玲珑轮胎,002527|新时达,000413|ST旭电,200413|ST东旭B,002930|宏川智慧,300041|回天新材,600744|华银电力,600076|康欣新材,002658|雪迪龙,600853|龙建股份"
8,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,基金,108,42.0,64.0,,2.0,6453061764.436,"601099|太平洋,002131|利欧股份,002340|格林美,600008|首创环保,000540|*ST中天,000060|中金岭南,601860|紫金银行,600339|中油工程,600466|*ST蓝光,600500|中化国际"
9,法国兴业银行,QFII,91,89.0,1.0,1.0,,2306076266.27,"600008|首创环保,000425|徐工机械,000552|甘肃能化,000413|ST旭电,200413|ST东旭B,600187|国中水务,000623|吉林敖东,600533|栖霞建设,600408|安泰集团,000716|黑芝麻"
10,中信证券股份有限公司,券商,85,64.0,9.0,2.0,10.0,21026748275.362,"002422|科伦药业,002251|步步高,600751|海航科技,900938|海科B,600108|亚盛集团,002335|科华数据,600466|*ST蓝光,600500|中化国际,002067|景兴纸业,600726|华电能源"
